STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,STANDARD_REVENUE,Revenue category,CTRY_SPECIFIC_REVENUE,Country-specific revenue category,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,REVENUE_CODE,Revenue code,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2006,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2007,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2008,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2009,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2010,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2011,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2012,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2013,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2014,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2015,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2016,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2017,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2018,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2019,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,AUS,Australia,TAX_REV,Tax revenue,S1314,Social security funds,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2020,,0,,A,Normal value,9,Billions,TOTALTAX,,3,Three,AUD,Australian dollar
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,1993,,10.708038,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,1994,,11.222495,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,1995,,12.303,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,1996,,12.996,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,1997,,14.512,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,1998,,16.355,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,1999,,17.745,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2000,,18.98,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2001,,19.79,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2002,,20.789,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2003,,21.58,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2004,,23.541,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2005,,26.496,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2006,,29.706,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2007,,31.53,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2008,,30.183,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2009,,28.376,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2010,,30.307,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
