country_code,country,year,value
AUS,Australia,2005,24.488963
AUS,Australia,2006,23.881222
AUS,Australia,2007,24.030776
AUS,Australia,2008,21.835838
AUS,Australia,2009,20.302809
AUS,Australia,2010,20.156708
AUS,Australia,2011,20.900184
AUS,Australia,2012,21.750882
AUS,Australia,2013,21.750772
AUS,Australia,2014,21.647814
AUS,Australia,2015,22.044871
AUS,Australia,2016,21.89639
AUS,Australia,2017,23.00199
AUS,Australia,2018,23.208062
AUS,Australia,2019,22.395735
AUS,Australia,2020,22.86897
AUS,Australia,2021,23.477844
AUS,Australia,2022,23.908321
AUS,Australia,2023,24.121268
AUS,Australia,1990,22.2986
AUS,Australia,1991,20.638299
AUS,Australia,1992,19.979605
AUS,Australia,1993,20.158931
AUS,Australia,1994,21.158586
AUS,Australia,1995,21.871225
AUS,Australia,1996,22.374139
AUS,Australia,1997,22.227955
AUS,Australia,1998,22.731491
AUS,Australia,1999,23.150936
AUS,Australia,2000,24.833298
AUS,Australia,2001,23.540975
AUS,Australia,2002,24.291004
AUS,Australia,2003,24.242498
AUS,Australia,2004,24.733397
AUT,Austria,1990,19.890067
AUT,Austria,1991,20.045113
AUT,Austria,1992,20.9582
AUT,Austria,1993,21.123261
AUT,Austria,1994,20.866887
AUT,Austria,1995,26.775946
AUT,Austria,1996,28.228873
AUT,Austria,1997,29.086436
AUT,Austria,1998,29.18562
AUT,Austria,1999,28.849168
AUT,Austria,2000,28.482155
AUT,Austria,2001,30.349342
AUT,Austria,2002,29.387918
AUT,Austria,2003,29.003032
AUT,Austria,2004,28.641771
AUT,Austria,2005,27.712219
AUT,Austria,2006,27.225978
AUT,Austria,2007,27.581818
AUT,Austria,2008,28.226532
AUT,Austria,2009,27.380852
AUT,Austria,2010,27.483692
AUT,Austria,2011,27.643271
AUT,Austria,2012,28.212269
AUT,Austria,2013,28.872572
AUT,Austria,2014,28.956306
AUT,Austria,2015,29.335892
AUT,Austria,2016,27.953052
AUT,Austria,2017,27.894243
AUT,Austria,2018,27.837046
AUT,Austria,2019,27.919832
AUT,Austria,2020,26.818834
AUT,Austria,2021,28.159964
AUT,Austria,2022,28.16391
AUT,Austria,2023,27.697047
AUT,Austria,2024,27.887788
BEL,Belgium,1990,24.991414
BEL,Belgium,1991,24.582099
BEL,Belgium,1992,24.042361
BEL,Belgium,1993,25.197356
BEL,Belgium,1994,25.524884
BEL,Belgium,1995,25.75454
