Date,Value
01/02/2025,76.14
01/03/2025,76.72
01/06/2025,77.27
01/07/2025,77.84
01/08/2025,77.37
01/09/2025,78.44
01/10/2025,79.76
01/13/2025,82.69
01/14/2025,82.39
01/15/2025,83.48
01/16/2025,82.39
01/17/2025,83.02
01/20/2025,81.68
01/21/2025,80.57
01/22/2025,80
01/23/2025,78.62
01/24/2025,78.71
01/27/2025,77.3
01/28/2025,78.01
01/29/2025,77.02
01/30/2025,77.42
01/31/2025,77.11
02/03/2025,76.49
02/04/2025,76.58
02/05/2025,74.71
02/06/2025,74.54
02/07/2025,74.68
02/10/2025,76.23
02/11/2025,77.65
02/12/2025,75.38
02/13/2025,75.61
02/14/2025,75.19
02/17/2025,75.81
02/18/2025,76.46
02/19/2025,76.34
02/20/2025,76.95
02/21/2025,74.88
02/24/2025,74.89
02/25/2025,73.11
02/26/2025,73.49
02/27/2025,75.01
02/28/2025,74.76
03/03/2025,72.85
03/04/2025,72.31
03/05/2025,70.92
03/06/2025,71.08
03/07/2025,72.49
03/10/2025,71.08
03/11/2025,71.51
03/12/2025,72.36
03/13/2025,70.82
03/14/2025,71.94
03/17/2025,71.93
03/18/2025,71.93
03/19/2025,71.94
03/20/2025,72.61
03/21/2025,72.64
03/24/2025,73.96
03/25/2025,73.78
03/26/2025,74.6
03/27/2025,74.72
03/28/2025,74.69
03/31/2025,77.23
04/01/2025,77.78
04/02/2025,77.27
04/03/2025,72.54
04/04/2025,68.36
04/07/2025,66.13
04/08/2025,64.86
04/09/2025,67.3
04/10/2025,65.37
04/11/2025,66.83
04/14/2025,67.18
04/15/2025,66.58
04/16/2025,67.94
04/17/2025,69.33
04/22/2025,68.93
04/23/2025,68.26
04/24/2025,67.5
04/25/2025,66.99
04/28/2025,66.13
04/29/2025,64.04
04/30/2025,63.37
05/01/2025,62.37
05/02/2025,61.57
05/06/2025,62.37
05/07/2025,60.31
05/08/2025,62.22
05/09/2025,64.26
05/12/2025,65.28
05/13/2025,66.93
05/14/2025,65.91
05/15/2025,64.36
05/16/2025,65.2
05/19/2025,66.25
05/20/2025,66.93
05/21/2025,65.86
05/22/2025,64.87
05/23/2025,65.41
05/27/2025,64.32
05/28/2025,65.72
05/29/2025,64.6
05/30/2025,64.32
06/02/2025,66.55
06/03/2025,67.48
06/04/2025,66.69
06/05/2025,67.14
06/06/2025,68.02
06/09/2025,68.73
06/10/2025,68.41
06/11/2025,71.29
06/12/2025,70.84
06/13/2025,76
06/16/2025,75.05
06/17/2025,78.7
06/18/2025,78.38
06/19/2025,80.37
06/20/2025,78.73
06/23/2025,74.34
06/24/2025,69.13
06/25/2025,68.4
06/26/2025,68.57
06/27/2025,69.37
06/30/2025,68.15
07/01/2025,67.63
07/02/2025,70.8
07/03/2025,70.42
07/04/2025,71.03
07/07/2025,71.95
07/08/2025,72.5
07/09/2025,71.98
07/10/2025,70.38
07/11/2025,72.06
07/14/2025,70.96
07/15/2025,70.27
07/16/2025,69.67
07/17/2025,71.32
07/18/2025,71.06
07/21/2025,71.92
07/22/2025,69.69
07/23/2025,69.17
07/24/2025,70.42
07/25/2025,69.23
07/28/2025,70.87
07/29/2025,73.21
07/30/2025,73.98
07/31/2025,73.43
08/01/2025,70.55
08/04/2025,69.56
08/05/2025,69.14
08/06/2025,67.97
08/07/2025,66.99
08/08/2025,67.17
08/11/2025,67.36
08/12/2025,66.8
08/13/2025,66.25
08/14/2025,68.12
08/15/2025,67.3
08/18/2025,68.18
08/19/2025,66.62
08/20/2025,67.61
08/21/2025,68.41
08/22/2025,68.29
08/26/2025,66.89
08/27/2025,67.75
08/28/2025,68.61
08/29/2025,67.83
09/01/2025,67.09
09/02/2025,68.09
09/03/2025,67.76
09/04/2025,66.41
09/05/2025,64.92
09/08/2025,65.44
09/09/2025,67.97
09/10/2025,67.62
09/11/2025,67.25
09/12/2025,67.87
09/15/2025,67.88
09/16/2025,69.69
09/17/2025,69.19
09/18/2025,67.83
09/19/2025,67.05
09/22/2025,66.87
09/23/2025,67.96
09/24/2025,69.64
09/25/2025,70.48
09/26/2025,71.15
09/29/2025,69
09/30/2025,68.52
10/01/2025,66.67
10/02/2025,65.44
10/03/2025,66.13
10/06/2025,67.09
10/07/2025,67.1
10/08/2025,67.42
10/09/2025,67.23
10/10/2025,64.41
10/13/2025,64.15
10/14/2025,63
10/15/2025,62.33
10/16/2025,61.08
10/17/2025,61.23
10/20/2025,60.71
10/21/2025,61
10/22/2025,62.28
10/23/2025,66.32
10/24/2025,65.8
10/27/2025,65.52
10/28/2025,64.03
10/29/2025,65.01
10/30/2025,65.11
10/31/2025,65.44
11/03/2025,65.79
11/04/2025,65.04
11/05/2025,63.54
11/06/2025,63.41
11/07/2025,63.72
11/10/2025,63.01
11/11/2025,63.86
11/12/2025,61.88
11/13/2025,62.14
11/14/2025,63.45
11/17/2025,63.16
11/18/2025,64.86
11/19/2025,63.78
11/20/2025,63.64
11/21/2025,62.78
11/24/2025,64.83
11/25/2025,63.99
11/26/2025,64.81
11/27/2025,64.18
11/28/2025,64.07
12/01/2025,64.22
12/02/2025,63.37
12/03/2025,63.75
12/04/2025,64.15
12/05/2025,64.42
12/08/2025,63.3
12/09/2025,62.62
12/10/2025,63.12
12/11/2025,61.87
12/12/2025,62.11
12/15/2025,61.55
12/16/2025,59.93
12/17/2025,60.61
12/18/2025,60.69
12/19/2025,61.35
12/22/2025,62.22
12/23/2025,63.7
12/24/2025,63.7
12/29/2025,63.1
12/30/2025,62.3
12/31/2025,61.35
01/02/2026,61.98
01/05/2026,63
01/06/2026,62.1
01/07/2026,61.08
01/08/2026,63.34
01/09/2026,65.11
01/12/2026,65.4
01/13/2026,67.58
01/14/2026,68.87
01/15/2026,66.16
01/16/2026,66.97
01/19/2026,66.91
01/20/2026,67.68
01/21/2026,66.72
01/22/2026,65.46
01/23/2026,68.16
01/26/2026,67.7
01/27/2026,70.28
01/28/2026,70.9
01/29/2026,71
01/30/2026,72.25
02/02/2026,67.72
02/03/2026,70.01
02/04/2026,71.15
02/05/2026,69.87
02/06/2026,70.45
02/09/2026,71.19
02/10/2026,71.01
02/11/2026,71.52
02/12/2026,69.8
02/13/2026,69.96
02/16/2026,70.81
02/17/2026,69.77
02/18/2026,71.78
02/19/2026,73.17
02/20/2026,72.75
02/23/2026,71.9
02/24/2026,71.21
02/25/2026,70.69
02/26/2026,71.66
02/27/2026,71.32
03/02/2026,77.24
03/03/2026,81.40
03/04/2026,81.40
03/05/2026,85.41
03/06/2026,92.60
03/09/2026,98.96
03/10/2026,87.80
03/11/2026,91.98
