year,value,gender
1896,43,Male
1900,93,Male
1904,92,Male
1908,106,Male
1912,97,Male
1920,148,Male
1924,116,Male
1928,95,Male
1932,103,Male
1936,114,Male
1948,117,Male
1952,124,Male
1956,125,Male
1960,121,Male
1964,130,Male
1968,133,Male
1972,152,Male
1976,149,Male
1980,153,Male
1984,159,Male
1988,165,Male
1992,171,Male
1996,174,Male
2000,180,Male
2004,176,Male
2008,175,Male
2012,162,Male
2016,161,Male
2020,165,Male
1896,0,Female
1900,2,Female
1904,3,Female
1908,4,Female
1912,5,Female
1920,8,Female
1924,10,Female
1928,14,Female
1932,14,Female
1936,15,Female
1948,19,Female
1952,25,Female
1956,26,Female
1960,29,Female
1964,33,Female
1968,39,Female
1972,43,Female
1976,49,Female
1980,50,Female
1984,62,Female
1988,72,Female
1992,86,Female
1996,97,Female
2000,120,Female
2004,125,Female
2008,127,Female
2012,140,Female
2016,145,Female
2020,174,Female
