abbrv,discipline,event,event_id,year,competitor,medal,noc,position
ATH,athletics,"Javelin Throw, women",manual_26,2020,Kelsey-Lee Barber,Gold,AUS,1
ATH,athletics,"400 metres, men",manual_3,2020,Steven Gardiner,Gold,BAH,1
ATH,athletics,"400 metres, women",manual_16,2020,Shaunae Miller-Uibo,Gold,BAH,1
ATH,athletics,"Heptathlon, women",manual_27,2020,Nafissatou Thiam,Gold,BEL,1
BOX,boxing,Men's Middle (69-75kg),manual_31,2020,SOUSA Hebert,Gold,BRA,1
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,QUEIROZ dos SANTOS Isaquias,Gold,BRA,1
FTB,Football,"Football, Men",manual_72,2020,Brazil,Gold,BRA,1
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,KRASTEVA Stoyka Zhelyazkova,Gold,BUL,1
CTR,Cycling Track,Women's Sprint,manual_47,2020,MITCHELL Kelsey,Gold,CAN,1
ATH,athletics,"200 metres, men",manual_2,2020,Andre De Grasse,Gold,CAN,1
ATH,athletics,"Decathlon, men",manual_15,2020,Damian Warner,Gold,CAN,1
FTB,Football,"Football, Women",manual_73,2020,Canada,Gold,CAN,1
ATH,athletics,"Shot Put, women",manual_25,2020,Lijiao Gong,Gold,CHN,1
CAN,Canoe Sprint,Women's Canoe Double 500m,manual_39,2020,CHN,Gold,CHN,1
DIV,Diving,Men's 10m Platform,manual_48,2020,CAO Yuan,GOld,CHN,1
TTN,Table Tennis,"Team, Men",manual_54,2020,China (CHN),Gold,CHN,1
BOX,boxing,Men's Heavy (81-91kg),manual_29,2020,la CRUZ Julio,Gold,CUB,1
BOX,boxing,Men's Light (57-63kg),manual_30,2020,CRUZ Andy,Gold,CUB,1
CTR,Cycling Track,Men's Madison,manual_42,2020,"Lasse Norman Hansen
Michael Mørkøv",Gold,DEN,1
HAN,Handball,"Handball, Men",manual_64,2020,France,Gold,FRA,1
HAN,Handball,"Handball, Women",manual_65,2020,France,Gold,FRA,1
VOL,Volleyball,"Volleyball, Men",manual_68,2020,France,Gold,FRA,1
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,YAFAI Galal,Gold,GBR,1
BOX,boxing,Women's Middle (69-75kg),manual_35,2020,PRICE Lauren,Gold,GBR,1
CTR,Cycling Track,Men's Keirin,manual_41,2020,KENNY Jason,Gold,GBR,1
CAN,Canoe Sprint,Men's Kayak Four 500m,manual_38,2020,GER,Gold,GER,1
CTR,Cycling Track,Women's Madison,manual_45,2020,"Katie Archibald
Laura Kenny",Gold,GBR,1
EQU,equestrian jumping,"Individual, Open",manual_49,2020,Ben Maher,Gold,GBR,1
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Joe Choong,Gold,GBR,1
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Kate French,Gold,GBR,1
CAN,Canoe Sprint,Women's Kayak Four 500m,manual_40,2020,HUN,Gold,HUN,1
ATH,athletics,"Javelin Throw, men",manual_14,2020,Neeraj Chopra,Gold,IND,1
BOX,boxing,Women's Light (57-60kg),manual_34,2020,HARRINGTON Kellie Anne,Gold,IRL,1
ATH,athletics,"4 x 100 metres Relay, men",manual_7,2020,"Lorenzo Patta, Marcell Jacobs, Eseosa Desalu, Filippo Tortu",Gold,ITA,1
