economy,flagged,mean,p10,p90,code
Canada,True,510.05482000000006,378.64748000000003,636.2585600000001,CAN
Denmark,False,477.54101,351.14163,599.64684,DNK
Estonia,False,527.11708,409.84217,639.52543,EST
France,False,483.42120000000006,342.43771000000004,614.8975800000001,FRA
Germany,False,485.52144000000004,341.55083,630.06331,DEU
Italy,False,482.98206000000005,360.45125,600.78178,ITA
Japan,False,537.5862400000001,400.97468000000003,661.3790300000001,JPN
Korea,False,526.10531,384.06162,653.7533900000001,KOR
Singapore,False,559.8505600000001,410.59858,686.6289700000001,SGP
United Kingdom,False,511.35575000000006,373.79959,646.48107,UK
United States,True,501.58324000000005,351.39512,649.3159300000001,USA
