domain,series,cycle,score
Reading,UK,2006,495.08351000000005
Reading,UK,2009,494.18201000000005
Reading,UK,2012,499.32312
Reading,UK,2015,497.97193000000004
Reading,UK,2018,503.92811000000006
Reading,UK,2022,494.40463000000005
Reading,UK,2025,494.23095000000006
Reading,OECD-23,2000,499.53403000000003
Reading,OECD-23,2003,497.41581
Reading,OECD-23,2006,495.46594000000005
Reading,OECD-23,2009,499.39752000000004
Reading,OECD-23,2012,501.3647
Reading,OECD-23,2015,497.24891
Reading,OECD-23,2018,492.83733000000007
Reading,OECD-23,2022,481.93197000000004
Reading,OECD-23,2025,465.82952000000006
Mathematics,UK,2006,495.44416000000007
Mathematics,UK,2009,492.41408
Mathematics,UK,2012,493.93423
Mathematics,UK,2015,492.47853000000003
Mathematics,UK,2018,501.76990000000006
Mathematics,UK,2022,488.97509
Mathematics,UK,2025,487.57374000000004
Mathematics,OECD-23,2003,502.12499
Mathematics,OECD-23,2006,501.06524
Mathematics,OECD-23,2009,501.66896
Mathematics,OECD-23,2012,498.67532000000006
Mathematics,OECD-23,2015,495.51943000000006
Mathematics,OECD-23,2018,496.35019000000005
Mathematics,OECD-23,2022,480.28995000000003
Mathematics,OECD-23,2025,469.38280000000003
Science,UK,2006,514.77355
Science,UK,2009,513.71024
Science,UK,2012,514.12932
Science,UK,2015,509.22150000000005
Science,UK,2018,504.66747000000004
Science,UK,2022,499.67021000000005
Science,UK,2025,511.35575000000006
Science,OECD-23,2006,502.74367000000007
Science,OECD-23,2009,505.74124000000006
Science,OECD-23,2012,504.73098000000005
Science,OECD-23,2015,496.9809
Science,OECD-23,2018,493.46277000000003
Science,OECD-23,2022,490.86388000000005
Science,OECD-23,2025,485.93596
