Ward,Candidate,Party,Votes,Result,Electorate,Spoilt_Ballots,Turnout_Pct
Abram,David William BOWKER,Reform UK,1958,Elected,10582,7,33.07
Abram,Eunice SMETHURST,Labour Party,844,Not Elected,10582,7,33.07
Abram,James Richard GALLOWAY,Green Party,394,Not Elected,10582,7,33.07
Abram,Janet Elizabeth WALCH,Conservative Party,158,Not Elected,10582,7,33.07
Abram,Graham Trevor SUDDICK,Liberal Democrats,138,Not Elected,10582,7,33.07
Ashton-in-Makerfield South,Katherine-Ann MORRILL-ASHFORD,Reform UK,1572,Elected,8825,8,38.49
Ashton-in-Makerfield South,Anca CONDESCU,Labour Party,1100,Not Elected,8825,8,38.49
Ashton-in-Makerfield South,Holly Louise ABBOTT,Green Party,432,Not Elected,8825,8,38.49
Ashton-in-Makerfield South,Paul John CHAPMAN,Conservative Party,285,Not Elected,8825,8,38.49
"Aspull, New Springs & Whelley",Joanne MEADOWS,Reform UK,2050,Elected,9349,7,44.30
"Aspull, New Springs & Whelley",Ronald Josef CONWAY,Labour Party,1348,Not Elected,9349,7,44.30
"Aspull, New Springs & Whelley",Peter George Edmund KITTS,Green Party,399,Not Elected,9349,7,44.30
"Aspull, New Springs & Whelley",Luke Christian MARSDEN,Conservative Party,203,Not Elected,9349,7,44.30
"Aspull, New Springs & Whelley",Donald John MACNAMARA,Liberal Democrats,135,Not Elected,9349,7,44.30
Astley,Eileen Patricia STRATHEARN,Reform UK,2100,Elected,10742,5,43.25
Astley,Adam Michael HOLLIS,Labour Party,942,Not Elected,10742,5,43.25
Astley,Sandra Elizabeth ROBINSON,Independent,703,Not Elected,10742,5,43.25
Astley,Simeon Rhys ROWLANDS,Green Party,504,Not Elected,10742,5,43.25
Astley,David John STIRZAKER,Conservative Party,392,Not Elected,10742,5,43.25
Atherton North,Jamie HODGKINSON,Independent,1635,Elected,10230,8,33.72
Atherton North,Nigel TAYLOR,Reform UK,1009,Not Elected,10230,8,33.72
Atherton North,Paul BLINKHORN,Labour Party,407,Not Elected,10230,8,33.72
Atherton North,Ellie KEMP,Green Party,270,Not Elected,10230,8,33.72
Atherton North,Marie Elizabeth COOPER,Conservative Party,121,Not Elected,10230,8,33.72
Atherton South & Lilford,Martin James FARRIMOND,Reform UK,2027,Elected,10429,11,38.27
Atherton South & Lilford,Richard Thomas PHELAN,Labour Party,868,Not Elected,10429,11,38.27
Atherton South & Lilford,Michael Thomas LIVESEY,Independent,457,Not Elected,10429,11,38.27
Atherton South & Lilford,Cobi HUGHES,Green Party,398,Not Elected,10429,11,38.27
Atherton South & Lilford,Ellis ROWLANDS,Conservative Party,230,Not Elected,10429,11,38.27
Bryn with Ashton-in-Makerfield North,Robert Francis KENYON,Reform UK,1770,Elected,8990,9,37.83
Bryn with Ashton-in-Makerfield North,Louis Andrew BECKLEY,Labour Party,816,Not Elected,8990,9,37.83
Bryn with Ashton-in-Makerfield North,Michael Anthony THOMPSON,Green Party,400,Not Elected,8990,9,37.83
Bryn with Ashton-in-Makerfield North,Judith ATHERTON,Conservative Party,229,Not Elected,8990,9,37.83
Bryn with Ashton-in-Makerfield North,Christopher Stephen DAVIES,Liberal Democrats,177,Not Elected,8990,9,37.83
Douglas,Matthew Joel LAMBERT,Reform UK,1293,Elected,9567,5,30.65
Douglas,Alexander John SHARPLES,Labour Party,585,Not Elected,9567,5,30.65
Douglas,Patricia DRAPER,Independent,515,Not Elected,9567,5,30.65
Douglas,David Thomas BEDDOWS,Green Party,307,Not Elected,9567,5,30.65
Douglas,Margaret ATHERTON,Conservative Party,124,Not Elected,9567,5,30.65
Douglas,John Peter BURLEY,Liberal Democrats,103,Not Elected,9567,5,30.65
Golborne & Lowton West,Susan Jayne FRAME,Reform UK,1478,Elected,9262,8,37.03
Golborne & Lowton West,Gena MERRETT,Labour Party,1125,Not Elected,9262,8,37.03
Golborne & Lowton West,Edward Noel HOULTON,Conservative Party,310,Not Elected,9262,8,37.03
Golborne & Lowton West,Kathryn GODFREY,Green Party,281,Not Elected,9262,8,37.03
Golborne & Lowton West,Richard Andrew SCOTT,Independent,228,Not Elected,9262,8,37.03
Hindley,Paul David MANNIEX,Reform UK,1832,Elected,9972,13,35.26
Hindley,James Eccles CHURTON,Labour Party,750,Not Elected,9972,13,35.26
Hindley,Matthew BARON,Green Party,374,Not Elected,9972,13,35.26
Hindley,Jordan James GASKELL,Independent,282,Not Elected,9972,13,35.26
Hindley,Cyril PENDLEBURY,Conservative Party,140,Not Elected,9972,13,35.26
Hindley,John Charles SKIPWORTH,Liberal Democrats,125,Not Elected,9972,13,35.26
Hindley Green,Liam Alfie CLARKE,Reform UK,1878,Elected,9243,4,38.86
Hindley Green,John Melville VICKERS,Labour Party,1172,Not Elected,9243,4,38.86
Hindley Green,Nathanael James Bramley SMITH,Green Party,258,Not Elected,9243,4,38.86
Hindley Green,Marie WINSTANLEY,Conservative Party,174,Not Elected,9243,4,38.86
Hindley Green,Gary John SKIPWORTH,Liberal Democrats,106,Not Elected,9243,4,38.86
Ince,Gemma PAINTER,Reform UK,1809,Elected,9455,6,32.90
Ince,Terence William HALLIWELL,Labour Party,608,Not Elected,9455,6,32.90
Ince,Gareth NELSON,Green Party,365,Not Elected,9455,6,32.90
Ince,Vincent Dean HOLGATE,Liberal Democrats,135,Not Elected,9455,6,32.90
Ince,Yamini GUPTA,Conservative Party,115,Not Elected,9455,6,32.90
Ince,The ZOK,Independent,73,Not Elected,9455,6,32.90
Leigh Central & Higher Folds,Tina KENNEDY,Reform UK,1696,Elected,10766,6,32.66
Leigh Central & Higher Folds,Sarah Victoria JOHNSON,Labour Party,886,Not Elected,10766,6,32.66
Leigh Central & Higher Folds,Ashley TRIGG,Green Party,527,Not Elected,10766,6,32.66
Leigh Central & Higher Folds,Margaret Mary WINSTANLEY,Conservative Party,216,Not Elected,10766,6,32.66
Leigh Central & Higher Folds,Hannah Elizabeth SEPHTON,Independent,185,Not Elected,10766,6,32.66
Leigh South,Leon PETERS,Reform UK,1827,Elected,9594,7,40.19
Leigh South,Barbara Ann CAREN,Labour Party,968,Not Elected,9594,7,40.19
