date,series,price
2012-01-28,Average standard variable tariff (Large legacy suppliers),1020.16
2012-02-28,Average standard variable tariff (Large legacy suppliers),1000.76
2012-03-28,Average standard variable tariff (Large legacy suppliers),997.25
2012-04-28,Average standard variable tariff (Large legacy suppliers),997.25
2012-05-28,Average standard variable tariff (Large legacy suppliers),997.25
2012-06-28,Average standard variable tariff (Large legacy suppliers),997.25
2012-07-28,Average standard variable tariff (Large legacy suppliers),997.25
2012-08-28,Average standard variable tariff (Large legacy suppliers),997.25
2012-09-28,Average standard variable tariff (Large legacy suppliers),997.25
2012-10-28,Average standard variable tariff (Large legacy suppliers),1009.0
2012-11-28,Average standard variable tariff (Large legacy suppliers),1030.78
2012-12-28,Average standard variable tariff (Large legacy suppliers),1061.8
2013-01-28,Average standard variable tariff (Large legacy suppliers),1074.42
2013-02-28,Average standard variable tariff (Large legacy suppliers),1074.42
2013-03-28,Average standard variable tariff (Large legacy suppliers),1074.42
2013-04-28,Average standard variable tariff (Large legacy suppliers),1074.42
2013-05-28,Average standard variable tariff (Large legacy suppliers),1074.43
2013-06-28,Average standard variable tariff (Large legacy suppliers),1074.43
2013-07-28,Average standard variable tariff (Large legacy suppliers),1074.45
2013-08-28,Average standard variable tariff (Large legacy suppliers),1074.45
2013-09-28,Average standard variable tariff (Large legacy suppliers),1074.45
2013-10-28,Average standard variable tariff (Large legacy suppliers),1074.45
2013-11-28,Average standard variable tariff (Large legacy suppliers),1105.94
2013-12-28,Average standard variable tariff (Large legacy suppliers),1138.95
2014-01-28,Average standard variable tariff (Large legacy suppliers),1145.84
2014-02-28,Average standard variable tariff (Large legacy suppliers),1134.09
2014-03-28,Average standard variable tariff (Large legacy suppliers),1128.1
2014-04-28,Average standard variable tariff (Large legacy suppliers),1128.1
2014-05-28,Average standard variable tariff (Large legacy suppliers),1128.1
2014-06-28,Average standard variable tariff (Large legacy suppliers),1128.1
2014-07-28,Average standard variable tariff (Large legacy suppliers),1128.1
2014-08-28,Average standard variable tariff (Large legacy suppliers),1128.1
2014-09-28,Average standard variable tariff (Large legacy suppliers),1128.1
2014-10-28,Average standard variable tariff (Large legacy suppliers),1128.1
2014-11-28,Average standard variable tariff (Large legacy suppliers),1128.1
2014-12-28,Average standard variable tariff (Large legacy suppliers),1128.1
2015-01-28,Average standard variable tariff (Large legacy suppliers),1124.33
2015-02-28,Average standard variable tariff (Large legacy suppliers),1106.65
2015-03-28,Average standard variable tariff (Large legacy suppliers),1106.65
2015-04-28,Average standard variable tariff (Large legacy suppliers),1106.65
2015-05-28,Average standard variable tariff (Large legacy suppliers),1102.28
2015-06-28,Average standard variable tariff (Large legacy suppliers),1102.28
2015-07-28,Average standard variable tariff (Large legacy suppliers),1102.28
2015-08-28,Average standard variable tariff (Large legacy suppliers),1098.03
2015-09-28,Average standard variable tariff (Large legacy suppliers),1098.03
2015-10-28,Average standard variable tariff (Large legacy suppliers),1098.03
2015-11-28,Average standard variable tariff (Large legacy suppliers),1098.03
2015-12-28,Average standard variable tariff (Large legacy suppliers),1098.03
2016-01-28,Average standard variable tariff (Large legacy suppliers),1098.03
2016-02-28,Average standard variable tariff (Large legacy suppliers),1092.69
2016-03-28,Average standard variable tariff (Large legacy suppliers),1071.44
2016-04-28,Average standard variable tariff (Large legacy suppliers),1065.97
2016-05-28,Average standard variable tariff (Large legacy suppliers),1065.97
2016-06-28,Average standard variable tariff (Large legacy suppliers),1065.97
2016-07-28,Average standard variable tariff (Large legacy suppliers),1065.97
2016-08-28,Average standard variable tariff (Large legacy suppliers),1065.97
2016-09-28,Average standard variable tariff (Large legacy suppliers),1065.97
2016-10-28,Average standard variable tariff (Large legacy suppliers),1065.97
2016-11-28,Average standard variable tariff (Large legacy suppliers),1065.97
2016-12-28,Average standard variable tariff (Large legacy suppliers),1065.97
2017-01-28,Average standard variable tariff (Large legacy suppliers),1061.06
2017-02-28,Average standard variable tariff (Large legacy suppliers),1081.27
2017-03-28,Average standard variable tariff (Large legacy suppliers),1109.48
2017-04-28,Average standard variable tariff (Large legacy suppliers),1122.28
2017-05-28,Average standard variable tariff (Large legacy suppliers),1122.28
2017-06-28,Average standard variable tariff (Large legacy suppliers),1122.28
2017-07-28,Average standard variable tariff (Large legacy suppliers),1122.28
2017-08-28,Average standard variable tariff (Large legacy suppliers),1122.28
2017-09-28,Average standard variable tariff (Large legacy suppliers),1134.95
2017-10-28,Average standard variable tariff (Large legacy suppliers),1134.95
2017-11-28,Average standard variable tariff (Large legacy suppliers),1134.95
2017-12-28,Average standard variable tariff (Large legacy suppliers),1134.95
2018-01-28,Average standard variable tariff (Large legacy suppliers),1134.95
2018-02-28,Average standard variable tariff (Large legacy suppliers),1134.95
2018-03-28,Average standard variable tariff (Large legacy suppliers),1134.95
2018-04-28,Average standard variable tariff (Large legacy suppliers),1138.28
2018-05-28,Average standard variable tariff (Large legacy suppliers),1138.28
2018-06-28,Average standard variable tariff (Large legacy suppliers),1172.2
2018-07-28,Average standard variable tariff (Large legacy suppliers),1184.79
2018-08-28,Average standard variable tariff (Large legacy suppliers),1194.0
2018-09-28,Average standard variable tariff (Large legacy suppliers),1205.62
2018-10-28,Average standard variable tariff (Large legacy suppliers),1220.65
2018-11-28,Average standard variable tariff (Large legacy suppliers),1220.65
2018-12-28,Average standard variable tariff (Large legacy suppliers),1220.65
2019-01-28,Average standard variable tariff (Large legacy suppliers),1136.67
2019-02-28,Average standard variable tariff (Large legacy suppliers),1136.67
2019-03-28,Average standard variable tariff (Large legacy suppliers),1136.67
2019-04-28,Average standard variable tariff (Large legacy suppliers),1253.94
2019-05-28,Average standard variable tariff (Large legacy suppliers),1253.94
2019-06-28,Average standard variable tariff (Large legacy suppliers),1253.94
2019-07-28,Average standard variable tariff (Large legacy suppliers),1253.99
2019-08-28,Average standard variable tariff (Large legacy suppliers),1253.99
2019-09-28,Average standard variable tariff (Large legacy suppliers),1253.99
2019-10-28,Average standard variable tariff (Large legacy suppliers),1177.79
2019-11-28,Average standard variable tariff (Large legacy suppliers),1177.79
2019-12-28,Average standard variable tariff (Large legacy suppliers),1177.79
2020-01-28,Average standard variable tariff (Large legacy suppliers),1177.63
2020-02-28,Average standard variable tariff (Large legacy suppliers),1177.47
2020-03-28,Average standard variable tariff (Large legacy suppliers),1175.93
2020-04-28,Average standard variable tariff (Large legacy suppliers),1125.05
