EUBWID,label,year,classificationLabel,regime,classificationType
ukc1101-06000,Seaton Carew North,2004,Minimum,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2004,Good,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2005,Minimum,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2005,Good,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2006,Higher,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2006,Good,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2007,Higher,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2007,Good,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2008,Higher,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2008,Good,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2009,Minimum,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2009,Good,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2010,Minimum,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2010,Sufficient,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2011,Higher,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2011,Sufficient,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2012,Fail,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2012,Poor,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2013,Minimum,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2013,Poor,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2014,Higher,1976 directive,actual assessment
ukc1101-06000,Seaton Carew North,2014,Sufficient,2006 directive,projected assessment
ukc1101-06000,Seaton Carew North,2015,Sufficient,2006 directive,actual assessment
ukc1101-06000,Seaton Carew North,2016,Good,2006 directive,actual assessment
ukc1101-06000,Seaton Carew North,2017,Good,2006 directive,actual assessment
ukc1101-06000,Seaton Carew North,2018,Good,2006 directive,actual assessment
ukc1101-06000,Seaton Carew North,2019,Good,2006 directive,actual assessment
ukc1101-06000,Seaton Carew North,2021,Good,2006 directive,actual assessment
ukc1101-06000,Seaton Carew North,2022,Good,2006 directive,actual assessment
ukc1101-06000,Seaton Carew North,2023,Good,2006 directive,actual assessment
ukc1101-06000,Seaton Carew North,2024,Good,2006 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2004,Higher,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2004,Sufficient,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2005,Minimum,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2005,Sufficient,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2006,Higher,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2006,Good,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2007,Higher,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2007,Excellent,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2008,Minimum,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2008,Good,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2009,Higher,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2009,Excellent,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2010,Minimum,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2010,Good,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2011,Higher,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2011,Sufficient,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2012,Minimum,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2012,Sufficient,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2013,Higher,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2013,Sufficient,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2014,Higher,1976 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2014,Sufficient,2006 directive,projected assessment
ukc1101-06100,Seaton Carew Centre,2015,Good,2006 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2016,Excellent,2006 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2017,Excellent,2006 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2018,Excellent,2006 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2019,Excellent,2006 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2021,Excellent,2006 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2022,Excellent,2006 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2023,Good,2006 directive,actual assessment
ukc1101-06100,Seaton Carew Centre,2024,Good,2006 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2004,Higher,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2004,Excellent,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2005,Higher,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2005,Excellent,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2006,Higher,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2006,Excellent,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2007,Higher,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2007,Excellent,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2008,Higher,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2008,Excellent,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2009,Higher,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2009,Excellent,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2010,Higher,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2010,Excellent,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2011,Higher,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2011,Excellent,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2012,Minimum,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2012,Good,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2013,Higher,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2013,Good,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2014,Higher,1976 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2014,Excellent,2006 directive,projected assessment
ukc1101-06200,Seaton Carew North Gare,2015,Excellent,2006 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2016,Excellent,2006 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2017,Excellent,2006 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2018,Excellent,2006 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2019,Excellent,2006 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2021,Excellent,2006 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2022,Excellent,2006 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2023,Excellent,2006 directive,actual assessment
ukc1101-06200,Seaton Carew North Gare,2024,Excellent,2006 directive,actual assessment
ukc1202-06300,Redcar Coatham,2004,Minimum,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2004,Good,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2005,Higher,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2005,Sufficient,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2006,Higher,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2006,Sufficient,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2007,Higher,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2007,Good,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2008,Higher,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2008,Good,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2009,Higher,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2009,Good,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2010,Higher,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2010,Good,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2011,Higher,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2011,Good,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2012,Minimum,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2012,Good,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2013,Higher,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2013,Good,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2014,Higher,1976 directive,actual assessment
ukc1202-06300,Redcar Coatham,2014,Good,2006 directive,projected assessment
ukc1202-06300,Redcar Coatham,2015,Good,2006 directive,actual assessment
ukc1202-06300,Redcar Coatham,2016,Good,2006 directive,actual assessment
ukc1202-06300,Redcar Coatham,2017,Good,2006 directive,actual assessment
ukc1202-06300,Redcar Coatham,2018,Good,2006 directive,actual assessment
ukc1202-06300,Redcar Coatham,2019,Excellent,2006 directive,actual assessment
ukc1202-06300,Redcar Coatham,2021,Excellent,2006 directive,actual assessment
ukc1202-06300,Redcar Coatham,2022,Excellent,2006 directive,actual assessment
ukc1202-06300,Redcar Coatham,2023,Good,2006 directive,actual assessment
ukc1202-06300,Redcar Coatham,2024,Good,2006 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2004,Minimum,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2004,Sufficient,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2005,Higher,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2005,Sufficient,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2006,Higher,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2006,Good,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2007,Higher,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2007,Good,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2008,Minimum,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2008,Good,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2009,Higher,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2009,Sufficient,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2010,Higher,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2010,Good,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2011,Minimum,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2011,Good,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2012,Minimum,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2012,Good,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2013,Higher,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2013,Good,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2014,Higher,1976 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2014,Good,2006 directive,projected assessment
ukc1202-06400,Redcar Lifeboat Station,2015,Good,2006 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2016,Excellent,2006 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2017,Good,2006 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2018,Good,2006 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2019,Excellent,2006 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2021,Good,2006 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2022,Excellent,2006 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2023,Excellent,2006 directive,actual assessment
ukc1202-06400,Redcar Lifeboat Station,2024,Excellent,2006 directive,actual assessment
ukc1202-06500,Redcar Granville,2004,Minimum,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2004,Sufficient,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2005,Higher,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2005,Good,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2006,Higher,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2006,Good,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2007,Higher,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2007,Good,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2008,Minimum,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2008,Good,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2009,Higher,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2009,Good,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2010,Higher,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2010,Good,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2011,Higher,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2011,Good,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2012,Minimum,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2012,Good,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2013,Higher,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2013,Good,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2014,Minimum,1976 directive,actual assessment
ukc1202-06500,Redcar Granville,2014,Good,2006 directive,projected assessment
ukc1202-06500,Redcar Granville,2015,Good,2006 directive,actual assessment
ukc1202-06500,Redcar Granville,2016,Good,2006 directive,actual assessment
ukc1202-06500,Redcar Granville,2017,Good,2006 directive,actual assessment
ukc1202-06500,Redcar Granville,2018,Good,2006 directive,actual assessment
ukc1202-06500,Redcar Granville,2019,Good,2006 directive,actual assessment
ukc1202-06500,Redcar Granville,2021,Good,2006 directive,actual assessment
ukc1202-06500,Redcar Granville,2022,Excellent,2006 directive,actual assessment
ukc1202-06500,Redcar Granville,2023,Excellent,2006 directive,actual assessment
ukc1202-06500,Redcar Granville,2024,Excellent,2006 directive,actual assessment
ukc1202-06600,Redcar Stray,2004,Higher,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2004,Good,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2005,Higher,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2005,Good,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2006,Higher,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2006,Good,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2007,Higher,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2007,Excellent,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2008,Higher,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2008,Excellent,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2009,Higher,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2009,Good,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2010,Higher,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2010,Good,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2011,Higher,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2011,Good,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2012,Minimum,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2012,Good,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2013,Higher,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2013,Good,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2014,Higher,1976 directive,actual assessment
ukc1202-06600,Redcar Stray,2014,Excellent,2006 directive,projected assessment
ukc1202-06600,Redcar Stray,2015,Good,2006 directive,actual assessment
ukc1202-06600,Redcar Stray,2016,Excellent,2006 directive,actual assessment
ukc1202-06600,Redcar Stray,2017,Good,2006 directive,actual assessment
