date,USA,East Coast,New England (PADD 1A),Central Atlantic (PADD 1B),Lower Atlantic (PADD 1C),Midwest,Gulf Coast,Rocky Mountain,West Coast,California,West Coast (PADD 5) Except California,type
1994-03-21,1.106,1.119,,,,1.087,1.065,1.105,1.209,,,Diesel
1994-03-28,1.107,1.115,,,,1.089,1.064,1.1,1.22,,,Diesel
1994-04-04,1.109,1.122,,,,1.087,1.069,1.103,1.219,,,Diesel
1994-04-11,1.108,1.119,,,,1.09,1.066,1.111,1.209,,,Diesel
1994-04-18,1.105,1.115,,,,1.086,1.058,1.118,1.213,,,Diesel
1994-04-25,1.106,1.116,,,,1.085,1.062,1.113,1.217,,,Diesel
1994-05-02,1.104,1.113,,,,1.085,1.06,1.125,1.206,,,Diesel
1994-05-09,1.101,1.112,,,,1.08,1.055,1.12,1.206,,,Diesel
1994-05-16,1.099,1.109,,,,1.08,1.054,1.121,1.2,,,Diesel
1994-05-23,1.099,1.108,,,,1.081,1.05,1.121,1.203,,,Diesel
1994-05-30,1.098,1.106,,,,1.082,1.05,1.129,1.194,,,Diesel
1994-06-06,1.101,1.109,,,,1.083,1.056,1.121,1.202,,,Diesel
1994-06-13,1.098,1.106,,,,1.081,1.058,1.116,1.191,,,Diesel
1994-06-20,1.103,1.112,,,,1.086,1.061,1.117,1.199,,,Diesel
1994-06-27,1.108,1.114,,,,1.092,1.073,1.122,1.196,,,Diesel
1994-07-04,1.109,1.117,,,,1.094,1.074,1.118,1.193,,,Diesel
1994-07-11,1.11,1.117,,,,1.094,1.078,1.121,1.196,,,Diesel
1994-07-18,1.111,1.117,,,,1.094,1.078,1.123,1.2,,,Diesel
1994-07-25,1.111,1.118,,,,1.094,1.078,1.122,1.2,,,Diesel
1994-08-01,1.116,1.12,,,,1.102,1.082,1.129,1.2,,,Diesel
1994-08-08,1.127,1.127,,,,1.116,1.098,1.137,1.205,,,Diesel
1994-08-15,1.127,1.127,,,,1.116,1.099,1.134,1.206,,,Diesel
1994-08-22,1.124,1.125,,,,1.109,1.094,1.146,1.209,,,Diesel
1994-08-29,1.122,1.12,,,,1.108,1.088,1.168,1.204,,,Diesel
1994-09-05,1.126,1.122,,,,1.107,1.088,1.194,1.224,,,Diesel
1994-09-12,1.128,1.117,,,,1.107,1.097,1.201,1.233,,,Diesel
1994-09-19,1.126,1.117,,,,1.103,1.088,1.203,1.242,,,Diesel
1994-09-26,1.12,1.113,,,,1.092,1.084,1.201,1.249,,,Diesel
1994-10-03,1.118,1.112,,,,1.089,1.08,1.194,1.249,,,Diesel
1994-10-10,1.117,1.111,,,,1.091,1.074,1.195,1.247,,,Diesel
1994-10-17,1.119,1.112,,,,1.091,1.077,1.197,1.252,,,Diesel
1994-10-24,1.122,1.116,,,,1.094,1.081,1.203,1.257,,,Diesel
1994-10-31,1.133,1.126,,,,1.107,1.093,1.206,1.264,,,Diesel
1994-11-07,1.133,1.126,,,,1.104,1.095,1.204,1.267,,,Diesel
1994-11-14,1.135,1.128,,,,1.107,1.095,1.207,1.268,,,Diesel
1994-11-21,1.13,1.128,,,,1.099,1.091,1.2,1.267,,,Diesel
1994-11-28,1.126,1.124,,,,1.095,1.086,1.188,1.262,,,Diesel
1994-12-05,1.123,1.124,,,,1.095,1.082,1.169,1.257,,,Diesel
1994-12-12,1.114,1.117,,,,1.085,1.076,1.155,1.245,,,Diesel
1994-12-19,1.109,1.114,,,,1.082,1.071,1.148,1.231,,,Diesel
1994-12-26,1.106,1.113,,,,1.084,1.065,1.135,1.217,,,Diesel
1995-01-02,1.104,1.115,,,,1.081,1.063,1.125,1.212,,,Diesel
1995-01-09,1.102,1.112,,,,1.078,1.065,1.122,1.205,,,Diesel
1995-01-16,1.1,1.114,,,,1.077,1.06,1.113,1.2,,,Diesel
1995-01-23,1.095,1.112,,,,1.069,1.056,1.109,1.196,,,Diesel
1995-01-30,1.09,1.11,,,,1.065,1.051,1.095,1.192,,,Diesel
1995-02-06,1.086,1.101,,,,1.062,1.05,1.089,1.191,,,Diesel
1995-02-13,1.088,1.103,,,,1.065,1.05,1.091,1.19,,,Diesel
1995-02-20,1.088,1.102,,,,1.065,1.05,1.094,1.19,,,Diesel
1995-02-27,1.089,1.101,,,,1.069,1.05,1.096,1.188,,,Diesel
1995-03-06,1.089,1.097,,,,1.067,1.051,1.111,1.197,,,Diesel
1995-03-13,1.088,1.094,,,,1.069,1.046,1.107,1.197,,,Diesel
1995-03-20,1.085,1.088,,,,1.065,1.043,1.106,1.201,,,Diesel
1995-03-27,1.088,1.094,,,,1.069,1.042,1.108,1.202,,,Diesel
1995-04-03,1.094,1.09,,,,1.076,1.053,1.113,1.215,,,Diesel
1995-04-10,1.101,1.095,,,,1.083,1.063,1.117,1.225,,,Diesel
1995-04-17,1.106,1.099,,,,1.085,1.07,1.128,1.237,,,Diesel
1995-04-24,1.115,1.107,,,,1.093,1.078,1.138,1.247,,,Diesel
1995-05-01,1.119,1.113,,,,1.094,1.08,1.143,1.259,,,Diesel
1995-05-08,1.126,1.12,,,,1.103,1.087,1.156,1.26,,,Diesel
1995-05-15,1.126,1.123,,,,1.1,1.086,1.158,1.262,,,Diesel
1995-05-22,1.124,1.12,,,,1.097,1.087,1.165,1.262,,,Diesel
1995-05-29,1.13,1.128,,,,1.107,1.087,1.167,1.258,,,Diesel
1995-06-05,1.124,1.12,,,,1.1,1.084,1.167,1.253,,,Diesel
1995-06-12,1.122,1.12,,,,1.099,1.084,1.162,1.24,,,Diesel
1995-06-19,1.117,1.117,,,,1.094,1.078,1.165,1.228,,,Diesel
1995-06-26,1.112,1.116,,,,1.09,1.071,1.155,1.221,,,Diesel
1995-07-03,1.106,1.112,,,,1.081,1.067,1.16,1.213,1.277,,Diesel
1995-07-10,1.103,1.106,,,,1.077,1.063,1.148,1.223,1.274,,Diesel
1995-07-17,1.099,1.102,,,,1.073,1.058,1.143,1.22,1.264,,Diesel
1995-07-24,1.098,1.1,,,,1.077,1.056,1.14,1.212,1.258,,Diesel
1995-07-31,1.093,1.095,,,,1.067,1.055,1.141,1.211,1.258,,Diesel
1995-08-07,1.099,1.099,,,,1.077,1.056,1.146,1.215,1.261,,Diesel
1995-08-14,1.106,1.1,,,,1.089,1.062,1.151,1.22,1.268,,Diesel
1995-08-21,1.106,1.101,,,,1.086,1.064,1.156,1.222,1.276,,Diesel
1995-08-28,1.109,1.101,,,,1.089,1.071,1.16,1.227,1.28,,Diesel
1995-09-04,1.115,1.107,,,,1.093,1.079,1.175,1.23,1.284,,Diesel
1995-09-11,1.119,1.107,,,,1.1,1.084,1.181,1.233,1.294,,Diesel
1995-09-18,1.122,1.107,,,,1.104,1.085,1.19,1.236,1.295,,Diesel
1995-09-25,1.121,1.106,,,,1.099,1.086,1.196,1.243,1.302,,Diesel
1995-10-02,1.117,1.104,,,,1.093,1.08,1.202,1.244,1.307,,Diesel
1995-10-09,1.117,1.1,,,,1.091,1.077,1.21,1.256,1.308,,Diesel
1995-10-16,1.117,1.104,,,,1.092,1.071,1.211,1.254,1.308,,Diesel
1995-10-23,1.114,1.102,,,,1.086,1.069,1.212,1.258,1.306,,Diesel
1995-10-30,1.11,1.098,,,,1.08,1.063,1.215,1.256,1.304,,Diesel
1995-11-06,1.118,1.1,,,,1.096,1.069,1.219,1.257,1.308,,Diesel
1995-11-13,1.118,1.1,,,,1.095,1.073,1.222,1.256,1.311,,Diesel
1995-11-20,1.119,1.098,,,,1.096,1.075,1.228,1.258,1.315,,Diesel
