"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Dataset Coverage (%)"
"EU";"E";"EU";"335.92";"29.4";"-0.02";"3519";"9.55";"1545.05";"1716.2";"1142.6337";"12173.88";"20238.31";"1033.9663";"111.0672";"100"
"country";"C";"Austria";"36.2316";"35.95";"0";"78.2";"46.33";"44.86";"44.5";"100.7909";"863.6";"1083.51";"101.3803";"0.0078";"100"
"company";"N";"GSA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Haidach (GSA) // historical data prior to 6 Oct 2022";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"OMV Gas Storage (11)";"7.8479";"28.76";"-0.03";"0";"0";"0";"8.7";"27.283";"213.34";"308.31";"27.6334";"0";"0"
"facility";"C";"VGS OMV Gas Storage Pool (Tallesbrunn & Schönkirchen / Reyersdorf)";"7.8479";"28.76";"-0.03";"0";"0";"0";"8.7";"27.283";"213.34";"308.31";"27.6334";"0";"0"
"company";"C";"RAG Energy Storage";"16.3968";"45.31";"-0.06";"0";"0";"0";"23.1";"36.184";"336.12";"374.52";"36.4308";"0";"0"
"facility";"C";"RAG Storage Pool (Puchkirchen / Haag, Aigelsbrunn, Haidach 5, 7Fields-RAG, Haidach)";"16.3968";"45.31";"-0.06";"0";"0";"0";"23.1";"36.184";"336.12";"374.52";"36.4308";"0";"0"
"company";"C";"SEFE Storage";"5.7764";"29.62";"0.23";"0";"0";"44.86";"0";"19.4989";"165.6";"177.87";"19.4989";"0";"0"
"facility";"C";"UGS Haidach (SEFE Storage)";"5.7764";"29.62";"0.23";"0";"0";"44.86";"0";"19.4989";"165.6";"177.87";"19.4989";"0";"0"
"company";"C";"Uniper Energy Storage (AT)";"6.2106";"34.84";"-0.07";"0";"0";"0";"12.6";"17.825";"148.54";"222.81";"17.8172";"0.0078";"0"
"facility";"C";"UGS 7 Fields (Uniper Energy Storage) - AT";"6.2106";"34.84";"-0.07";"0";"0";"0";"12.6";"17.825";"148.54";"222.81";"17.8172";"0.0078";"0"
"country";"C";"Belgium";"2.2964";"25.57";"-0.23";"152.95";"1.5";"0";"8.4";"8.98";"88.14";"169.66";"8.9812";"0";"100"
"company";"C";"Fluxys";"2.2964";"25.57";"-0.23";"0";"0";"0";"8.4";"8.98";"88.14";"169.66";"8.9812";"0";"0"
"facility";"C";"UGS Loenhout";"2.2964";"25.57";"-0.23";"0";"0";"0";"8.4";"8.98";"88.14";"169.66";"8.9812";"0";"0"
"country";"C";"Bulgaria";"2.8096";"40.11";"-0.37";"31.05";"9.05";"0";"26.1";"7.0044";"42.13";"46.88";"5.16";"1.44";"100"
"company";"C";"Bulgartransgaz (4)";"2.8096";"40.11";"-0.37";"0";"0";"0";"26.1";"7.0044";"42.13";"46.88";"5.16";"1.44";"0"
"facility";"C";"UGS Chiren";"2.8096";"40.11";"-0.37";"0";"0";"0";"26.1";"7.0044";"42.13";"46.88";"5.16";"1.44";"0"
"country";"C";"Croatia";"0.496";"10.39";"-0.03";"27.6";"1.8";"4.65";"5.8";"4.7725";"43.87";"51.57";"4.7725";"0";"100"
"company";"C";"PSP";"0.496";"10.39";"-0.03";"0";"0";"4.65";"5.8";"4.7725";"43.87";"51.57";"4.7725";"0";"0"
"facility";"C";"UGS Okoli";"0.496";"10.39";"-0.03";"0";"0";"4.65";"5.8";"4.7725";"43.87";"51.57";"4.7725";"0";"0"
"country";"C";"Czech Republic";"14.3156";"30.42";"-0.02";"77.05";"18.58";"51.84";"58.6";"47.0535";"558.17";"732.07";"47.3211";"0.6418";"100"
"company";"C";"Gas Storage CZ";"8.2862";"26.43";"0.02";"0";"0";"50.7";"43.8";"31.35";"363.9";"451.12";"32.2595";"0";"0"
"facility";"C";"VGS GSCZ (Háje, Třanovice, Štramberk, Tvrdonice, Dolni Dunajovice, Lobodice)";"8.2862";"26.43";"0.02";"0";"0";"50.7";"43.8";"31.35";"363.9";"451.12";"32.2595";"0";"0"
"company";"C";"MND Energy Storage";"0.4668";"12.6";"-0.06";"0";"0";"1.14";"2.3";"3.7044";"60";"98";"3.7044";"0";"0"
"facility";"C";"UGS Uhřice";"0.4668";"12.6";"-0.06";"0";"0";"1.14";"2.3";"3.7044";"60";"98";"3.7044";"0";"0"
"company";"C";"MND Gas Storage";"0.4575";"9.05";"-0.07";"0";"0";"0";"3.8";"5.0551";"60.84";"87.37";"5.0551";"0";"0"
"facility";"C";"UGS Dambořice";"0.4575";"9.05";"-0.07";"0";"0";"0";"3.8";"5.0551";"60.84";"87.37";"5.0551";"0";"0"
"company";"C";"SPP Storage";"5.1051";"73.52";"-0.13";"0";"0";"0";"8.7";"6.9439";"73.43";"95.58";"6.3021";"0.6418";"0"
"facility";"C";"UGS Dolni Bojanovice";"5.1051";"73.52";"-0.13";"0";"0";"0";"8.7";"6.9439";"73.43";"95.58";"6.3021";"0.6418";"0"
"country";"C";"Denmark";"2.6408";"26.97";"-0.21";"18.4";"14.35";"5.29";"25.5";"9.79";"90.72";"180";"6.9965";"1.961";"100"
"company";"C";"GSD";"2.6408";"26.97";"-0.21";"0";"0";"5.29";"25.5";"9.79";"90.72";"180";"6.9965";"1.961";"0"
"facility";"C";"VGS GSD Gas Storage (Lille Torup, Stenlille)";"2.6408";"26.97";"-0.21";"0";"0";"5.29";"25.5";"9.79";"90.72";"180";"6.9965";"1.961";"0"
"country";"C";"France";"27.483";"21.86";"0.11";"368";"7.47";"416.23";"276.8";"125.7231";"1102.09";"2500.74";"125.7231";"0";"100"
"company";"C";"Storengy";"18.7206";"20.39";"-0.06";"0";"0";"189.09";"240.5";"91.8113";"801.96";"1920.73";"91.8113";"0";"0"
