Country name,Rank,Factor,Score,Top/Bottom
Finland,1,Explained by: Log GDP per capita,1.749,Top 10
Denmark,2,Explained by: Log GDP per capita,1.825,Top 10
Iceland,3,Explained by: Log GDP per capita,1.799,Top 10
Sweden,4,Explained by: Log GDP per capita,1.783,Top 10
Netherlands,5,Explained by: Log GDP per capita,1.822,Top 10
Costa Rica,6,Explained by: Log GDP per capita,1.492,Top 10
Norway,7,Explained by: Log GDP per capita,1.902,Top 10
Israel,8,Explained by: Log GDP per capita,1.695,Top 10
Luxembourg,9,Explained by: Log GDP per capita,2.028,Top 10
Mexico,10,Explained by: Log GDP per capita,1.435,Top 10
Finland,1,Explained by: Social support,1.783,Top 10
Denmark,2,Explained by: Social support,1.748,Top 10
Iceland,3,Explained by: Social support,1.84,Top 10
Sweden,4,Explained by: Social support,1.698,Top 10
Netherlands,5,Explained by: Social support,1.667,Top 10
Costa Rica,6,Explained by: Social support,1.6,Top 10
Norway,7,Explained by: Social support,1.711,Top 10
Israel,8,Explained by: Social support,1.743,Top 10
Luxembourg,9,Explained by: Social support,1.558,Top 10
Mexico,10,Explained by: Social support,1.504,Top 10
Finland,1,Explained by: Healthy life expectancy,0.824,Top 10
Denmark,2,Explained by: Healthy life expectancy,0.82,Top 10
Iceland,3,Explained by: Healthy life expectancy,0.873,Top 10
Sweden,4,Explained by: Healthy life expectancy,0.889,Top 10
Netherlands,5,Explained by: Healthy life expectancy,0.844,Top 10
Costa Rica,6,Explained by: Healthy life expectancy,0.68,Top 10
Norway,7,Explained by: Healthy life expectancy,0.863,Top 10
Israel,8,Explained by: Healthy life expectancy,0.824,Top 10
Luxembourg,9,Explained by: Healthy life expectancy,0.864,Top 10
Mexico,10,Explained by: Healthy life expectancy,0.55,Top 10
Finland,1,Explained by: Freedom to make life choices,0.986,Top 10
Denmark,2,Explained by: Freedom to make life choices,0.955,Top 10
Iceland,3,Explained by: Freedom to make life choices,0.971,Top 10
Sweden,4,Explained by: Freedom to make life choices,0.952,Top 10
Netherlands,5,Explained by: Freedom to make life choices,0.86,Top 10
Costa Rica,6,Explained by: Freedom to make life choices,0.948,Top 10
Norway,7,Explained by: Freedom to make life choices,0.962,Top 10
Israel,8,Explained by: Freedom to make life choices,0.74,Top 10
Luxembourg,9,Explained by: Freedom to make life choices,0.931,Top 10
Mexico,10,Explained by: Freedom to make life choices,0.879,Top 10
Finland,1,Explained by: Generosity,0.11,Top 10
Denmark,2,Explained by: Generosity,0.15,Top 10
Iceland,3,Explained by: Generosity,0.201,Top 10
Sweden,4,Explained by: Generosity,0.17,Top 10
Netherlands,5,Explained by: Generosity,0.186,Top 10
Costa Rica,6,Explained by: Generosity,0.067,Top 10
Norway,7,Explained by: Generosity,0.168,Top 10
Israel,8,Explained by: Generosity,0.144,Top 10
Luxembourg,9,Explained by: Generosity,0.117,Top 10
Mexico,10,Explained by: Generosity,0.057,Top 10
Finland,1,Explained by: Perceptions of corruption,0.502,Top 10
Denmark,2,Explained by: Perceptions of corruption,0.488,Top 10
Iceland,3,Explained by: Perceptions of corruption,0.173,Top 10
Sweden,4,Explained by: Perceptions of corruption,0.467,Top 10
Netherlands,5,Explained by: Perceptions of corruption,0.344,Top 10
Costa Rica,6,Explained by: Perceptions of corruption,0.118,Top 10
Norway,7,Explained by: Perceptions of corruption,0.425,Top 10
Israel,8,Explained by: Perceptions of corruption,0.193,Top 10
Luxembourg,9,Explained by: Perceptions of corruption,0.397,Top 10
Mexico,10,Explained by: Perceptions of corruption,0.118,Top 10
Finland,1,Dystopia + residual,1.782,Top 10
Denmark,2,Dystopia + residual,1.535,Top 10
Iceland,3,Dystopia + residual,1.659,Top 10
Sweden,4,Dystopia + residual,1.385,Top 10
Netherlands,5,Dystopia + residual,1.583,Top 10
Costa Rica,6,Dystopia + residual,2.369,Top 10
Norway,7,Dystopia + residual,1.231,Top 10
Israel,8,Dystopia + residual,1.895,Top 10
Luxembourg,9,Dystopia + residual,1.227,Top 10
Mexico,10,Dystopia + residual,2.438,Top 10
