Month,Diesel,Hybrid,Petrol
2021-06-01,0.41,0.04,0.54
2021-07-01,0.41,0.04,0.55
2021-08-01,0.42,0.04,0.54
2021-09-01,0.4,0.04,0.55
2021-10-01,0.41,0.04,0.54
2021-11-01,0.4,0.04,0.55
2021-12-01,0.41,0.04,0.54
2022-01-01,0.4,0.04,0.56
2022-02-01,0.4,0.05,0.56
2022-03-01,0.38,0.06,0.57
2022-04-01,0.38,0.05,0.57
2022-05-01,0.38,0.05,0.56
2022-06-01,0.38,0.06,0.56
2022-07-01,0.38,0.05,0.56
2022-08-01,0.38,0.05,0.57
2022-09-01,0.37,0.05,0.57
2022-10-01,0.36,0.05,0.58
2022-11-01,0.36,0.06,0.58
2022-12-01,0.37,0.06,0.57
2023-01-01,0.35,0.07,0.58
2023-02-01,0.36,0.07,0.57
2023-03-01,0.37,0.08,0.56
2023-04-01,0.36,0.08,0.56
2023-05-01,0.36,0.08,0.56
2023-06-01,0.36,0.09,0.56
2023-07-01,0.35,0.09,0.56
2023-08-01,0.34,0.09,0.57
2023-09-01,0.34,0.09,0.57
2023-10-01,0.34,0.09,0.57
2023-11-01,0.33,0.1,0.57
2023-12-01,0.32,0.1,0.58
2024-01-01,0.3,0.12,0.58
2024-02-01,0.31,0.11,0.58
2024-03-01,0.31,0.12,0.57
2024-04-01,0.31,0.12,0.57
2024-05-01,0.31,0.12,0.57
2024-06-01,0.31,0.13,0.57
