date,value,series
1943,-0.000278552,before 18
1944,0.011977716,before 18
1946,0.011977716,before 18
1947,0.005849582,before 18
1949,0.016991643,before 18
1950,0.014206128,before 18
1951,0.033147632,before 18
1953,0.08718663,before 18
1954,0.101114206,before 18
1956,0.092200557,before 18
1957,0.081058496,before 18
1958,0.079387187,before 18
1959,0.094986072,before 18
1960,0.105571031,before 18
1961,0.098885794,before 18
1962,0.089972145,before 18
1943,0.073816156,age 18-20
1945,0.096100279,age 18-20
1946,0.118384401,age 18-20
1947,0.17632312,age 18-20
1948,0.199721448,age 18-20
1950,0.303899721,age 18-20
1951,0.28718663,age 18-20
1952,0.294986072,age 18-20
1953,0.262116992,age 18-20
1954,0.269359331,age 18-20
1955,0.240947075,age 18-20
1956,0.267688022,age 18-20
1957,0.264902507,age 18-20
1958,0.273816156,age 18-20
1959,0.208077994,age 18-20
1960,0.222005571,age 18-20
1961,0.217548747,age 18-20
1962,0.284958217,age 18-20
1939,0.000278552,before age 21
1940,0.01643454,before age 21
1941,0.01643454,before age 21
1942,0.058774373,before age 21
1943,0.071587744,before age 21
1944,0.097214485,before age 21
1945,0.111699164,before age 21
1946,0.131197772,before age 21
1947,0.183008357,before age 21
1948,0.211420613,before age 21
1949,0.267688022,before age 21
1950,0.318384401,before age 21
1951,0.317827298,before age 21
1952,0.352367688,before age 21
1953,0.34902507,before age 21
1954,0.370752089,before age 21
1955,0.336768802,before age 21
1956,0.359610028,before age 21
1957,0.345125348,before age 21
1958,0.352367688,before age 21
1959,0.301671309,before age 21
1960,0.326183844,before age 21
1961,0.317270195,before age 21
1962,0.374094708,before age 21
