month,uk,uk_excld_london,london
2016-01-01,2.6,1.8,3.9
2016-02-01,2.6,1.9,3.8
2016-03-01,2.6,2.0,3.7
2016-04-01,2.6,2.0,3.7
2016-05-01,2.5,2.0,3.3
2016-06-01,2.4,2.0,3.0
2016-07-01,2.4,2.1,3.0
2016-08-01,2.3,2.1,2.6
2016-09-01,2.3,2.1,2.7
2016-10-01,2.3,2.2,2.6
2016-11-01,2.3,2.2,2.4
2016-12-01,2.3,2.3,2.4
2017-01-01,2.2,2.2,2.1
2017-02-01,2.1,2.2,1.9
2017-03-01,1.9,2.2,1.6
2017-04-01,1.8,2.1,1.4
2017-05-01,1.8,2.0,1.3
2017-06-01,1.8,2.0,1.3
2017-07-01,1.8,2.0,1.5
2017-08-01,1.6,1.9,1.2
2017-09-01,1.6,1.9,0.9
2017-10-01,1.5,1.9,0.8
2017-11-01,1.4,1.8,0.6
2017-12-01,1.2,1.7,0.4
2018-01-01,1.1,1.6,0.2
2018-02-01,1.1,1.6,0.1
2018-03-01,1.1,1.6,0.1
2018-04-01,1.0,1.6,0.0
2018-05-01,1.0,1.6,-0.2
2018-06-01,1.0,1.6,-0.2
2018-07-01,0.9,1.5,-0.3
2018-08-01,0.9,1.5,-0.3
2018-09-01,0.9,1.5,-0.2
2018-10-01,0.9,1.5,-0.2
2018-11-01,0.9,1.4,0.0
2018-12-01,1.0,1.5,0.2
2019-01-01,1.0,1.5,0.1
2019-02-01,1.1,1.5,0.2
2019-03-01,1.2,1.5,0.5
2019-04-01,1.2,1.5,0.5
2019-05-01,1.3,1.5,0.9
2019-06-01,1.3,1.5,0.9
2019-07-01,1.3,1.5,0.9
2019-08-01,1.3,1.5,0.8
2019-09-01,1.3,1.5,0.9
2019-10-01,1.3,1.5,0.9
2019-11-01,1.4,1.6,1.0
2019-12-01,1.4,1.5,1.2
2020-01-01,1.5,1.6,1.3
2020-02-01,1.4,1.5,1.1
2020-03-01,1.4,1.5,1.2
2020-04-01,1.5,1.6,1.3
2020-05-01,1.5,1.7,1.2
2020-06-01,1.5,1.6,1.2
2020-07-01,1.4,1.6,1.1
2020-08-01,1.5,1.6,1.3
2020-09-01,1.5,1.6,1.2
2020-10-01,1.4,1.7,0.9
2020-11-01,1.4,1.5,1.1
2020-12-01,1.4,1.6,0.9
2021-01-01,1.3,1.5,0.8
2021-02-01,1.3,1.6,0.8
2021-03-01,1.3,1.7,0.5
2021-04-01,1.2,1.7,0.1
2021-05-01,1.2,1.8,-0.1
2021-06-01,1.2,1.8,-0.1
2021-07-01,1.3,1.9,-0.1
2021-08-01,1.3,2.1,-0.4
2021-09-01,1.4,2.1,-0.3
2021-10-01,1.6,2.3,0.1
2021-11-01,1.7,2.6,-0.1
2021-12-01,1.9,2.8,-0.1
2022-01-01,2.1,3.0,0.1
2022-02-01,2.2,3.1,0.2
2022-03-01,2.3,3.2,0.4
2022-04-01,2.6,3.3,1.1
2022-05-01,2.8,3.5,1.5
2022-06-01,3.0,3.7,1.7
2022-07-01,3.3,3.8,2.1
2022-08-01,3.5,3.9,2.5
2022-09-01,3.7,4.1,2.8
2022-10-01,3.8,4.2,3.0
2022-11-01,4.0,4.2,3.5
2022-12-01,4.2,4.3,4.0
2023-01-01,4.4,4.5,4.3
2023-02-01,4.6,4.6,4.6
2023-03-01,4.8,4.7,4.8
2023-04-01,4.9,4.8,5.0
2023-05-01,5.0,4.9,5.1
2023-06-01,5.2,5.1,5.3
2023-07-01,5.3,5.3,5.5
2023-08-01,5.6,5.4,5.9
2023-09-01,5.7,5.5,6.2
2023-10-01,6.1,5.8,6.8
2023-11-01,6.2,5.9,6.9
2023-12-01,6.2,5.9,6.8
2024-01-01,6.2,5.9,6.9
