date,country,rent_yoy,house_building_yoy
2016-01-01,England,3.5,
2016-02-01,England,3.5,
2016-03-01,England,3.4,-8.077260755048288
2016-04-01,England,3.5,
2016-05-01,England,3.4,
2016-06-01,England,3.4,-2.3431187718825797
2016-07-01,England,3.6,
2016-08-01,England,3.4,
2016-09-01,England,3.4,11.314889648741055
2016-10-01,England,3.5,
2016-11-01,England,3.7,
2016-12-01,England,3.6,-1.5637016149705252
2017-01-01,England,3.6,
2017-02-01,England,3.5,
2017-03-01,England,3.2,17.956064947468953
2017-04-01,England,3.2,
2017-05-01,England,2.8,
2017-06-01,England,3.0,16.27137341423055
2017-07-01,England,2.7,
2017-08-01,England,2.4,
2017-09-01,England,2.2,3.2672437866517745
2017-10-01,England,1.9,
2017-11-01,England,1.7,
2017-12-01,England,1.6,20.520833333333343
2018-01-01,England,1.2,
2018-02-01,England,1.1,
2018-03-01,England,1.0,-4.237516869095814
2018-04-01,England,0.8,
2018-05-01,England,0.7,
2018-06-01,England,0.6,0.7590132827324458
2018-07-01,England,0.6,
2018-08-01,England,0.7,
2018-09-01,England,0.8,4.5429962141698255
2018-10-01,England,0.9,
2018-11-01,England,1.0,
2018-12-01,England,1.1,5.596369922212618
2019-01-01,England,1.3,
2019-02-01,England,1.4,
2019-03-01,England,1.7,10.0620067643743
2019-04-01,England,1.6,
2019-05-01,England,2.1,
2019-06-01,England,2.0,9.016007532956682
2019-07-01,England,1.9,
2019-08-01,England,1.9,
2019-09-01,England,2.1,10.708742886704602
2019-10-01,England,2.0,
2019-11-01,England,2.1,
2019-12-01,England,2.1,1.7393083691426225
2020-01-01,England,2.1,
2020-02-01,England,2.1,
2020-03-01,England,2.0,-6.504481434058896
2020-04-01,England,2.0,
2020-05-01,England,1.7,
2020-06-01,England,1.7,-64.06823580220255
2020-07-01,England,1.7,
2020-08-01,England,1.6,
2020-09-01,England,1.5,-1.612149532710283
2020-10-01,England,1.5,
2020-11-01,England,1.2,
2020-12-01,England,1.0,3.3789219629927647
2021-01-01,England,1.0,
2021-02-01,England,1.0,
2021-03-01,England,1.0,21.911804984935635
2021-04-01,England,1.1,
2021-05-01,England,0.9,
2021-06-01,England,1.0,163.88221153846155
2021-07-01,England,1.0,
2021-08-01,England,1.2,
2021-09-01,England,1.2,-2.778437425789604
2021-10-01,England,1.5,
2021-11-01,England,1.8,
2021-12-01,England,2.3,-11.322957198443584
2022-01-01,England,2.6,
2022-02-01,England,2.8,
2022-03-01,England,3.1,-8.492473601437878
2022-04-01,England,3.5,
2022-05-01,England,3.9,
2022-06-01,England,4.0,5.1924390799362286
2022-07-01,England,4.4,
2022-08-01,England,4.7,
2022-09-01,England,5.1,-0.6839276990718179
2022-10-01,England,5.1,
2022-11-01,England,5.4,
2022-12-01,England,5.5,10.64063185607722
2023-01-01,England,5.7,
2023-02-01,England,5.8,
2023-03-01,England,6.0,-8.76503805548735
2023-04-01,England,6.4,
2023-05-01,England,7.0,
2023-06-01,England,7.4,-12.9465252219095
2023-07-01,England,7.6,
2023-08-01,England,7.8,
2023-09-01,England,7.8,-5.0664043285784555
2023-10-01,England,8.1,
2023-11-01,England,8.1,
2023-12-01,England,8.1,-16.260162601626014
2024-01-01,England,8.3,
2024-02-01,England,8.8,
2024-03-01,England,9.1,
2024-04-01,England,8.9,
2024-05-01,England,8.6,
2024-06-01,England,8.6,
2024-07-01,England,8.6,
2016-01-01,Wales,1.2,
2016-02-01,Wales,0.9,
2016-03-01,Wales,0.8,1.4705882352941124
2016-04-01,Wales,0.6,
2016-05-01,Wales,0.4,
2016-06-01,Wales,0.3,-6.857142857142861
2016-07-01,Wales,0.3,
2016-08-01,Wales,0.9,
2016-09-01,Wales,1.4,-8.045977011494255
2016-10-01,Wales,1.4,
2016-11-01,Wales,1.3,
2016-12-01,Wales,1.4,-1.4705882352941124
2017-01-01,Wales,1.5,
2017-02-01,Wales,1.7,
2017-03-01,Wales,1.7,15.217391304347828
2017-04-01,Wales,1.7,
2017-05-01,Wales,2.0,
2017-06-01,Wales,2.5,26.993865030674847
2017-07-01,Wales,2.8,
2017-08-01,Wales,2.6,
2017-09-01,Wales,2.3,-11.875000000000002
2017-10-01,Wales,2.3,
2017-11-01,Wales,2.2,
2017-12-01,Wales,2.5,-9.452736318407961
2018-01-01,Wales,2.0,
2018-02-01,Wales,1.8,
2018-03-01,Wales,2.1,-13.83647798742138
2018-04-01,Wales,2.4,
2018-05-01,Wales,2.5,
2018-06-01,Wales,2.0,-24.63768115942029
2018-07-01,Wales,1.8,
2018-08-01,Wales,1.8,
2018-09-01,Wales,1.8,-7.801418439716312
2018-10-01,Wales,1.7,
2018-11-01,Wales,1.8,
2018-12-01,Wales,2.1,-12.637362637362637
2019-01-01,Wales,2.4,
2019-02-01,Wales,2.5,
2019-03-01,Wales,2.3,-2.9197080291970767
2019-04-01,Wales,2.3,
2019-05-01,Wales,2.0,
