year,country,rate
2012,Belgium,59.52
2012,US,83.17
2012,Germany,75.9
2012,Greece,77.68
2012,Spain,77.18
2012,France,82.41
2012,Cyprus,93.6
2012,Latvia,78.18
2012,Lithuania,85.82
2012,Malta,90.8
2012,Austria,77.12
2012,Poland,77.29
2012,Portugal,93.76
2012,Romania,94.92
2012,Finland,79.82
2012,Sweden,60.52
2012,Norway,53.35
2012,Croatia,71.83
2012,UK,49.925
2013,Belgium,60.9
2013,US,82.3
2013,Germany,74.7
2013,Ireland,52.0
2013,Greece,83.3
2013,Spain,73.7
2013,France,77.6
2013,Italy,80.6
2013,Cyprus,91.8
2013,Latvia,74.9
2013,Lithuania,84.4
2013,Malta,89.2
2013,Austria,75.8
2013,Poland,72.3
2013,Portugal,92.3
2013,Romania,96.0
2013,Sweden,56.2
2013,Norway,50.0
2013,UK,51.175
2014,Belgium,61.6
2014,US,85.3
2014,Germany,76.1
2014,Ireland,62.9
2014,Greece,81.7
2014,Spain,77.9
2014,France,78.1
2014,Italy,76.2
2014,Cyprus,90.8
2014,Latvia,75.6
2014,Lithuania,87.3
2014,Malta,87.2
2014,Austria,76.6
2014,Poland,73.4
2014,Portugal,93.2
2014,Romania,96.4
2014,Finland,80.1
2014,Sweden,52.5
2014,Norway,63.8
2014,Croatia,65.8
2014,EU Avg,88.75
2014,UK,52.1
2015,Belgium,64.17
2015,US,83.96
2015,Germany,77.3
2015,Ireland,64.08
2015,Greece,80.29
2015,Spain,81.05
2015,France,80.04
2015,Italy,68.87
2015,Cyprus,91.96
2015,Latvia,78.14
2015,Lithuania,87.36
2015,Malta,88.47
2015,Austria,76.26
2015,Poland,68.4
2015,Portugal,91.28
2015,Romania,94.44
2015,Finland,79.96
2015,Sweden,50.94
2015,Norway,62.99
2015,Croatia,68.66
2015,EU Avg,87.23
2015,UK,46.47
2016,Belgium,62.5
2016,US,88.17
2016,Germany,76.5
2016,Greece,82.96
2016,Spain,79.21
2016,France,81.34
2016,Italy,79.38
2016,Cyprus,91.3
2016,Latvia,79.22
2016,Lithuania,91.2
2016,Malta,86.99
2016,Austria,73.37
2016,Poland,67.86
2016,Portugal,92.47
2016,Romania,95.04
2016,Finland,80.2
2016,Sweden,50.18
2016,Norway,66.54
2016,Croatia,71.82
2016,EU Avg,86.65
2016,UK,42.57
2017,Belgium,59.96
2017,US,88.26
2017,Germany,76.66
2017,Ireland,60.6
2017,Greece,89.17
2017,Spain,74.99
2017,France,79.12
2017,Italy,78.67
2017,Cyprus,91.31
2017,Latvia,76.15
2017,Lithuania,85.51
2017,Malta,84.46
2017,Austria,74.83
2017,Poland,76.56
2017,Portugal,91.66
2017,Romania,95.04
2017,Finland,77.33
2017,Sweden,51.23
2017,Norway,62.62
2017,Croatia,68.28
2017,EU Avg,85.78
2017,UK,42.82
2018,Belgium,61.69
2018,US,87.23
2018,Germany,73.41
2018,Ireland,55.15
2018,Greece,82.57
2018,Spain,76.41
2018,France,78.09
2018,Italy,80.17
2018,Cyprus,89.75
2018,Latvia,75.17
2018,Lithuania,87.17
2018,Malta,86.85
2018,Austria,74.91
2018,Poland,74.62
2018,Portugal,93.29
2018,Romania,94.28
2018,Finland,76.09
2018,Sweden,50.53
2018,Norway,63.72
2018,Croatia,71.16
2018,EU Avg,84.38
2018,UK,41.35
2019,Belgium,67.01
2019,US,87.31
2019,Germany,72.77
2019,Ireland,52.31
2019,Greece,80.36
2019,Spain,69.26
2019,France,78.01
2019,Italy,74.88
2019,Cyprus,90.13
2019,Latvia,68.98
2019,Lithuania,86.29
2019,Malta,86.97
2019,Austria,67.94
2019,Poland,74.72
2019,Portugal,93.92
2019,Romania,94.94
2019,Finland,77.04
2019,Sweden,50.1
2019,Norway,59.69
2019,Croatia,68.21
2019,EU Avg,82.68
2019,UK,39.05
2020,Belgium,62.2
2020,US,83.3
2020,Germany,64.0
2020,Ireland,48.2
2020,Greece,88.0
2020,Spain,51.2
2020,France,66.1
2020,Italy,53.3
2020,Cyprus,89.1
2020,Latvia,64.8
2020,Lithuania,58.6
2020,Malta,85.6
2020,Austria,69.4
2020,Poland,70.7
2020,Portugal,55.1
2020,Romania,92.3
2020,Finland,72.8
2020,Sweden,40.9
2020,Norway,52.0
2020,Croatia,57.7
2020,EU Avg,72.33
2020,UK,30.27
2021,Belgium,57.6
2021,US,86.9
2021,Germany,78.3
2021,Ireland,43.7
2021,Greece,89.0
2021,Spain,75.8
2021,France,81.1
2021,Italy,57.8
2021,Cyprus,86.0
2021,Latvia,67.4
2021,Lithuania,76.9
2021,Malta,87.6
2021,Austria,68.4
2021,Poland,75.7
2021,Portugal,68.1
2021,Romania,93.1
2021,Finland,72.9
2021,Sweden,46.3
2021,Croatia,72.0
2021,EU Avg,76.45
2021,UK,22.62
2022,Belgium,61.0
2022,US,87.8
2022,Germany,85.4
2022,Ireland,47.4
2022,Greece,89.4
2022,Spain,74.3
2022,France,80.9
2022,Italy,60.8
2022,Cyprus,89.2
2022,Latvia,68.2
2022,Lithuania,83.2
2022,Malta,87.7
2022,Austria,66.9
2022,Poland,76.6
2022,Portugal,82.2
2022,Romania,93.9
2022,Finland,70.6
2022,Sweden,49.9
2022,Norway,69.7
2022,Croatia,71.4
2022,EU Avg,72.86
2022,UK,20.67
