date,stations,lo,hi
2010-06-19,1,1,1
2010-07-04,8,8,8
2010-07-05,14,14,14
2010-07-06,23,23,23
2010-07-07,32,32,32
2010-07-08,38,38,38
2010-07-09,42,42,42
2010-07-10,59,59,59
2010-07-11,65,65,65
2010-07-12,74,74,74
2010-07-13,87,87,87
2010-07-14,112,112,112
2010-07-15,145,145,146
2010-07-16,168,168,168
2010-07-17,184,184,184
2010-07-18,192,192,192
2010-07-19,206,206,206
2010-07-20,233,233,233
2010-07-21,269,269,269
2010-07-22,287,287,287
2010-07-23,304,304,304
2010-07-26,317,317,317
2010-07-27,322,322,322
2010-09-06,323,323,323
2010-09-15,325,325,325
2010-09-29,326,326,326
2010-10-11,328,328,328
2010-10-21,330,329,330
2010-10-22,331,331,331
2010-10-25,332,332,332
2010-10-26,333,333,333
2010-11-05,335,335,335
2010-11-16,336,336,336
2010-11-18,339,339,339
2010-11-24,340,340,340
2010-11-25,341,341,342
2010-11-28,342,341,342
2010-12-01,343,343,343
2010-12-06,344,344,344
2010-12-07,347,347,347
2010-12-08,348,348,348
2010-12-09,349,349,349
2011-01-10,350,350,350
2011-01-17,351,351,351
2011-01-19,352,352,352
2011-01-27,355,355,355
2011-01-28,356,356,356
2011-02-02,357,357,357
2011-02-03,359,359,359
2011-02-07,360,360,360
2011-02-08,362,362,362
2011-02-10,363,363,363
2011-02-15,364,364,364
2011-02-17,366,366,366
2011-02-24,367,367,368
2011-02-26,368,367,368
2011-02-28,369,369,369
2011-03-02,372,372,372
2011-03-08,377,377,377
2011-03-09,379,379,383
2011-03-21,380,379,383
2011-03-24,381,379,383
2011-03-28,382,379,383
2011-04-01,383,379,383
2011-04-05,384,384,384
2011-06-22,385,385,385
2011-07-05,386,386,386
2011-07-12,387,387,387
2011-07-15,388,388,388
2011-10-13,389,389,389
2011-10-24,390,390,390
2011-12-08,394,394,394
2011-12-22,396,396,396
2012-01-02,397,397,397
2012-01-04,400,400,400
2012-01-05,401,401,401
2012-01-07,409,409,409
2012-01-09,414,414,414
2012-01-10,416,416,417
2012-01-11,422,422,422
2012-01-12,426,426,426
2012-01-14,426,426,429
2012-01-15,426,426,430
2012-01-17,433,433,437
2012-01-19,440,440,444
2012-01-20,442,442,446
2012-01-22,447,447,451
2012-01-23,450,450,454
2012-01-24,457,457,461
2012-01-25,458,458,462
2012-01-30,467,467,472
2012-02-01,468,467,472
2012-02-02,471,471,481
2012-02-03,472,471,481
2012-02-04,475,471,481
2012-02-05,477,471,481
2012-02-06,478,478,483
2012-02-08,479,478,483
2012-02-09,484,484,488
2012-02-10,485,485,504
2012-02-11,486,485,504
2012-02-12,487,485,504
2012-02-13,488,485,504
2012-02-14,489,485,504
2012-02-15,490,485,504
2012-02-17,492,485,504
2012-02-18,493,485,504
2012-02-19,494,485,504
2012-02-20,496,485,504
2012-02-21,497,485,504
2012-02-22,499,485,504
2012-02-23,500,485,504
2012-02-24,502,501,512
2012-02-25,504,501,512
2012-02-26,505,501,512
2012-02-27,508,502,513
2012-02-28,510,503,514
2012-02-29,515,512,521
2012-03-01,518,518,523
2012-03-03,520,520,525
2012-03-05,522,522,527
2012-03-08,523,522,527
2012-03-14,524,523,528
2012-03-15,531,531,535
2012-03-16,532,532,536
2012-03-22,533,533,553
2012-04-05,536,535,555
2012-05-11,537,535,555
2012-06-05,538,535,555
2012-07-25,539,535,555
2012-08-19,540,535,555
2012-10-09,541,535,555
2012-11-03,542,535,555
2012-11-28,543,535,555
2013-01-17,544,535,555
2013-02-11,545,535,555
2013-04-02,546,535,555
2013-04-27,547,535,555
2013-05-23,548,535,555
2013-06-17,549,535,555
2013-07-12,550,535,555
2013-08-06,551,535,555
2013-08-23,552,536,556
2013-08-31,553,536,556
2013-09-25,555,554,558
2013-09-26,557,556,560
2013-09-27,559,558,563
2013-09-28,560,558,563
2013-09-30,563,562,566
2013-10-01,564,563,567
2013-10-03,565,564,568
2013-10-04,567,566,570
2013-10-07,568,567,571
2013-10-08,572,571,575
2013-10-10,576,573,577
2013-10-11,578,575,579
2013-10-14,580,577,581
2013-10-15,583,580,584
2013-10-16,588,585,589
2013-10-17,590,587,591
2013-10-18,592,589,593
2013-10-20,593,590,594
2013-10-21,596,593,597
2013-10-22,598,595,599
2013-10-23,600,597,601
2013-10-24,603,600,604
2013-10-25,605,602,606
2013-10-27,608,605,609
2013-10-28,611,607,611
2013-10-29,612,608,612
2013-10-30,615,611,615
2013-10-31,618,614,618
2013-11-01,621,617,621
2013-11-03,622,618,622
2013-11-04,623,619,623
2013-11-05,626,622,626
2013-11-06,630,626,630
2013-11-07,634,630,634
2013-11-08,637,633,637
2013-11-09,639,635,639
2013-11-11,642,638,642
2013-11-12,645,641,645
2013-11-13,649,645,649
2013-11-14,653,649,653
2013-11-15,656,652,656
2013-11-16,656,653,656
2013-11-18,660,657,660
2013-11-19,663,660,663
2013-11-20,666,663,666
2013-11-21,670,667,670
2013-11-22,674,673,674
2013-11-25,677,676,677
2013-11-26,682,681,682
2013-11-27,684,683,684
2013-11-28,688,687,688
2013-11-29,691,690,691
2013-12-02,693,692,693
2013-12-04,695,694,695
2013-12-05,697,696,697
2013-12-06,698,697,698
2014-01-06,700,699,700
2014-01-07,701,700,701
2014-01-08,702,701,702
2014-01-13,703,702,703
2014-01-15,704,703,704
2014-01-20,705,704,705
2014-01-21,706,705,706
2014-02-10,708,707,708
2014-02-12,709,708,709
2014-02-17,710,709,710
2014-02-20,711,710,711
2014-02-21,712,711,712
2014-02-26,713,712,713
2014-02-27,714,713,714
2014-03-04,715,714,715
2014-03-05,716,715,716
2014-03-06,717,716,717
2014-03-31,721,720,721
2014-04-02,722,721,722
2014-05-09,723,722,723
2014-07-25,724,723,724
2015-06-26,725,724,725
2015-08-13,726,725,726
2015-11-02,728,727,728
2015-11-26,729,728,729
2016-01-04,733,732,733
2016-01-11,734,733,734
2016-01-13,735,734,735
2016-01-14,736,735,736
2016-02-08,737,736,737
2016-02-10,737,737,737
2016-02-25,738,738,738
