,Series,Value
01/06/2021,Growth,1
01/07/2021,Growth,-0.2
01/08/2021,Growth,0.9
01/09/2021,Growth,0.6
01/10/2021,Growth,0.1
01/11/2021,Growth,1
01/12/2021,Growth,0.1
01/01/2022,Growth,0.2
01/02/2022,Growth,-0.1
01/03/2022,Growth,0.1
01/04/2022,Growth,0
01/05/2022,Growth,0.8
01/06/2022,Growth,-0.7
01/07/2022,Growth,0.4
01/08/2022,Growth,0
01/09/2022,Growth,-0.7
01/10/2022,Growth,0.7
01/11/2022,Growth,0.2
01/12/2022,Growth,-0.5
01/01/2023,Growth,0.4
01/02/2023,Growth,0.1
01/03/2023,Growth,-0.2
01/04/2023,Growth,0.2
01/05/2023,Growth,-0.1
01/06/2023,Growth,0.5
01/01/2015,Level,91.3
01/02/2015,Level,91.6
01/03/2015,Level,91.8
01/04/2015,Level,92.3
01/05/2015,Level,92.1
01/06/2015,Level,92
01/07/2015,Level,92.3
01/08/2015,Level,92.3
01/09/2015,Level,92.6
01/10/2015,Level,93
01/11/2015,Level,93
01/12/2015,Level,93.1
01/01/2016,Level,93.1
01/02/2016,Level,93.4
01/03/2016,Level,93.7
01/04/2016,Level,94.2
01/05/2016,Level,94
01/06/2016,Level,94.2
01/07/2016,Level,94.6
01/08/2016,Level,94.6
01/09/2016,Level,94.9
01/10/2016,Level,95.1
01/11/2016,Level,95.3
01/12/2016,Level,95.4
01/01/2017,Level,95.8
01/02/2017,Level,95.9
01/03/2017,Level,96
01/04/2017,Level,96.2
01/05/2017,Level,96.5
01/06/2017,Level,96.6
01/07/2017,Level,96.7
01/08/2017,Level,97
01/09/2017,Level,97.5
01/10/2017,Level,97.5
01/11/2017,Level,97.8
01/12/2017,Level,97.4
01/01/2018,Level,97.4
01/02/2018,Level,97.4
01/03/2018,Level,97.9
01/04/2018,Level,97.7
01/05/2018,Level,98.1
01/06/2018,Level,98.3
01/07/2018,Level,98.5
01/08/2018,Level,98.7
01/09/2018,Level,98.8
01/10/2018,Level,98.7
01/11/2018,Level,99.1
01/12/2018,Level,99
01/01/2019,Level,99.3
01/02/2019,Level,99.7
01/03/2019,Level,99.7
01/04/2019,Level,99.3
01/05/2019,Level,99.6
01/06/2019,Level,99.9
01/07/2019,Level,100.3
01/08/2019,Level,100.3
01/09/2019,Level,100.7
01/10/2019,Level,100.5
01/11/2019,Level,100.3
01/12/2019,Level,100.4
01/01/2020,Level,100.7
01/02/2020,Level,100.2
01/03/2020,Level,93.1
01/04/2020,Level,73.7
01/05/2020,Level,76
01/06/2020,Level,82.8
01/07/2020,Level,88.9
01/08/2020,Level,90.8
01/09/2020,Level,91.8
01/10/2020,Level,92.3
01/11/2020,Level,90.7
01/12/2020,Level,92.3
01/01/2021,Level,89.6
01/02/2021,Level,90.2
01/03/2021,Level,92.2
01/04/2021,Level,95.1
01/05/2021,Level,96.3
01/06/2021,Level,97.3
01/07/2021,Level,97.2
01/08/2021,Level,98
01/09/2021,Level,98.6
01/10/2021,Level,98.7
01/11/2021,Level,99.7
01/12/2021,Level,99.8
01/01/2022,Level,100
01/02/2022,Level,99.9
01/03/2022,Level,100
01/04/2022,Level,100
01/05/2022,Level,100.8
01/06/2022,Level,100
01/07/2022,Level,100.4
01/08/2022,Level,100.4
01/09/2022,Level,99.7
01/10/2022,Level,100.4
01/11/2022,Level,100.5
01/12/2022,Level,100
01/01/2023,Level,100.5
01/02/2023,Level,100.5
01/03/2023,Level,100.3
01/04/2023,Level,100.5
01/05/2023,Level,100.4
01/06/2023,Level,101
