Date,Series,Value,
2023-07-01,Inflation,0.032,
2023-06-01,Inflation,0.030,
2023-05-01,Inflation,0.040,
2023-04-01,Inflation,0.049,
2023-03-01,Inflation,0.050,
2023-02-01,Inflation,0.060,
2023-01-01,Inflation,0.064,
2022-12-01,Inflation,0.065,
2022-11-01,Inflation,0.071,
2022-10-01,Inflation,0.077,
2022-09-01,Inflation,0.082,
2022-08-01,Inflation,0.083,
2022-07-01,Inflation,0.085,
2022-06-01,Inflation,0.091,
2022-05-01,Inflation,0.086,
2022-04-01,Inflation,0.083,
2022-03-01,Inflation,0.085,
2022-02-01,Inflation,0.079,
2022-01-01,Inflation,0.075,
2021-12-01,Inflation,0.070,
2021-11-01,Inflation,0.068,
2021-10-01,Inflation,0.062,
2021-09-01,Inflation,0.054,
2021-08-01,Inflation,0.053,
2021-07-01,Inflation,0.054,
2021-06-01,Inflation,0.054,
2021-05-01,Inflation,0.050,
2021-04-01,Inflation,0.042,
2021-03-01,Inflation,0.026,
2021-02-01,Inflation,0.017,
2021-01-01,Inflation,0.014,
2020-12-01,Inflation,0.014,
2020-11-01,Inflation,0.012,
2020-10-01,Inflation,0.012,
2020-09-01,Inflation,0.014,
2020-08-01,Inflation,0.013,
2020-07-01,Inflation,0.010,
2020-06-01,Inflation,0.006,
2020-05-01,Inflation,0.001,
2020-04-01,Inflation,0.003,
2020-03-01,Inflation,0.015,
2020-02-01,Inflation,0.023,
