"DATE","TIME PERIOD","Gross fixed capital formation, volume (MNA.Q.N.GR.W0.S1.S1.D.P51G.N11G._T._Z.EUR.LR.N)"
"1995-03-31","1995Q1","7117.14"
"1995-06-30","1995Q2","6714.15"
"1995-09-30","1995Q3","6832.37"
"1995-12-31","1995Q4","6438.83"
"1996-03-31","1996Q1","7261.96"
"1996-06-30","1996Q2","7306.64"
"1996-09-30","1996Q3","8112.86"
"1996-12-31","1996Q4","6966.92"
"1997-03-31","1997Q1","7764.18"
"1997-06-30","1997Q2","7503.17"
"1997-09-30","1997Q3","7537.14"
"1997-12-31","1997Q4","7756.26"
"1998-03-31","1998Q1","9288.45"
"1998-06-30","1998Q2","9068.09"
"1998-09-30","1998Q3","8751.63"
"1998-12-31","1998Q4","8922.70"
"1999-03-31","1999Q1","9810.87"
"1999-06-30","1999Q2","9623.06"
"1999-09-30","1999Q3","9498.32"
"1999-12-31","1999Q4","9625.96"
"2000-03-31","2000Q1","10149.02"
"2000-06-30","2000Q2","10473.86"
"2000-09-30","2000Q3","9801.69"
"2000-12-31","2000Q4","9979.95"
"2001-03-31","2001Q1","10631.62"
"2001-06-30","2001Q2","10882.75"
"2001-09-30","2001Q3","10267.10"
"2001-12-31","2001Q4","10211.36"
"2002-03-31","2002Q1","10387.38"
"2002-06-30","2002Q2","10518.88"
"2002-09-30","2002Q3","9890.61"
"2002-12-31","2002Q4","10160.18"
"2003-03-31","2003Q1","11520.35"
"2003-06-30","2003Q2","11242.93"
"2003-09-30","2003Q3","11589.63"
"2003-12-31","2003Q4","11418.69"
"2004-03-31","2004Q1","12286.86"
"2004-06-30","2004Q2","12720.42"
"2004-09-30","2004Q3","12661.10"
"2004-12-31","2004Q4","11588.42"
"2005-03-31","2005Q1","11307.73"
"2005-06-30","2005Q2","11194.13"
"2005-09-30","2005Q3","10264.43"
"2005-12-31","2005Q4","10570.97"
"2006-03-31","2006Q1","12758.89"
"2006-06-30","2006Q2","13049.35"
"2006-09-30","2006Q3","12725.35"
"2006-12-31","2006Q4","12905.78"
"2007-03-31","2007Q1","11693.05"
"2007-06-30","2007Q2","15002.99"
"2007-09-30","2007Q3","16311.25"
"2007-12-31","2007Q4","14558.81"
"2008-03-31","2008Q1","13314.00"
"2008-06-30","2008Q2","13651.91"
"2008-09-30","2008Q3","12580.44"
"2008-12-31","2008Q4","13810.96"
"2009-03-31","2009Q1","11427.83"
"2009-06-30","2009Q2","12048.12"
"2009-09-30","2009Q3","10722.28"
"2009-12-31","2009Q4","12082.72"
"2010-03-31","2010Q1","9875.45"
"2010-06-30","2010Q2","9419.66"
"2010-09-30","2010Q3","7887.18"
"2010-12-31","2010Q4","8823.88"
"2011-03-31","2011Q1","6570.99"
"2011-06-30","2011Q2","7121.86"
"2011-09-30","2011Q3","6655.75"
"2011-12-31","2011Q4","6566.44"
"2012-03-31","2012Q1","5021.20"
"2012-06-30","2012Q2","5889.03"
"2012-09-30","2012Q3","4746.97"
"2012-12-31","2012Q4","6187.50"
"2013-03-31","2013Q1","4298.58"
"2013-06-30","2013Q2","4970.75"
"2013-09-30","2013Q3","4399.48"
"2013-12-31","2013Q4","6130.62"
"2014-03-31","2014Q1","4061.71"
"2014-06-30","2014Q2","4386.04"
"2014-09-30","2014Q3","4491.80"
"2014-12-31","2014Q4","6417.70"
"2015-03-31","2015Q1","4685.02"
"2015-06-30","2015Q2","4665.72"
"2015-09-30","2015Q3","3846.96"
"2015-12-31","2015Q4","6194.70"
"2016-03-31","2016Q1","4008.62"
"2016-06-30","2016Q2","4535.11"
"2016-09-30","2016Q3","4642.02"
"2016-12-31","2016Q4","6704.76"
"2017-03-31","2017Q1","3880.17"
"2017-06-30","2017Q2","4472.80"
"2017-09-30","2017Q3","6200.66"
"2017-12-31","2017Q4","6861.38"
"2018-03-31","2018Q1","4380.44"
"2018-06-30","2018Q2","5687.68"
"2018-09-30","2018Q3","4524.08"
"2018-12-31","2018Q4","5844.70"
"2019-03-31","2019Q1","4516.37"
"2019-06-30","2019Q2","5082.55"
"2019-09-30","2019Q3","4899.76"
"2019-12-31","2019Q4","5769.28"
"2020-03-31","2020Q1","4742.35"
"2020-06-30","2020Q2","4988.07"
"2020-09-30","2020Q3","5120.58"
"2020-12-31","2020Q4","5756.13"
"2021-03-31","2021Q1","5265.15"
"2021-06-30","2021Q2","6109.06"
"2021-09-30","2021Q3","6223.59"
"2021-12-31","2021Q4","7473.80"
"2022-03-31","2022Q1","6592.36"
"2022-06-30","2022Q2","7429.00"
"2022-09-30","2022Q3","7365.04"
"2022-12-31","2022Q4","9229.24"
"2023-03-31","2023Q1","7416.12"
"2023-06-30","2023Q2","8024.97"
"2023-09-30","2023Q3","7856.49"
"2023-12-31","2023Q4","9317.78"
"2024-03-31","2024Q1","7457.02"
"2024-06-30","2024Q2","8543.87"
"2024-09-30","2024Q3","8009.98"
"2024-12-31","2024Q4","10058.46"
"2025-03-31","2025Q1","7182.24"
"2025-06-30","2025Q2","9245.19"
"2025-09-30","2025Q3","9089.35"
"2025-12-31","2025Q4","11578.71"
"2026-03-31","2026Q1","7923.82"
"2026-06-30","2026Q2","9786.15"
