"Title","PS: Net Debt (excluding public sector banks) as a % of GDP: NSA"
"CDID","HF6X"
"Source dataset ID","PUSF"
"PreUnit",""
"Unit","%"
"Release date","21-08-2026"
"Next release","22 September 2026"
"Important notes",
"1975",""
"1976",""
"1977",""
"1978",""
"1979",""
"1980",""
"1981",""
"1982",""
"1983",""
"1984",""
"1985",""
"1986",""
"1987",""
"1988",""
"1989",""
"1990",""
"1991",""
"1992",""
"1993","29.7"
"1994","33.6"
"1995","35.7"
"1996","36.7"
"1997","37.2"
"1998","35.6"
"1999","34.2"
"2000","29.5"
"2001","28.7"
"2002","30.1"
"2003","31.2"
"2004","34.0"
"2005","34.9"
"2006","35.7"
"2007","36.1"
"2008","47.6"
"2009","60.6"
"2010","70.1"
"2011","73.8"
"2012","77.3"
"2013","79.2"
"2014","81.5"
"2015","81.7"
"2016","82.5"
"2017","81.7"
"2018","81.3"
"2019","84.2"
"2020","97.6"
"2021","96.2"
"2022","93.1"
"2023","95.6"
"2024","94.8"
"2025","94.3"
"1975 Q1","47.8"
"1975 Q2",""
"1975 Q3",""
"1975 Q4",""
"1976 Q1","49.4"
"1976 Q2",""
"1976 Q3",""
"1976 Q4",""
"1977 Q1","47.8"
"1977 Q2",""
"1977 Q3",""
"1977 Q4",""
"1978 Q1","44.4"
"1978 Q2",""
"1978 Q3",""
"1978 Q4",""
"1979 Q1","42.2"
"1979 Q2",""
"1979 Q3",""
"1979 Q4",""
"1980 Q1","39.1"
"1980 Q2",""
"1980 Q3",""
"1980 Q4",""
"1981 Q1","40.4"
"1981 Q2",""
"1981 Q3",""
"1981 Q4",""
"1982 Q1","40.1"
"1982 Q2",""
"1982 Q3",""
"1982 Q4",""
"1983 Q1","38.7"
"1983 Q2",""
"1983 Q3",""
"1983 Q4",""
"1984 Q1","38.9"
"1984 Q2",""
"1984 Q3",""
"1984 Q4",""
"1985 Q1","38.7"
"1985 Q2",""
"1985 Q3",""
"1985 Q4",""
"1986 Q1","37.1"
"1986 Q2",""
"1986 Q3",""
"1986 Q4",""
"1987 Q1","34.8"
"1987 Q2",""
"1987 Q3",""
"1987 Q4",""
"1988 Q1","31.0"
"1988 Q2",""
"1988 Q3",""
"1988 Q4",""
"1989 Q1","25.6"
"1989 Q2",""
"1989 Q3",""
"1989 Q4",""
"1990 Q1","23.1"
"1990 Q2",""
"1990 Q3",""
"1990 Q4",""
"1991 Q1","21.7"
"1991 Q2",""
"1991 Q3",""
"1991 Q4",""
"1992 Q1","22.9"
"1992 Q2",""
"1992 Q3",""
"1992 Q4",""
"1993 Q1","26.7"
"1993 Q2","28.1"
"1993 Q3","29.4"
"1993 Q4","29.7"
"1994 Q1","31.2"
"1994 Q2","32.5"
"1994 Q3","33.4"
"1994 Q4","33.6"
"1995 Q1","34.6"
"1995 Q2","35.5"
"1995 Q3","36.0"
"1995 Q4","35.7"
"1996 Q1","36.1"
"1996 Q2","36.7"
"1996 Q3","36.9"
"1996 Q4","36.7"
"1997 Q1","36.7"
"1997 Q2","38.0"
"1997 Q3","37.7"
"1997 Q4","37.2"
"1998 Q1","36.5"
"1998 Q2","36.6"
"1998 Q3","36.1"
"1998 Q4","35.6"
"1999 Q1","35.1"
"1999 Q2","35.1"
"1999 Q3","34.1"
"1999 Q4","34.2"
"2000 Q1","32.4"
"2000 Q2","30.9"
"2000 Q3","29.2"
"2000 Q4","29.5"
"2001 Q1","28.2"
"2001 Q2","28.7"
"2001 Q3","28.0"
"2001 Q4","28.7"
"2002 Q1","28.0"
"2002 Q2","28.4"
"2002 Q3","28.4"
"2002 Q4","30.1"
"2003 Q1","29.7"
"2003 Q2","29.7"
"2003 Q3","30.0"
"2003 Q4","31.2"
"2004 Q1","30.8"
"2004 Q2","32.4"
"2004 Q3","32.5"
"2004 Q4","34.0"
"2005 Q1","33.4"
"2005 Q2","33.7"
"2005 Q3","34.0"
"2005 Q4","34.9"
"2006 Q1","34.2"
"2006 Q2","35.2"
"2006 Q3","35.1"
"2006 Q4","35.7"
"2007 Q1","34.9"
"2007 Q2","35.5"
"2007 Q3","35.2"
"2007 Q4","36.1"
"2008 Q1","35.5"
"2008 Q2","37.5"
"2008 Q3","42.8"
"2008 Q4","47.6"
"2009 Q1","50.2"
"2009 Q2","54.5"
"2009 Q3","56.0"
"2009 Q4","60.6"
"2010 Q1","64.4"
"2010 Q2","66.1"
"2010 Q3","67.8"
"2010 Q4","70.1"
"2011 Q1","70.6"
"2011 Q2","72.0"
"2011 Q3","72.5"
"2011 Q4","73.8"
"2012 Q1","73.9"
"2012 Q2","74.9"
"2012 Q3","75.5"
"2012 Q4","77.3"
"2013 Q1","77.2"
"2013 Q2","78.1"
"2013 Q3","78.1"
"2013 Q4","79.2"
"2014 Q1","78.8"
"2014 Q2","79.9"
"2014 Q3","80.2"
"2014 Q4","81.5"
"2015 Q1","81.1"
"2015 Q2","81.8"
"2015 Q3","81.5"
"2015 Q4","81.7"
"2016 Q1","80.6"
"2016 Q2","80.8"
"2016 Q3","80.3"
"2016 Q4","82.5"
"2017 Q1","82.7"
"2017 Q2","83.4"
"2017 Q3","83.9"
"2017 Q4","81.7"
"2018 Q1","81.6"
"2018 Q2","82.0"
"2018 Q3","81.1"
"2018 Q4","81.3"
"2019 Q1","79.6"
"2019 Q2","80.3"
"2019 Q3","79.9"
"2019 Q4","84.2"
"2020 Q1","84.5"
"2020 Q2","95.3"
"2020 Q3","98.1"
"2020 Q4","97.6"
"2021 Q1","95.4"
"2021 Q2","95.8"
"2021 Q3","93.2"
"2021 Q4","96.2"
"2022 Q1","94.3"
"2022 Q2","94.0"
"2022 Q3","92.8"
"2022 Q4","93.1"
"2023 Q1","93.2"
"2023 Q2","94.9"
"2023 Q3","93.6"
"2023 Q4","95.6"
"2024 Q1","94.2"
"2024 Q2","94.5"
"2024 Q3","94.0"
"2024 Q4","94.8"
"2025 Q1","93.4"
"2025 Q2","94.5"
"2025 Q3","94.9"
"2025 Q4","94.3"
"2026 Q1","93.4"
"2026 Q2","94.6"
"1993 MAR","26.7"
"1993 APR","27.6"
"1993 MAY","28.1"
