Country,debt,Population,Colour
Albania,14.487128,3047987,#1b9e77
Algeria,123.48295700000001,40969443,#1b9e77
Andorra,1.3918840000000001,85702,#1b9e77
Angola,79.63280400000001,29310273,#d95f02
Antigua and Barb.,1.5689450000000003,94731,#e7298a
Argentina,556.540535,44293293,#e7298a
Armenia,11.75466,3045191,#7570b3
Aruba,3.1725830000000004,115120,#e7298a
Australia,875.923047,23232413,#e6ab02
Austria,393.584136,8754413,#66a61e
Azerbaijan,14.085344,9961396,#1b9e77
Bahamas,11.683592,329988,#e7298a
Bahrain,54.532728,1410942,#e6ab02
Bangladesh,175.861506,157826578,#66a61e
Barbados,7.153,292336,#d95f02
Belarus,30.369024000000003,9549747,#1b9e77
Belgium,665.16166,11491346,#66a61e
Belize,1.9082739999999998,360346,#7570b3
Benin,10.568200000000001,11038805,#1b9e77
Bhutan,3.314524,758288,#e7298a
Bolivia,37.811167999999995,11138234,#e6ab02
Bosnia and Herz.,7.706270000000001,3856181,#66a61e
Botswana,3.881372,2214858,#e6ab02
Brazil,1873.718729,207353391,#7570b3
Brunei,0.348519,443593,#66a61e
Bulgaria,21.65079,7101510,#e6ab02
Burkina Faso,12.72042,20107509,#e6ab02
Burundi,2.31913,11466756,#e7298a
Cabo Verde,2.938338,560899,#66a61e
Cambodia,10.922879,16204486,#66a61e
Cameroon,20.640778,24994885,#7570b3
Canada,2253.34452,35623680,#7570b3
Central African Rep.,1.38276,5625118,#66a61e
Chad,5.441472000000001,12075985,#1b9e77
Chile,132.2496,17789267,#d95f02
China,14691.74617,1379302771,#1b9e77
Colombia,200.10925,47698524,#d95f02
Comoros,0.454212,808080,#d95f02
Congo,14.090046,4954674,#e7298a
Costa Rica,53.9217,4930258,#e7298a
Cote d'Ivoire,45.11624,24184810,#d95f02
Croatia,51.158030000000004,4292095,#1b9e77
Curacao,540.91026,149648,#66a61e
Cyprus,25.177151999999996,1247249,#e7298a
Czechia,152.20032199999997,10674723,#7570b3
Dem. Rep. Congo,8.979096,83301151,#e6ab02
Denmark,126.6608,5605948,#d95f02
Djibouti,1.618914,865267,#e6ab02
Dominica,0.654483,73897,#66a61e
Dominican Rep.,72.136142,10734247,#7570b3
Ecuador,65.87073000000001,16290913,#e7298a
Egypt,369.31401900000003,97041072,#e7298a
El Salvador,25.797469999999997,6172011,#d95f02
Eq. Guinea,3.845703,778358,#d95f02
Estonia,9.028584,1251581,#66a61e
eSwatini,1.9707519999999998,1467152,#7570b3
Ethiopia,59.049716000000004,105350020,#1b9e77
Fiji,4.607196,920938,#e6ab02
Finland,224.98710400000002,5491218,#e6ab02
France,3353.9176,67106161,#d95f02
Gabon,12.538031,1772255,#1b9e77
Gambia,1.726524,2051363,#e6ab02
Georgia,11.889108,4926330,#e7298a
Germany,2919.263242,80594017,#e7298a
Ghana,65.05717200000001,27499924,#e7298a
Greece,407.2068,10768477,#d95f02
Grenada,0.786212,111724,#e7298a
Guatemala,29.082495,15460732,#e7298a
Guinea,7.33278,12413867,#66a61e
Guinea-Bissau,1.4713490000000002,1792338,#e7298a
Guyana,4.882371,737718,#1b9e77
Haiti,5.093256,10646714,#e6ab02
Honduras,15.738295999999998,9038741,#66a61e
Hong Kong,23.518306,7191503,#7570b3
Hungary,140.03052300000002,9850845,#e7298a
Iceland,18.70884,339747,#d95f02
