date,value
1990-01-01,58.271
1991-01-01,58.281
1992-01-01,58.311
1993-01-01,58.357
1994-01-01,58.411
1995-01-01,58.47
1996-01-01,58.422
1997-01-01,58.38
1998-01-01,58.344
1999-01-01,58.31
2000-01-01,58.278
2001-01-01,58.227
2002-01-01,58.194
2003-01-01,58.175
2004-01-01,58.159
2005-01-01,58.144
2006-01-01,58.07
2007-01-01,57.873
2008-01-01,57.676
2009-01-01,57.478
2010-01-01,57.281
2011-01-01,57.083
2012-01-01,56.885
2013-01-01,56.686
2014-01-01,56.488
2015-01-01,56.289
2016-01-01,56.09
2017-01-01,58.33
2018-01-01,58.473
2019-01-01,58.587
2020-01-01,58.03
2021-01-01,58.246
2022-01-01,58.754
