date,value
1960-01-01,50396429
1961-01-01,51882769
1962-01-01,53461661
1963-01-01,55094115
1964-01-01,56774465
1965-01-01,58500159
1966-01-01,60265259
1967-01-01,62104488
1968-01-01,63995652
1969-01-01,65866908
1970-01-01,67541860
1971-01-01,68376204
1972-01-01,69346705
1973-01-01,71144818
1974-01-01,72947807
1975-01-01,74700345
1976-01-01,76380080
1977-01-01,78137788
1978-01-01,80007550
1979-01-01,81908151
1980-01-01,83929765
1981-01-01,86154836
1982-01-01,88555336
1983-01-01,91045478
1984-01-01,93534239
1985-01-01,95959099
1986-01-01,98271746
1987-01-01,100490256
1988-01-01,102688833
1989-01-01,104893674
1990-01-01,107147651
1991-01-01,109242834
1992-01-01,111272102
1993-01-01,113418757
1994-01-01,115614891
1995-01-01,117793338
1996-01-01,119876868
1997-01-01,122039226
1998-01-01,124350471
1999-01-01,126754824
2000-01-01,129193327
2001-01-01,131670484
2002-01-01,134139826
2003-01-01,136503206
2004-01-01,138789725
2005-01-01,140912590
2006-01-01,142628831
2007-01-01,144135934
2008-01-01,145421318
2009-01-01,146706810
2010-01-01,148391139
2011-01-01,150211005
2012-01-01,152090649
2013-01-01,154030139
2014-01-01,155961299
2015-01-01,157830000
2016-01-01,159784568
2017-01-01,161793964
2018-01-01,163683958
2019-01-01,165516222
2020-01-01,167420951
2021-01-01,169356251
2022-01-01,171186372
