date,value
1999-01-01,2175000000
1999-02-01,2184000000
1999-03-01,2143000000
1999-04-01,2059000000
1999-05-01,1924000000
1999-06-01,1783000000
1999-07-01,1689000000
1999-08-01,1616000000
1999-09-01,1533000000
1999-10-01,1484000000
1999-11-01,1470000000
1999-12-01,1443000000
2000-01-01,1436000000
2000-02-01,1436000000
2000-03-01,1405000000
2000-04-01,1350000000
2000-05-01,1258000000
2000-06-01,1191000000
2000-07-01,1178000000
2000-08-01,1176000000
2000-09-01,1158000000
2000-10-01,1170000000
2000-11-01,1204000000
2000-12-01,1196000000
2001-01-01,1238000000
2001-02-01,1279000000
2001-03-01,1277000000
2001-04-01,1266000000
2001-05-01,1216000000
2001-06-01,1173000000
2001-07-01,1188000000
2001-08-01,1208000000
2001-09-01,1199000000
2001-10-01,1230000000
2001-11-01,1292000000
2001-12-01,1311000000
2002-01-01,1464000000
2002-02-01,1541000000
2002-03-01,1572000000
2002-04-01,1593000000
2002-05-01,1550000000
2002-06-01,1509000000
2002-07-01,1535000000
2002-08-01,1565000000
2002-09-01,1571000000
2002-10-01,1606000000
2002-11-01,1668000000
2002-12-01,1677000000
2003-01-01,1791000000
2003-02-01,1860000000
2003-03-01,1858000000
2003-04-01,1856000000
2003-05-01,1798000000
2003-06-01,1745000000
2003-07-01,1746000000
2003-08-01,1744000000
2003-09-01,1719000000
2003-10-01,1736000000
2003-11-01,1793000000
2003-12-01,1823000000
2004-01-01,1860000000
2004-02-01,1886000000
2004-03-01,1888000000
2004-04-01,1864000000
2004-05-01,1807000000
2004-06-01,1767000000
2004-07-01,1788000000
2004-08-01,1812000000
2004-09-01,1861000000
2004-10-01,1954000000
2004-11-01,2092000000
2004-12-01,2109000000
2005-01-01,2183000000
2005-02-01,2251000000
2005-03-01,2237000000
2005-04-01,2208000000
2005-05-01,2107000000
2005-06-01,2033000000
2005-07-01,2015000000
2005-08-01,1984000000
2005-09-01,1931000000
2005-10-01,1918000000
2005-11-01,1980000000
2005-12-01,2009000000
2006-01-01,2070000000
2006-02-01,2128000000
