date,January,February,March,April,May,June,July,August,September,October,November,December
1999,4.5,4.9,5.8,6.6,5.1,5.4,6.3,6.2,6.4,7,7.6,9.7
2000,6.8,8,9.1,8.3,8.5,8.7,8.6,9.1,9,8.9,10.1,10.1
2001,8.4,8.2,8.9,8.5,8.5,9.2,8.1,9,8.5,8,8.4,8.2
2002,6.7,6.7,8.5,9.5,8.6,8.2,9.3,10,9.7,9.9,9.3,11
2003,9.6,9.9,11.6,10.2,10.5,11.1,11.4,12,11.6,12.6,11.5,14
2004,11.3,12.1,14,14.7,13.6,14.9,15.4,16.8,16.3,17.2,17.8,19.2
2005,13.7,15.9,19.5,19.5,20,19.1,21.2,21.4,21.4,21.8,21.8,24.6
2006,20.5,21.4,24.4,23.7,26.8,25.1,25.5,27.9,25.4,24,24.4,28.4
2007,21.3,22.9,25.9,27,28.7,26.2,29.1,30.3,27.7,34.4,35.2,37.8
2008,33.9,35.1,39.4,40.5,42.5,43,46.5,45,43,38.4,29.4,29.7
2009,18.9,17.4,21.5,18.8,21.2,23.6,26.2,26.8,28.6,30.2,30.4,33.7
2010,27,30.1,33,32.7,31.1,31.6,30.7,31.3,33.7,34.6,34.5,42.5
2011,29.6,39.6,42.5,45.8,44,43.7,41.4,43.8,43,45.2,46.4,50.2
2012,39.5,44.9,46.7,44.9,45.5,40.8,41.2,41.1,42.9,46.5,45.3,48.2
2013,38.7,41.8,44.4,44.3,40.9,41.7,43.6,42.4,44.7,43.4,46.7,49.4
2014,39.5,36.3,46.9,47.5,43.9,40.6,46.2,41.4,38.1,41.5,36.7,38.1
2015,27.9,29.4,32.9,30.7,30.7,30.1,27.3,25,26.3,27,25.4,28.7
2016,17.1,20.1,23.2,21.8,22,24,22.4,23.1,25.4,24.8,26.5,31.2
2017,25.424,25.82,31.329,26.049,28.23,29.515,24.634,29.056,30.751,31.523,33.421,37.191
2018,33.62,31.305,36.638,36.013,36.542,36.328,34.367,37.524,38.678,41.349,40.277,41.273
2019,30.844,34.738,37.039,36.693,32.48,32.377,33.371,34.295,35.485,37.01,35.766,39.623
2020,30.582,28.704,30,24.965,21.005,24.509,24.66,23.289,31.01,28.617,30.15,35.883
2021,26.682,30.287,36.262,36.7,34.895,43.309,43.418,43.125,45.299,46.824,48.956,58.063
2022,46.43,49.537,,,,,,,,,,
