date,January,February,March,April,May,June,July,August,September,October,November,December
1999,196.9,203.3,207.6,213.1,216.7,220.7,226.5,221,162,157.1,150.5,136.5
2000,128.9,125.1,122.5,120,119.4,120.1,118.9,118.7,118.5,119.4,119.8,120.2
2001,120.7,122.2,123.7,124.8,124.8,123.7,122.1,120.9,120,118.8,118.6,118.6
2002,119,117.7,116.8,116,115.9,114.7,115,115.1,114.9,114.8,115.1,115.1
2003,114.3,114.8,114.8,114.6,113.6,113.9,113.9,113.3,113.3,113.2,112.5,112
2004,111.3,110.6,110.3,110.2,110.2,110.1,110.4,111.3,111.4,111.5,111.7,111.7
2005,112.7,113,113.6,113.8,113.8,113.7,113.2,112.5,112.3,111.7,111.3,110.9
2006,110.7,111.2,110.6,109.8,109.4,109,109.3,109.6,109.5,109.2,109,109
2007,108.2,107.6,107.4,107.6,107.8,108.5,108.7,108.6,109.4,110.8,111.5,111.9
2008,112.6,112.7,113.3,114.3,115.1,115.1,114.7,115,115,114.2,113.8,113.3
2009,113.4,113.9,114,113.2,112.3,111.9,112,111.6,110.7,109.7,109.1,108.8
2010,108,107.2,106.5,106,106,105.8,105.5,106.1,107,107.5,108.1,108.8
2011,109.6,109.5,109.5,109.6,109.6,109.4,109,108.2,107.2,107.2,106.8,106.1
2012,104.2,103.7,103.7,103.6,103.6,104.3,105.6,105.9,106.6,106.5,106.5,106.6
2013,107.1,107.3,107,107.2,107.4,106.9,106.5,106.5,106.1,106.3,106.5,106.5
2014,106.1,106.2,106.9,107.3,107.6,107.8,107.5,107.6,108,108.3,109.1,111.4
2015,115,116.7,116.9,116.4,115.8,115.3,115.6,115.8,115.7,115.6,115,112.9
2016,109.8,108.1,107.3,107.3,107.3,107.5,107.2,106.9,106.4,106.1,105.8,105.4
2017,105,104.6,104.3,104.1,104.1,104.4,103.9,103.3,103,102.7,102.5,102.5
2018,102.2,102.2,102.4,102.4,102.4,102.3,102.5,103.1,103.4,103.5,103.8,104.3
2019,105,105.2,105.3,105.2,105.1,104.7,104.6,104.3,104,103.8,103.5,103
2020,102.4,102.3,102.5,103.1,103,103.2,103.4,103.6,103.7,104,104.4,104.9
2021,105.2,105.7,105.8,105.5,106,106.5,106.5,106.7,107.4,108.1,108.4,108.4
2022,108.7,109.2,116.7,117.8,117.1,115.9,115.1,114.3,113.7,112.6,112,111.9
2023,111.8,111,103.5,102.3,102.5,,,,,,,
