date,January,February,March,April,May,June,July,August,September,October,November,December
1999,14.3,14.6,14,13.5,12.9,12.8,12.5,12.1,12.2,12.4,12.6,12.5
2000,12.5,12.4,11.4,10.8,10.3,10.1,10,9.9,9.8,9.8,9.8,9.9
2001,9.9,10,9.5,9.1,8.6,8.5,8.5,8.5,8.6,8.7,8.8,8.6
2002,8.5,8.4,8.2,8,7.7,7.5,7.4,7.2,7.7,8.2,8.7,9
2003,9,9.2,8.8,8.4,8.1,8,7.9,7.8,7.8,7.8,7.8,8.2
2004,8.7,9.1,8.5,7.8,7.1,7.1,7,6.9,7.2,7.6,7.9,7.9
2005,7.9,7.9,7.6,7.2,6.9,6.9,6.8,6.8,6.8,6.9,6.9,7.2
2006,7.5,7.8,7.6,7.5,7.4,7.1,6.8,6.4,6.5,6.6,6.6,6.8
2007,6.9,7.1,6.7,6.3,5.8,5.7,5.6,5.5,5.5,5.6,5.6,6
2008,6.5,6.9,6.4,5.8,5.3,5.5,5.6,5.8,6.1,6.5,6.8,7.6
2009,8.4,9.2,9,8.7,8.4,8.2,8,7.8,7.5,7.6,8.1,8
2010,9,8.5,8.5,8.1,7.2,6.7,6.8,6.7,6.5,6.7,6.6,7
2011,7.6,7.4,7,7.1,6.2,6,6.4,6,6,6.2,6.2,6
2012,6.3,6.2,6.3,5.6,5.2,5.2,5.2,5,5,5.1,5.2,5.1
2013,6,5.8,5.7,5.6,5.2,5.4,5.3,5.2,5.3,5.5,5.4,5.6
2014,5.6,5.6,5.4,5.3,4.9,4.9,4.9,4.8,4.9,5.1,5.2,5.3
2015,5.5,5.8,5.9,5.8,5.6,5.4,5.3,5.3,5.2,5.5,5.8,5.8
2016,5.8,5.8,6,5.9,5.6,5.4,5.3,5.2,5.2,5.4,5.4,5.3
2017,5.6,5.6,5.4,5.3,5.2,5.1,5.1,4.9,5,5,5.1,5.1
2018,5.2,5,5,4.9,4.7,4.7,4.7,4.6,4.5,4.7,4.8,4.8
2019,4.9,4.9,4.7,4.7,4.5,4.4,4.5,4.3,4.5,4.6,4.6,4.6
2020,4.7,4.6,4.7,5.8,6.1,6.2,6.3,6.4,6.3,6.3,6.1,5.9
2021,5.8,5.7,5.4,5.2,4.9,4.8,4.5,4.4,4.3,4.3,4.3,4.3
2022,4.4,4.1,4.1,4,3.9,3.9,3.9,3.8,3.9,3.9,3.7,3.7
2023,3.6,3.5,3.5,3.3,3.2,,,,,,,
