date,value
2005-01-01,19267
2005-02-01,19180
2005-03-01,19263
2005-04-01,19279
2005-05-01,19270
2005-06-01,19326
2005-07-01,19312
2005-08-01,19413
2005-09-01,19468
2005-10-01,19488
2005-11-01,19523
2005-12-01,19479
2006-01-01,19296
2006-02-01,19359
2006-03-01,19391
2006-04-01,19586
2006-05-01,19663
2006-06-01,19729
2006-07-01,19755
2006-08-01,19831
2006-09-01,19937
2006-10-01,19896
2006-11-01,20080
2006-12-01,20151
2007-01-01,19945
2007-02-01,20108
2007-03-01,20038
2007-04-01,19918
2007-05-01,20061
2007-06-01,20054
2007-07-01,20052
2007-08-01,20191
2007-09-01,20045
2007-10-01,19924
2007-11-01,19857
2007-12-01,19886
2008-01-01,20147
2008-02-01,20151
2008-03-01,20278
2008-04-01,20490
2008-05-01,20422
2008-06-01,20473
2008-07-01,20675
2008-08-01,20528
2008-09-01,20554
2008-10-01,20587
2008-11-01,20333
2008-12-01,20205
2009-01-01,20292
2009-02-01,20175
2009-03-01,20081
2009-04-01,20023
2009-05-01,20143
2009-06-01,20353
2009-07-01,20544
2009-08-01,20723
2009-09-01,20842
2009-10-01,20915
2009-11-01,21082
2009-12-01,21248
2010-01-01,21315
2010-02-01,21492
2010-03-01,21685
2010-04-01,21644
2010-05-01,21715
2010-06-01,21800
2010-07-01,21814
2010-08-01,21837
2010-09-01,21869
2010-10-01,21967
2010-11-01,22236
2010-12-01,22402
2011-01-01,22765
2011-02-01,23012
2011-03-01,23010
2011-04-01,23020
2011-05-01,23000
2011-06-01,23024
2011-07-01,23336
2011-08-01,23333
2011-09-01,23373
2011-10-01,23409
2011-11-01,23293
2011-12-01,23340
2012-01-01,23290
2012-02-01,23216
2012-03-01,23396
2012-04-01,23569
2012-05-01,23670
2012-06-01,23711
2012-07-01,23623
2012-08-01,23672
2012-09-01,23840
2012-10-01,24145
2012-11-01,24306
2012-12-01,24350
2013-01-01,24481
2013-02-01,24600
2013-03-01,24564
2013-04-01,24486
2013-05-01,24478
2013-06-01,24408
2013-07-01,24291
2013-08-01,24365
2013-09-01,24437
2013-10-01,24480
2013-11-01,24588
2013-12-01,24740
2014-01-01,25434
2014-02-01,25357
2014-03-01,25771
2014-04-01,25758
2014-05-01,25663
2014-06-01,26098
2014-07-01,25730
2014-08-01,25448
2014-09-01,26115
2014-10-01,25895
2014-11-01,25805
2014-12-01,26104
2015-01-01,26191
2015-02-01,26022
2015-03-01,26212
2015-04-01,26310
2015-05-01,26368
2015-06-01,26695
2015-07-01,26609
2015-08-01,26604
2015-09-01,26721
2015-10-01,26951
2015-11-01,26873
2015-12-01,26847
2016-01-01,27084
2016-02-01,26857
2016-03-01,26879
2016-04-01,27254
2016-05-01,27221
2016-06-01,27105
2016-07-01,26986
2016-08-01,27211
2016-09-01,27003
2016-10-01,27321
2016-11-01,27369
2016-12-01,27257
2017-01-01,27318
2017-02-01,27533
2017-03-01,27312
2017-04-01,27675
2017-05-01,28078
2017-06-01,27807
2017-07-01,28275
2017-08-01,28387
2017-09-01,28376
2017-10-01,28592
2017-11-01,28666
2017-12-01,28692
2018-01-01,28780
2018-02-01,28663
2018-03-01,28694
2018-04-01,28786
2018-05-01,28789
2018-06-01,28691
2018-07-01,28962
2018-08-01,28719
2018-09-01,28767
2018-10-01,28581
2018-11-01,28382
2018-12-01,28274
2019-01-01,27756
2019-02-01,27943
2019-03-01,28299
2019-04-01,27917
2019-05-01,28205
2019-06-01,28092
2019-07-01,28009
2019-08-01,27895
2019-09-01,27912
2019-10-01,28044
2019-11-01,28253
2019-12-01,28204
2020-01-01,27774
2020-02-01,27927
2020-03-01,26359
2020-04-01,25095
2020-05-01,25593
2020-06-01,26414
2020-07-01,26132
2020-08-01,26958
2020-09-01,27170
2020-10-01,27000
2020-11-01,27016
2020-12-01,27101
2021-01-01,27647
2021-02-01,27672
2021-03-01,28400
2021-04-01,28293
2021-05-01,28012
2021-06-01,28632
2021-07-01,28807
2021-08-01,28988
2021-09-01,29560
2021-10-01,29605
2021-11-01,29608
2021-12-01,30036
2022-01-01,29987
2022-02-01,30003
2022-03-01,30078
2022-04-01,30515
2022-05-01,30856
2022-06-01,30762
2022-07-01,30466
2022-08-01,31036
2022-09-01,30977
2022-10-01,31034
2022-11-01,31498
2022-12-01,31361
2023-01-01,31686
2023-02-01,31333
2023-03-01,31162
2023-04-01,31633
2023-05-01,31706
2023-06-01,31353
2023-07-01,31671
