date,value
1927-01-01,13648270
1935-01-01,16158018
1940-01-01,17820950
1945-01-01,18790174
1950-01-01,20947188
1955-01-01,24064763
1960-01-01,27754820
1965-01-01,31391421
1970-01-01,35605176
1975-01-01,40347719
1980-01-01,44736957
1985-01-01,50664458
1990-01-01,56473035
2000-01-01,67803927
2007-01-01,70586256
2008-01-01,71517100
2009-01-01,72561312
2010-01-01,73722988
2011-01-01,74724269
2012-01-01,75627384
2013-01-01,76667864
2014-01-01,77695904
2015-01-01,78741053
2016-01-01,79814871
2017-01-01,80810525
2018-01-01,82003882
2019-01-01,83154997
2020-01-01,83614362
2021-01-01,84680273
2022-01-01,85279553
