date,value
1991-01-01,75.591
1992-01-01,75.466
1993-01-01,75.181
1994-01-01,74.936
1995-01-01,74.657
1996-01-01,74.337
1997-01-01,72.168
1998-01-01,72.012
1999-01-01,71.787
2000-01-01,70.666
2001-01-01,70.985
2002-01-01,70.963
2003-01-01,70.38
2004-01-01,69.882
2005-01-01,70.896
2006-01-01,71.861
2007-01-01,72.841
2008-01-01,73.65
2009-01-01,74.511
2010-01-01,75.325
2011-01-01,75.507
2012-01-01,75.405
2013-01-01,76.003
2014-01-01,76.069
2015-01-01,75.772
2016-01-01,75.144
2017-01-01,74.706
2018-01-01,74.733
2019-01-01,74.359
2020-01-01,71.741
2021-01-01,71.165
2022-01-01,72.012
