date,value
1990-01-01,77.394
1991-01-01,77.231
1992-01-01,76.957
1993-01-01,76.706
1994-01-01,76.422
1995-01-01,76.108
1996-01-01,75.8
1997-01-01,74.3
1998-01-01,73.7
1999-01-01,73.5
2000-01-01,72.3
2001-01-01,73.0
2002-01-01,72.5
2003-01-01,72.0
2004-01-01,71.41
2005-01-01,72.412
2006-01-01,73.392
2007-01-01,74.35
2008-01-01,75.097
2009-01-01,75.83
2010-01-01,76.17
2011-01-01,76.27
2012-01-01,76.19
2013-01-01,77.02
2014-01-01,77.04
2015-01-01,77.2
2016-01-01,76.56
2017-01-01,76.13
2018-01-01,75.61
2019-01-01,75.63
2020-01-01,73.28
2021-01-01,72.9
2022-01-01,73.424
