date,value
1991-01-01,2.124
1992-01-01,1.938
1993-01-01,1.989
1994-01-01,1.945
1995-01-01,1.907
1996-01-01,1.93
1997-01-01,2.87
1998-01-01,2.29
1999-01-01,2.33
2000-01-01,2.26
2001-01-01,2.76
2002-01-01,2.12
2003-01-01,2.25
2004-01-01,2.14
2005-01-01,2.094
2006-01-01,2.086
2007-01-01,2.03
2008-01-01,1.927
2009-01-01,1.74
2010-01-01,1.11
2011-01-01,1.0
2012-01-01,1.03
2013-01-01,1.32
2014-01-01,1.26
2015-01-01,1.85
2016-01-01,1.85
2017-01-01,1.87
2018-01-01,1.16
2019-01-01,1.68
2020-01-01,2.1
2021-01-01,2.38
2022-01-01,1.923
