SDZ,Area,Count,Population,Value
N21000001,Dunsilly_A,893,16360,0.27292176039119803
N21000002,Dunsilly_B,903,15660,0.2883141762452107
N21000003,Dunsilly_C,711,12635,0.2813612979817966
N21000004,Dunsilly_D,1119,14955,0.3741223671013039
N21000005,Dunsilly_E,529,10800,0.2449074074074074
N21000006,Dunsilly_F,910,19580,0.2323799795709908
N21000007,Antrim_A,415,9185,0.22591181273816002
N21000008,Antrim_B,398,8955,0.22222222222222224
N21000009,Antrim_C,712,12260,0.2903752039151713
N21000010,Antrim_D,652,12115,0.2690879075526207
N21000011,Antrim_E,614,8255,0.3718958207147184
N21000012,Antrim_F,801,11015,0.36359509759418973
N21000013,Antrim_G,843,10665,0.3952180028129395
N21000014,Antrim_H,486,6970,0.3486370157819225
N21000015,Antrim_J,823,11480,0.3584494773519164
N21000016,Antrim_K,828,10750,0.3851162790697674
N21000017,Antrim_L,474,10215,0.23201174743024963
N21000018,Antrim_N,590,7855,0.37555697008274985
N21000019,Ballyclare_A,506,10140,0.2495069033530572
N21000020,Ballyclare_B,828,15070,0.27471798274717985
N21000021,Ballyclare_C,959,11805,0.40618382041507833
N21000022,Ballyclare_D,721,12690,0.2840819542947203
N21000023,Ballyclare_E,870,14680,0.2963215258855586
N21000024,Ballyclare_F,896,15935,0.28114213994352055
N21000025,Ballyclare_G,433,7020,0.3084045584045584
N21000026,Ballyclare_H,461,8000,0.288125
N21000027,Three_Mile_Water_A,709,11085,0.31980153360396935
N21000028,Three_Mile_Water_B,519,6795,0.3818984547461369
N21000029,Three_Mile_Water_C,477,10260,0.2324561403508772
N21000030,Three_Mile_Water_D,723,9795,0.3690658499234303
N21000031,Three_Mile_Water_E,856,12600,0.3396825396825397
N21000032,Three_Mile_Water_F,693,9490,0.3651211801896733
N21000033,Three_Mile_Water_G,949,13980,0.3394134477825465
N21000034,Three_Mile_Water_H,728,11345,0.3208461877479066
N21000035,Three_Mile_Water_J,516,7305,0.3531827515400411
N21000036,Three_Mile_Water_K,606,10610,0.2855796418473138
N21000037,Macedon_A,462,8345,0.2768124625524266
N21000038,Macedon_B,683,10390,0.3286814244465832
N21000039,Macedon_C,672,11055,0.3039348710990502
N21000040,Macedon_D,620,8925,0.3473389355742297
N21000041,Macedon_E,596,8385,0.35539654144305305
N21000042,Macedon_F,621,8360,0.3714114832535885
N21000043,Macedon_G,808,9490,0.42571127502634354
