SDZ,Area,Series,Count,Population,Value
N21000001,Dunsilly_A,Economically inactive: Retired,535,3272,0.1635085574572127
N21000002,Dunsilly_B,Economically inactive: Retired,572,3132,0.1826309067688378
N21000003,Dunsilly_C,Economically inactive: Retired,288,2527,0.11396913335971508
N21000004,Dunsilly_D,Economically inactive: Retired,627,2991,0.20962888665997995
N21000005,Dunsilly_E,Economically inactive: Retired,260,2160,0.12037037037037036
N21000006,Dunsilly_F,Economically inactive: Retired,487,3916,0.12436159346271705
N21000007,Antrim_A,Economically inactive: Retired,108,1837,0.0587915078933043
N21000008,Antrim_B,Economically inactive: Retired,197,1791,0.10999441652707985
N21000009,Antrim_C,Economically inactive: Retired,445,2452,0.18148450244698205
N21000010,Antrim_D,Economically inactive: Retired,307,2423,0.12670243499793643
N21000011,Antrim_E,Economically inactive: Retired,207,1651,0.12537855844942458
N21000012,Antrim_F,Economically inactive: Retired,346,2203,0.15705855651384476
N21000013,Antrim_G,Economically inactive: Retired,471,2133,0.22081575246132207
N21000014,Antrim_H,Economically inactive: Retired,174,1394,0.12482065997130559
N21000015,Antrim_J,Economically inactive: Retired,595,2296,0.25914634146341464
N21000016,Antrim_K,Economically inactive: Retired,298,2150,0.1386046511627907
N21000017,Antrim_L,Economically inactive: Retired,248,2043,0.1213901125795399
N21000018,Antrim_N,Economically inactive: Retired,349,1571,0.22215149586250796
N21000019,Ballyclare_A,Economically inactive: Retired,302,2028,0.14891518737672585
N21000020,Ballyclare_B,Economically inactive: Retired,467,3014,0.15494359654943596
N21000021,Ballyclare_C,Economically inactive: Retired,419,2361,0.17746717492587885
N21000022,Ballyclare_D,Economically inactive: Retired,390,2538,0.1536643026004728
N21000023,Ballyclare_E,Economically inactive: Retired,581,2936,0.1978882833787466
N21000024,Ballyclare_F,Economically inactive: Retired,580,3187,0.18198933165986822
N21000025,Ballyclare_G,Economically inactive: Retired,294,1404,0.2094017094017094
N21000026,Ballyclare_H,Economically inactive: Retired,319,1600,0.199375
N21000027,Three_Mile_Water_A,Economically inactive: Retired,322,2217,0.14524131709517366
N21000028,Three_Mile_Water_B,Economically inactive: Retired,362,1359,0.26637233259749815
N21000029,Three_Mile_Water_C,Economically inactive: Retired,285,2052,0.1388888888888889
N21000030,Three_Mile_Water_D,Economically inactive: Retired,516,1959,0.26339969372128635
N21000031,Three_Mile_Water_E,Economically inactive: Retired,624,2520,0.24761904761904763
N21000032,Three_Mile_Water_F,Economically inactive: Retired,281,1898,0.14805057955742887
N21000033,Three_Mile_Water_G,Economically inactive: Retired,537,2796,0.19206008583690987
N21000034,Three_Mile_Water_H,Economically inactive: Retired,484,2269,0.21330982811811372
N21000035,Three_Mile_Water_J,Economically inactive: Retired,174,1461,0.11909650924024641
N21000036,Three_Mile_Water_K,Economically inactive: Retired,316,2122,0.14891611687087652
N21000037,Macedon_A,Economically inactive: Retired,288,1669,0.1725584182144997
N21000038,Macedon_B,Economically inactive: Retired,400,2078,0.19249278152069296
N21000039,Macedon_C,Economically inactive: Retired,362,2211,0.16372682044323836
N21000040,Macedon_D,Economically inactive: Retired,228,1785,0.12773109243697478
N21000041,Macedon_E,Economically inactive: Retired,287,1677,0.17113893858079904
N21000042,Macedon_F,Economically inactive: Retired,214,1672,0.12799043062200957
N21000043,Macedon_G,Economically inactive: Retired,259,1898,0.13645943097997892
N21000044,Macedon_H,Economically inactive: Retired,375,1306,0.2871362940275651
N21000045,Macedon_J,Economically inactive: Retired,311,2049,0.15178135675939483
N21000046,Macedon_K,Economically inactive: Retired,353,1888,0.18697033898305085
N21000047,Macedon_L,Economically inactive: Retired,293,2090,0.14019138755980862
N21000048,Glengormley_Urban_A,Economically inactive: Retired,249,1502,0.16577896138482023
N21000049,Glengormley_Urban_B,Economically inactive: Retired,750,2081,0.3604036520903412
N21000050,Glengormley_Urban_C,Economically inactive: Retired,399,2325,0.17161290322580644
N21000051,Glengormley_Urban_D,Economically inactive: Retired,382,2143,0.1782547830144657
N21000052,Glengormley_Urban_E,Economically inactive: Retired,289,1683,0.1717171717171717
N21000053,Glengormley_Urban_F,Economically inactive: Retired,455,1898,0.23972602739726026
N21000054,Glengormley_Urban_G,Economically inactive: Retired,430,1858,0.23143164693218515
N21000055,Glengormley_Urban_H,Economically inactive: Retired,258,1307,0.19739862280030604
N21000056,Glengormley_Urban_J,Economically inactive: Retired,333,2187,0.1522633744855967
N21000057,Glengormley_Urban_K,Economically inactive: Retired,446,2119,0.2104766399244927
N21000058,Glengormley_Urban_L,Economically inactive: Retired,273,2539,0.10752264671130367
N21000059,Airport_A,Economically inactive: Retired,462,1547,0.2986425339366516
N21000060,Airport_B,Economically inactive: Retired,304,1761,0.17262918796138557
N21000061,Airport_C,Economically inactive: Retired,455,2443,0.18624641833810887
N21000062,Airport_D,Economically inactive: Retired,240,2503,0.09588493807431082
N21000063,Airport_E,Economically inactive: Retired,65,2938,0.022123893805309734
N21000064,Airport_F,Economically inactive: Retired,325,2962,0.10972316002700878
N21000065,Airport_G,Economically inactive: Retired,413,2509,0.1646074133120765
N21000066,Airport_H,Economically inactive: Retired,330,2885,0.11438474870017332
N21000067,Airport_J,Economically inactive: Retired,295,2481,0.1189036678758565
N21000068,Armagh_A,Economically inactive: Retired,636,3814,0.16675406397482959
N21000069,Armagh_B,Economically inactive: Retired,369,1826,0.20208105147864183
N21000070,Armagh_C,Economically inactive: Retired,478,3019,0.15833057303742962
N21000071,Armagh_D,Economically inactive: Retired,469,3589,0.1306770688213987
N21000072,Armagh_E,Economically inactive: Retired,350,2786,0.12562814070351758
N21000073,Armagh_F,Economically inactive: Retired,319,2306,0.1383347788378144
N21000074,Armagh_G,Economically inactive: Retired,445,3067,0.14509292468209978
N21000075,Armagh_H,Economically inactive: Retired,407,2503,0.1626048741510188
N21000076,Armagh_J,Economically inactive: Retired,442,3327,0.13285241959723473
N21000077,Armagh_K,Economically inactive: Retired,433,3533,0.1225587319558449
N21000078,Armagh_L,Economically inactive: Retired,356,2635,0.1351043643263757
N21000079,Portadown_A,Economically inactive: Retired,375,2965,0.12647554806070826
N21000080,Portadown_B,Economically inactive: Retired,488,3020,0.16158940397350993
N21000081,Portadown_C,Economically inactive: Retired,245,1820,0.1346153846153846
N21000082,Portadown_D,Economically inactive: Retired,268,2448,0.10947712418300654
N21000083,Portadown_E,Economically inactive: Retired,202,2013,0.10034773969200199
N21000084,Portadown_F,Economically inactive: Retired,230,1475,0.15593220338983052
N21000085,Portadown_G,Economically inactive: Retired,319,2043,0.1561429270680372
N21000086,Portadown_H,Economically inactive: Retired,509,1901,0.2677538137822199
N21000087,Portadown_J,Economically inactive: Retired,407,2919,0.1394313120931826
N21000088,Portadown_K,Economically inactive: Retired,234,2360,0.09915254237288136
N21000089,Portadown_L,Economically inactive: Retired,193,1901,0.10152551288795371
N21000090,Portadown_N,Economically inactive: Retired,298,1526,0.19528178243774574
N21000091,Portadown_P,Economically inactive: Retired,302,1409,0.21433640880056778
N21000092,Portadown_Q,Economically inactive: Retired,213,2203,0.09668633681343622
N21000093,Portadown_R,Economically inactive: Retired,536,2921,0.18349880178021225
N21000094,Craigavon_A,Economically inactive: Retired,409,3080,0.1327922077922078
N21000095,Craigavon_B,Economically inactive: Retired,354,2685,0.1318435754189944
N21000096,Craigavon_C,Economically inactive: Retired,264,2027,0.1302417365564874
N21000097,Craigavon_D,Economically inactive: Retired,179,1680,0.10654761904761904
N21000098,Craigavon_E,Economically inactive: Retired,287,2544,0.11281446540880503
N21000099,Craigavon_F,Economically inactive: Retired,158,2672,0.05913173652694611
N21000100,Craigavon_G,Economically inactive: Retired,153,2340,0.06538461538461539
N21000101,Craigavon_H,Economically inactive: Retired,334,1858,0.1797631862217438
N21000102,Craigavon_J,Economically inactive: Retired,323,2664,0.12124624624624625
N21000103,Craigavon_K,Economically inactive: Retired,293,1378,0.21262699564586357
N21000104,Craigavon_L,Economically inactive: Retired,256,1596,0.16040100250626566
N21000105,Craigavon_N,Economically inactive: Retired,473,2721,0.17383314957736126
N21000106,Craigavon_P,Economically inactive: Retired,364,1945,0.187146529562982
N21000107,Lurgan_A,Economically inactive: Retired,346,2824,0.12252124645892351
N21000108,Lurgan_B,Economically inactive: Retired,385,2447,0.1573355128729056
N21000109,Lurgan_C,Economically inactive: Retired,365,2367,0.15420363329108577
N21000110,Lurgan_D,Economically inactive: Retired,247,2854,0.08654519971969166
N21000111,Lurgan_E,Economically inactive: Retired,390,2858,0.1364590622813156
N21000112,Lurgan_F,Economically inactive: Retired,305,2815,0.108348134991119
N21000113,Lurgan_G,Economically inactive: Retired,265,1585,0.167192429022082
N21000114,Lurgan_H,Economically inactive: Retired,254,2041,0.12444879960803527
N21000115,Lurgan_J,Economically inactive: Retired,367,2250,0.16311111111111112
N21000116,Lurgan_K,Economically inactive: Retired,230,1694,0.1357733175914994
N21000117,Lurgan_L,Economically inactive: Retired,333,1404,0.23717948717948717
N21000118,Lurgan_N,Economically inactive: Retired,161,2146,0.0750232991612302
N21000119,Lurgan_P,Economically inactive: Retired,356,2139,0.16643291257597007
N21000120,Lurgan_Q,Economically inactive: Retired,262,1801,0.14547473625763466
N21000121,Lurgan_R,Economically inactive: Retired,357,2524,0.14144215530903329
N21000122,Lurgan_S,Economically inactive: Retired,631,2627,0.24019794442329653
N21000123,Lurgan_T,Economically inactive: Retired,282,1823,0.15469007131102577
N21000124,Lagan_River_A,Economically inactive: Retired,306,1935,0.15813953488372093
N21000125,Lagan_River_B,Economically inactive: Retired,306,1931,0.15846711548420508
N21000126,Lagan_River_C,Economically inactive: Retired,331,1521,0.2176199868507561
N21000127,Lagan_River_D,Economically inactive: Retired,219,1726,0.126882966396292
N21000128,Lagan_River_E,Economically inactive: Retired,200,1977,0.10116337885685382
N21000129,Lagan_River_F,Economically inactive: Retired,454,2980,0.1523489932885906
N21000130,Lagan_River_G,Economically inactive: Retired,395,2611,0.15128303332056683
N21000131,Lagan_River_H,Economically inactive: Retired,260,1689,0.15393724097098876
N21000132,Lagan_River_J,Economically inactive: Retired,380,1955,0.19437340153452684
N21000133,Lagan_River_K,Economically inactive: Retired,452,2424,0.18646864686468648
N21000134,Lagan_River_L,Economically inactive: Retired,129,1430,0.09020979020979021
N21000135,Lagan_River_N,Economically inactive: Retired,382,2625,0.14552380952380953
N21000136,Banbridge_A,Economically inactive: Retired,306,2305,0.13275488069414318
N21000137,Banbridge_B,Economically inactive: Retired,279,1957,0.14256515074092999
N21000138,Banbridge_C,Economically inactive: Retired,387,1926,0.20093457943925233
N21000139,Banbridge_D,Economically inactive: Retired,492,2926,0.16814764183185235
N21000140,Banbridge_E,Economically inactive: Retired,444,2524,0.17591125198098256
