SDZ,Area,Series,Count,Population,Value
N21000001,Dunsilly_A,Economically active: Self-employed (including full-time students),371,3272,0.11338630806845966
N21000002,Dunsilly_B,Economically active: Self-employed (including full-time students),375,3132,0.11973180076628352
N21000003,Dunsilly_C,Economically active: Self-employed (including full-time students),221,2527,0.08745548080728135
N21000004,Dunsilly_D,Economically active: Self-employed (including full-time students),168,2991,0.05616850551654965
N21000005,Dunsilly_E,Economically active: Self-employed (including full-time students),130,2160,0.06018518518518518
N21000006,Dunsilly_F,Economically active: Self-employed (including full-time students),369,3916,0.0942288049029622
N21000007,Antrim_A,Economically active: Self-employed (including full-time students),83,1837,0.045182362547632006
N21000008,Antrim_B,Economically active: Self-employed (including full-time students),62,1791,0.03461753210496929
N21000009,Antrim_C,Economically active: Self-employed (including full-time students),126,2452,0.05138662316476346
N21000010,Antrim_D,Economically active: Self-employed (including full-time students),83,2423,0.03425505571605448
N21000011,Antrim_E,Economically active: Self-employed (including full-time students),39,1651,0.023622047244094488
N21000012,Antrim_F,Economically active: Self-employed (including full-time students),62,2203,0.02814344076259646
N21000013,Antrim_G,Economically active: Self-employed (including full-time students),77,2133,0.03609939052977028
N21000014,Antrim_H,Economically active: Self-employed (including full-time students),45,1394,0.032281205164992825
N21000015,Antrim_J,Economically active: Self-employed (including full-time students),108,2296,0.047038327526132406
N21000016,Antrim_K,Economically active: Self-employed (including full-time students),53,2150,0.024651162790697675
N21000017,Antrim_L,Economically active: Self-employed (including full-time students),105,2043,0.0513950073421439
N21000018,Antrim_N,Economically active: Self-employed (including full-time students),51,1571,0.032463399108847865
N21000019,Ballyclare_A,Economically active: Self-employed (including full-time students),156,2028,0.07692307692307693
N21000020,Ballyclare_B,Economically active: Self-employed (including full-time students),135,3014,0.044790975447909755
N21000021,Ballyclare_C,Economically active: Self-employed (including full-time students),83,2361,0.03515459551037696
N21000022,Ballyclare_D,Economically active: Self-employed (including full-time students),109,2538,0.042947202521670606
N21000023,Ballyclare_E,Economically active: Self-employed (including full-time students),157,2936,0.05347411444141689
N21000024,Ballyclare_F,Economically active: Self-employed (including full-time students),303,3187,0.09507373705679323
N21000025,Ballyclare_G,Economically active: Self-employed (including full-time students),73,1404,0.051994301994301995
N21000026,Ballyclare_H,Economically active: Self-employed (including full-time students),130,1600,0.08125
N21000027,Three_Mile_Water_A,Economically active: Self-employed (including full-time students),85,2217,0.03834009923319801
N21000028,Three_Mile_Water_B,Economically active: Self-employed (including full-time students),87,1359,0.0640176600441501
N21000029,Three_Mile_Water_C,Economically active: Self-employed (including full-time students),110,2052,0.05360623781676413
N21000030,Three_Mile_Water_D,Economically active: Self-employed (including full-time students),93,1959,0.04747320061255743
N21000031,Three_Mile_Water_E,Economically active: Self-employed (including full-time students),183,2520,0.07261904761904762
N21000032,Three_Mile_Water_F,Economically active: Self-employed (including full-time students),47,1898,0.02476290832455216
N21000033,Three_Mile_Water_G,Economically active: Self-employed (including full-time students),179,2796,0.06402002861230328
N21000034,Three_Mile_Water_H,Economically active: Self-employed (including full-time students),85,2269,0.0374614367562803
N21000035,Three_Mile_Water_J,Economically active: Self-employed (including full-time students),47,1461,0.03216974674880219
N21000036,Three_Mile_Water_K,Economically active: Self-employed (including full-time students),98,2122,0.046182846371347785
N21000037,Macedon_A,Economically active: Self-employed (including full-time students),84,1669,0.05032953864589575
N21000038,Macedon_B,Economically active: Self-employed (including full-time students),108,2078,0.0519730510105871
N21000039,Macedon_C,Economically active: Self-employed (including full-time students),83,2211,0.03753957485300769
N21000040,Macedon_D,Economically active: Self-employed (including full-time students),51,1785,0.02857142857142857
N21000041,Macedon_E,Economically active: Self-employed (including full-time students),56,1677,0.033392963625521764
N21000042,Macedon_F,Economically active: Self-employed (including full-time students),53,1672,0.031698564593301434
N21000043,Macedon_G,Economically active: Self-employed (including full-time students),56,1898,0.029504741833508957
N21000044,Macedon_H,Economically active: Self-employed (including full-time students),61,1306,0.04670750382848392
N21000045,Macedon_J,Economically active: Self-employed (including full-time students),68,2049,0.03318692044899951
N21000046,Macedon_K,Economically active: Self-employed (including full-time students),73,1888,0.03866525423728814
N21000047,Macedon_L,Economically active: Self-employed (including full-time students),59,2090,0.028229665071770334
N21000048,Glengormley_Urban_A,Economically active: Self-employed (including full-time students),51,1502,0.03395472703062583
N21000049,Glengormley_Urban_B,Economically active: Self-employed (including full-time students),84,2081,0.040365209034118214
N21000050,Glengormley_Urban_C,Economically active: Self-employed (including full-time students),110,2325,0.047311827956989246
N21000051,Glengormley_Urban_D,Economically active: Self-employed (including full-time students),88,2143,0.04106392907139524
N21000052,Glengormley_Urban_E,Economically active: Self-employed (including full-time students),59,1683,0.035056446821152706
N21000053,Glengormley_Urban_F,Economically active: Self-employed (including full-time students),81,1898,0.04267650158061117
N21000054,Glengormley_Urban_G,Economically active: Self-employed (including full-time students),70,1858,0.03767491926803014
N21000055,Glengormley_Urban_H,Economically active: Self-employed (including full-time students),55,1307,0.042081101759755164
N21000056,Glengormley_Urban_J,Economically active: Self-employed (including full-time students),113,2187,0.051668952903520804
