Date,Value,Series,Age_Midpoint,Date Label
1992-04-01,554, Aged 16-17,16.5,1992 Q2
1992-07-01,565, Aged 16-17,16.5,1992 Q3
1992-10-01,589, Aged 16-17,16.5,1992 Q4
1993-01-01,600, Aged 16-17,16.5,1993 Q1
1993-04-01,604, Aged 16-17,16.5,1993 Q2
1993-07-01,596, Aged 16-17,16.5,1993 Q3
1993-10-01,582, Aged 16-17,16.5,1993 Q4
1994-01-01,571, Aged 16-17,16.5,1994 Q1
1994-04-01,573, Aged 16-17,16.5,1994 Q2
1994-07-01,585, Aged 16-17,16.5,1994 Q3
1994-10-01,616, Aged 16-17,16.5,1994 Q4
1995-01-01,601, Aged 16-17,16.5,1995 Q1
1995-04-01,585, Aged 16-17,16.5,1995 Q2
1995-07-01,594, Aged 16-17,16.5,1995 Q3
1995-10-01,592, Aged 16-17,16.5,1995 Q4
1996-01-01,611, Aged 16-17,16.5,1996 Q1
1996-04-01,601, Aged 16-17,16.5,1996 Q2
1996-07-01,602, Aged 16-17,16.5,1996 Q3
1996-10-01,599, Aged 16-17,16.5,1996 Q4
1997-01-01,603, Aged 16-17,16.5,1997 Q1
1997-04-01,579, Aged 16-17,16.5,1997 Q2
1997-07-01,581, Aged 16-17,16.5,1997 Q3
1997-10-01,571, Aged 16-17,16.5,1997 Q4
1998-01-01,577, Aged 16-17,16.5,1998 Q1
1998-04-01,587, Aged 16-17,16.5,1998 Q2
1998-07-01,570, Aged 16-17,16.5,1998 Q3
1998-10-01,570, Aged 16-17,16.5,1998 Q4
1999-01-01,585, Aged 16-17,16.5,1999 Q1
1999-04-01,599, Aged 16-17,16.5,1999 Q2
1999-07-01,594, Aged 16-17,16.5,1999 Q3
1999-10-01,598, Aged 16-17,16.5,1999 Q4
2000-01-01,593, Aged 16-17,16.5,2000 Q1
2000-04-01,597, Aged 16-17,16.5,2000 Q2
2000-07-01,615, Aged 16-17,16.5,2000 Q3
2000-10-01,639, Aged 16-17,16.5,2000 Q4
2001-01-01,648, Aged 16-17,16.5,2001 Q1
2001-04-01,655, Aged 16-17,16.5,2001 Q2
2001-07-01,657, Aged 16-17,16.5,2001 Q3
2001-10-01,659, Aged 16-17,16.5,2001 Q4
2002-01-01,680, Aged 16-17,16.5,2002 Q1
2002-04-01,698, Aged 16-17,16.5,2002 Q2
2002-07-01,690, Aged 16-17,16.5,2002 Q3
2002-10-01,667, Aged 16-17,16.5,2002 Q4
2003-01-01,673, Aged 16-17,16.5,2003 Q1
2003-04-01,693, Aged 16-17,16.5,2003 Q2
2003-07-01,712, Aged 16-17,16.5,2003 Q3
2003-10-01,713, Aged 16-17,16.5,2003 Q4
2004-01-01,723, Aged 16-17,16.5,2004 Q1
2004-04-01,741, Aged 16-17,16.5,2004 Q2
2004-07-01,715, Aged 16-17,16.5,2004 Q3
2004-10-01,740, Aged 16-17,16.5,2004 Q4
2005-01-01,739, Aged 16-17,16.5,2005 Q1
2005-04-01,755, Aged 16-17,16.5,2005 Q2
2005-07-01,778, Aged 16-17,16.5,2005 Q3
2005-10-01,821, Aged 16-17,16.5,2005 Q4
2006-01-01,819, Aged 16-17,16.5,2006 Q1
2006-04-01,817, Aged 16-17,16.5,2006 Q2
2006-07-01,827, Aged 16-17,16.5,2006 Q3
2006-10-01,817, Aged 16-17,16.5,2006 Q4
2007-01-01,848, Aged 16-17,16.5,2007 Q1
2007-04-01,869, Aged 16-17,16.5,2007 Q2
2007-07-01,849, Aged 16-17,16.5,2007 Q3
2007-10-01,838, Aged 16-17,16.5,2007 Q4
