Date,Value,Series,Age_Midpoint,Date Label
1992,22.3, Aged 18-24,21.0,1992
1993,22.7, Aged 18-24,21.0,1993
1994,24.0, Aged 18-24,21.0,1994
1995,24.0, Aged 18-24,21.0,1995
1996,23.5, Aged 18-24,21.0,1996
1997,23.7, Aged 18-24,21.0,1997
1998,24.2, Aged 18-24,21.0,1998
1999,24.1, Aged 18-24,21.0,1999
2000,24.6, Aged 18-24,21.0,2000
2001,24.5, Aged 18-24,21.0,2001
2002,24.6, Aged 18-24,21.0,2002
2003,25.8, Aged 18-24,21.0,2003
2004,25.4, Aged 18-24,21.0,2004
2005,26.4, Aged 18-24,21.0,2005
2006,25.4, Aged 18-24,21.0,2006
2007,26.3, Aged 18-24,21.0,2007
2008,26.7, Aged 18-24,21.0,2008
2009,28.6, Aged 18-24,21.0,2009
2010,29.3, Aged 18-24,21.0,2010
2011,29.8, Aged 18-24,21.0,2011
2012,29.0, Aged 18-24,21.0,2012
2013,29.0, Aged 18-24,21.0,2013
2014,29.5, Aged 18-24,21.0,2014
2015,28.9, Aged 18-24,21.0,2015
2016,29.4, Aged 18-24,21.0,2016
2017,30.4, Aged 18-24,21.0,2017
2018,30.5, Aged 18-24,21.0,2018
2019,30.3, Aged 18-24,21.0,2019
2020,30.0, Aged 18-24,21.0,2020
2021,31.1, Aged 18-24,21.0,2021
2022,31.3, Aged 18-24,21.0,2022
1992,17.7, Aged 25-34,29.5,1992
1993,17.4, Aged 25-34,29.5,1993
1994,17.2, Aged 25-34,29.5,1994
1995,17.1, Aged 25-34,29.5,1995
1996,17.0, Aged 25-34,29.5,1996
1997,16.5, Aged 25-34,29.5,1997
1998,16.5, Aged 25-34,29.5,1998
1999,15.6, Aged 25-34,29.5,1999
2000,15.8, Aged 25-34,29.5,2000
2001,16.2, Aged 25-34,29.5,2001
2002,16.3, Aged 25-34,29.5,2002
2003,16.5, Aged 25-34,29.5,2003
2004,16.5, Aged 25-34,29.5,2004
2005,16.2, Aged 25-34,29.5,2005
2006,15.7, Aged 25-34,29.5,2006
2007,15.8, Aged 25-34,29.5,2007
2008,15.4, Aged 25-34,29.5,2008
2009,15.4, Aged 25-34,29.5,2009
2010,15.3, Aged 25-34,29.5,2010
2011,15.1, Aged 25-34,29.5,2011
2012,15.1, Aged 25-34,29.5,2012
2013,14.7, Aged 25-34,29.5,2013
2014,14.6, Aged 25-34,29.5,2014
2015,14.6, Aged 25-34,29.5,2015
2016,14.1, Aged 25-34,29.5,2016
2017,13.3, Aged 25-34,29.5,2017
2018,13.3, Aged 25-34,29.5,2018
2019,12.5, Aged 25-34,29.5,2019
2020,11.7, Aged 25-34,29.5,2020
2021,12.2, Aged 25-34,29.5,2021
2022,12.4, Aged 25-34,29.5,2022
1992,14.3, Aged 35-49,42.0,1992
1993,14.6, Aged 35-49,42.0,1993
1994,15.1, Aged 35-49,42.0,1994
1995,15.2, Aged 35-49,42.0,1995
1996,15.3, Aged 35-49,42.0,1996
1997,15.6, Aged 35-49,42.0,1997
1998,15.6, Aged 35-49,42.0,1998
1999,15.1, Aged 35-49,42.0,1999
2000,14.9, Aged 35-49,42.0,2000
2001,15.2, Aged 35-49,42.0,2001
2002,15.0, Aged 35-49,42.0,2002
2003,15.1, Aged 35-49,42.0,2003
2004,15.2, Aged 35-49,42.0,2004
2005,15.0, Aged 35-49,42.0,2005
2006,14.6, Aged 35-49,42.0,2006
2007,14.8, Aged 35-49,42.0,2007
2008,14.4, Aged 35-49,42.0,2008
2009,14.1, Aged 35-49,42.0,2009
2010,14.3, Aged 35-49,42.0,2010
2011,14.1, Aged 35-49,42.0,2011
2012,13.5, Aged 35-49,42.0,2012
2013,13.6, Aged 35-49,42.0,2013
2014,13.1, Aged 35-49,42.0,2014
2015,13.5, Aged 35-49,42.0,2015
2016,13.4, Aged 35-49,42.0,2016
2017,13.1, Aged 35-49,42.0,2017
2018,12.4, Aged 35-49,42.0,2018
2019,12.3, Aged 35-49,42.0,2019
2020,12.6, Aged 35-49,42.0,2020
2021,12.0, Aged 35-49,42.0,2021
2022,12.2, Aged 35-49,42.0,2022
1992,38.7, Aged 50-64,57.0,1992
1993,38.8, Aged 50-64,57.0,1993
1994,38.5, Aged 50-64,57.0,1994
1995,38.7, Aged 50-64,57.0,1995
1996,38.5, Aged 50-64,57.0,1996
1997,37.9, Aged 50-64,57.0,1997
