City,Population,lat,lng
Belfast,274770,54.596391,-5.9301829
Londonderry,87153,54.9978678,-7.3213056
Lisburn,77506,54.5112913,-6.0466736
Newtownabbey,63860,54.6778816,-5.9249199
Bangor,60385,54.662595,-5.6679127
Craigavon,59236,54.4507201,-6.3921622
Castlereagh,56679,54.5763441,-5.8812117
Newtownards,29363,54.5933779,-5.6960935
Carrickfergus,29208,54.7136165,-5.8073112
Ballymena,28932,54.8662966,-6.2760159
Newry,27757,54.1775283,-6.337506
Coleraine,25681,55.1315912,-6.671861
Omagh,21056,54.5992486,-7.3029907
Antrim,19661,54.715139,-6.2192038
Larne,18421,54.8508458,-5.8183116
Banbridge,16173,54.3514168,-6.2714623
Armagh,14801,54.3481977,-6.6540432
Enniskillen,14472,54.3448538,-7.6389365
Strabane,14198,54.826115,-7.4627993
Holywood,13109,54.6404494,-5.8361723
Limavady,12970,55.0504857,-6.9505134
Dungannon,11935,54.5039088,-6.7703622
Cookstown,11081,54.6436734,-6.7416008
Downpatrick,10507,54.3279335,-5.71649
Ballymoney,9625,55.0702727,-6.5172758
Ballyclare,9472,54.7525296,-6.0010911
Comber,9190,54.5498342,-5.7454313
Magherafelt,9157,54.7544757,-6.6078073
Portstewart,8394,55.1829096,-6.7187008
Carryduff,7798,54.5184788,-5.8874586
Warrenpoint,7670,54.0999923,-6.2512827
Donaghadee,7369,54.6425446,-5.5375794
Portrush,6684,55.2060325,-6.6540486
Kilkeel,6447,54.0626664,-6.0059949
Ballynahinch,5701,54.4026038,-5.8960151
Dromore,5641,54.4152683,-6.1495064
Ballycastle,5566,55.2006882,-6.250282
Coalisland,5416,54.5394657,-6.7004879
Randalstown,5378,54.7498918,-6.3197638
Crumlin,5149,54.6206167,-6.2149351
Greenisland,5073,54.7000898,-5.8724792
Moira,4098,54.4791204,-6.229523089249599
Maghera,4085,54.8448023,-6.6718648
Hillsborough,3872,54.462813,-6.0830844
Eglinton,3818,55.0266097,-7.176451
Whitehead,3697,54.7548363,-5.7155824
Culmore,3645,55.0499273,-7.2667022
Ahoghill,3633,54.8513314,-6.3656884
Saintfield,3327,54.4603955,-5.8325813
Keady,3171,54.249102,-6.7030739
Tandragee,3122,54.3525124,-6.4123562
Dungiven,3066,54.9266409,-6.9236545
Lisnaskea,2895,54.2519389,-7.4424577
Waringstown,2856,54.4383129,-6.3009935
Ballygowan,2832,54.5018813,-5.7918013
Castlederg,2822,54.7087956,-7.593125
Killyleagh,2591,54.3990651,-5.6505384
Broughshane,2581,54.8936924,-6.2037804
Portaferry,2525,54.3806965,-5.5485491
Rostrevor,2515,54.100725,-6.2004264
Cullybackey,2502,54.8889956,-6.356308
Castlewellan,2499,54.2589987,-5.9432827
Castledawson,2263,54.7769235,-6.5576806
Sion Mills,2212,54.7878773,-7.4728557
Rathfriland,2063,54.2381785,-6.1603136
Millisle,1914,54.60782,-5.5284632
Connor,1778,54.8065472,-6.2099252
Irvinestown,1765,54.4720106,-7.6334809
Annalong,1760,54.1075749,-5.8972213
Ballykelly,1735,55.044791,-7.0166599
Draperstown,1734,54.79358,-6.7842045
Ardglass,1676,54.2633035,-5.6098711
Crossgar,1667,54.3971136,-5.7623951
Portavogie,1639,54.4612678,-5.4433576
Templepatrick,1627,54.7007241,-6.103504
Kilrea,1616,54.950167,-6.5564648
Gilford,1583,54.3733602,-6.359485
Ballywalter,1572,54.5439048,-5.4867684
Castlerock,1477,55.16482,-6.7884142
Newtownstewart,1465,54.7173126,-7.3790232
Carnlough,1427,54.9929248,-5.9899592
Moneymore,1426,54.6920653,-6.6649675
Crossmaglen,1415,54.077193,-6.607368
Fintona,1373,54.4969713,-7.319246
Garvagh,1372,54.982536,-6.6877148
Ballinamallard,1365,54.4228702,-7.5950403
Bushmills,1309,55.2059909,-6.5234165
Glenariff,1286,55.05,-6.066667
Kircubbin,1237,54.4870904,-5.53201
Moy,1234,54.4467386,-6.6911155
Portglenone,1230,54.8733857,-6.4751493
Cushendall,1226,55.080819,-6.0640644
Magheralin,1172,54.4672237,-6.2611343
Annahilt,1170,54.4377964,-6.0022416
Doagh,1151,54.7377917,-6.0429206
Fivemiletown,1109,54.3784847,-7.3153578
Dunloy,1091,55.0111673,-6.4111633
Dundrum,1090,54.2581955,-5.8426084
