GSScode,winner_2019
W07000081,Lab
S14000060,SNP
S14000061,SNP
S14000062,Con
S14000058,Con
S14000063,SNP
E14001063,Con
E14001064,Con
S14000064,SNP
E14001065,Con
W07000082,Lab
E14001066,Con
S14000065,SNP
N05000005,DUP
N05000012,DUP
N05000014,DUP
S14000066,SNP
S14000067,SNP
E14001067,Con
E14001068,Con
E14001069,Con
E14001070,Lab
E14001071,Con
S14000006,SNP
S14000010,SNP
S14000048,SNP
E14001072,Con
W07000083,Con
E14001073,Lab
E14001074,Lab
E14001075,Lab
E14001076,Con
E14001077,Con
E14001480,Con
E14001078,Con
E14001079,Con
E14001080,LD
S14000068,SNP
E14001081,Lab
E14001082,Con
E14001083,Lab
E14001084,Lab
E14001359,Con
E14001384,Con
N05000001,DUP
N05000002,SF
N05000003,SDLP
N05000004,SF
E14001085,Lab
S14000008,Con
E14001086,Lab
E14001087,Con
E14001088,Con
E14001089,Con
E14001090,Con
E14001091,Lab
E14001092,Lab
E14001093,Lab
E14001094,Lab
E14001095,Lab
E14001096,Lab
E14001097,Con
E14001098,Lab
E14001099,Lab
E14001100,Lab
E14001101,Con
E14001102,Lab
E14001103,Lab
E14001104,Con
E14001105,Con
W07000084,Lab
E14001106,Lab
E14001107,Lab
E14001108,Con
E14001109,Con
E14001110,Con
E14001111,Lab
E14001112,Con
E14001113,Lab
E14001114,Con
E14001115,Con
E14001116,Con
E14001117,Con
E14001118,Lab
E14001119,Lab
E14001120,Lab
E14001121,Con
W07000085,Con
E14001122,Lab
E14001123,Lab
E14001124,Lab
E14001125,Con
W07000086,Con
E14001126,Con
E14001127,Con
E14001128,Con
E14001129,Lab
E14001130,Green
E14001131,Lab
E14001132,Lab
E14001133,Lab
E14001134,Lab
E14001135,Lab
E14001136,Con
E14001137,Con
E14001138,Con
E14001139,Con
E14001140,Con
E14001141,Con
E14001360,Con
E14001142,Con
E14001143,Con
E14001144,Con
E14001145,Con
E14001146,Con
W07000087,Con
W07000088,Lab
S14000069,SNP
E14001147,Con
E14001148,Con
E14001149,Lab
E14001390,Con
E14001401,Con
E14001481,Con
E14001150,Con
E14001151,Lab
W07000089,Lab
W07000090,Lab
W07000091,Lab
W07000092,Lab
E14001152,Con
E14001153,Con
E14001154,Con
W07000093,PC
E14001157,Con
E14001158,Con
E14001159,Con
E14001160,Con
E14001161,Con
E14001162,Con
E14001361,Con
E14001163,Lab
E14001164,Con
E14001165,Lab
E14001166,Con
E14001167,Con
E14001168,Con
E14001169,Con
E14001170,Spkr
E14001171,Con
E14001172,Con
E14001174,Con
E14001175,Lab
W07000094,Con
W07000095,Con
S14000070,SNP
E14001176,Con
E14001177,Con
E14001178,Con
E14001179,Con
E14001385,Con
E14001486,Con
E14001386,Con
E14001482,Con
E14001180,Lab
E14001181,Lab
E14001182,Lab
S14000071,SNP
E14001183,Lab
E14001184,Con
E14001185,Con
E14001186,Lab
E14001187,Con
E14001188,Lab
S14000072,SNP
E14001189,Lab
E14001190,Con
E14001191,Con
E14001192,Con
E14001193,Con
E14001194,Lab
E14001195,Con
E14001362,Con
E14001391,Con
E14001483,Con
E14001155,Con
E14001387,Con
E14001484,Con
E14001495,Con
E14001196,Lab
E14001197,Con
E14001198,Lab
E14001199,Con
E14001200,Lab
E14001201,Con
E14001363,Con
E14001388,Con
E14001485,Con
E14001575,Con
E14001202,Con
E14001203,Con
E14001204,Con
E14001205,Lab
S14000073,Con
S14000074,Con
S14000097,SNP
S14000106,SNP
S14000075,SNP
S14000076,SNP
E14001206,Con
E14001173,Lab
E14001389,Lab
W07000096,PC
E14001207,Lab
E14001208,Lab
E14001209,Lab
E14001210,Con
E14001211,Lab
E14001212,Con
E14001213,Lab
S14000077,SNP
E14001219,Con
E14001220,Con
S14000078,SNP
S14000079,SNP
S14000080,Lab
S14000081,SNP
S14000082,LD
E14001221,Lab
E14001222,Lab
E14001223,Con
E14001224,Con
E14001225,Lab
E14001226,Con
E14001227,Con
E14001228,Con
E14001229,Lab
E14001230,Con
E14001402,Con
E14001231,Lab
E14001232,Con
S14000083,SNP
E14001233,Con
E14001234,Con
E14001235,Con
E14001236,Lab
N05000007,SF
S14000100,SNP
E14001237,Con
E14001238,Con
E14001239,Con
E14001240,Con
N05000008,SDLP
E14001241,Con
E14001242,Con
E14001243,Con
E14001244,Lab
E14001245,Con
E14001246,Con
S14000084,SNP
S14000085,SNP
S14000086,SNP
S14000087,SNP
S14000088,SNP
S14000089,SNP
E14001247,Con
S14000090,SNP
E14001248,Con
E14001249,Con
E14001250,Con
S14000091,Con
E14001251,Lab
E14001252,Con
W07000097,Lab
E14001253,Con
E14001254,Con
E14001255,Con
E14001256,Con
E14001257,Lab
E14001258,Con
E14001259,Lab
E14001260,Lab
E14001261,Con
E14001262,Lab
E14001263,Con
S14000092,SNP
E14001264,Lab
E14001214,Con
E14001392,Con
E14001403,Con
E14001265,Lab
E14001266,Con
E14001267,Con
E14001268,Con
E14001269,Con
E14001270,Con
E14001271,Lab
E14001272,Lab
E14001273,Con
E14001274,Con
E14001275,Con
E14001276,Lab
E14001277,Con
E14001278,Con
E14001279,Con
E14001280,Con
E14001281,Con
E14001395,Con
E14001282,Con
E14001283,Con
E14001393,Con
E14001496,Con
E14001284,Con
E14001285,Con
E14001286,Lab
E14001287,Con
E14001288,Con
E14001289,Con
E14001290,Lab
E14001291,Con
E14001292,Con
E14001293,Lab
E14001294,Con
E14001295,Lab
E14001296,Lab
E14001297,Lab
E14001313,Lab
E14001314,Lab
E14001315,Con
E14001298,Con
E14001299,Con
E14001300,Lab
E14001301,Lab
S14000093,SNP
S14000094,SNP
E14001302,Con
E14001303,Con
E14001304,Con
E14001305,Lab
E14001306,Lab
E14001307,Lab
E14001308,Con
E14001309,Con
E14001310,Lab
E14001311,Con
S14000040,SNP
E14001312,LD
E14001316,Con
E14001317,Lab
N05000009,DUP
E14001577,Lab
E14001318,Con
E14001319,Lab
E14001320,Lab
E14001321,Lab
E14001322,Con
E14001323,Lab
E14001324,Con
E14001325,Lab
E14001326,Lab
E14001327,Lab
E14001328,Lab
E14001364,Con
E14001404,Con
E14001488,Con
E14001329,Con
E14001330,Con
E14001331,Lab
E14001332,Lab
E14001333,Lab
E14001334,Lab
E14001335,Con
E14001336,Con
E14001337,Lab
E14001338,Lab
E14001339,Lab
E14001340,Lab
E14001341,Lab
S14000095,SNP
W07000098,Lab
N05000006,DUP
S14000096,SNP
E14001342,Con
E14001343,Con
E14001344,Con
E14001345,Lab
E14001346,Lab
E14001347,Con
E14001348,Con
E14001349,Con
E14001350,Lab
E14001351,Con
E14001352,Lab
E14001353,Lab
E14001354,Lab
E14001355,Con
E14001356,Con
E14001357,Con
E14001358,Con
W07000099,Lab
E14001367,Lab
E14001368,Con
S14000045,SNP
E14001369,Con
E14001370,Con
E14001371,Lab
W07000101,Con
W07000102,Con
S14000098,SNP
E14001372,Con
S14000099,SNP
S14000027,SNP
W07000103,Lab
E14001373,Con
E14001374,Con
E14001375,Con
E14001376,Con
E14001380,Con
E14001377,Lab
E14001378,Lab
E14001379,Lab
W07000104,Lab
W07000105,Lab
N05000011,SF
E14001381,Con
E14001382,Con
E14001365,Con
E14001396,Con
E14001405,Con
E14001489,Con
E14001497,Con
E14001383,Lab
N05000013,All
E14001406,Con
E14001407,Con
E14001490,Con
E14001397,Con
E14001408,Con
E14001409,Lab
E14001410,Lab
E14001411,Lab
E14001412,Lab
E14001413,Con
E14001414,Con
E14001415,Lab
E14001416,Lab
S14000051,LD
E14001417,Con
E14001418,Con
E14001419,Lab
E14001420,LD
S14000101,SNP
S14000102,SNP
E14001421,Lab
W07000100,Con
E14001422,Con
E14001423,Con
E14001424,Con
S14000103,SNP
E14001425,Con
E14001426,Con
E14001427,Lab
E14001428,Lab
W07000106,Lab
E14001429,Con
E14001430,Lab
E14001431,Con
E14001432,Lab
E14001433,Lab
E14001434,Lab
E14001435,Lab
E14001436,Lab
E14001437,Con
E14001438,Lab
E14001439,Con
E14001440,Con
E14001441,Con
E14001442,Con
S14000021,SNP
W07000107,Lab
E14001443,Con
E14001444,Con
E14001445,LD
E14001446,Lab
E14001447,Con
E14001448,Con
E14001449,Con
E14001450,Con
E14001451,Con
E14001452,Lab
E14001453,Con
E14001454,Con
E14001455,Lab
E14001456,Con
E14001457,Con
S14000104,SNP
E14001458,Con
E14001459,Lab
E14001460,Con
E14001461,Con
E14001462,Con
E14001463,Lab
E14001464,Con
E14001465,Con
E14001466,Lab
E14001467,Lab
E14001468,Lab
E14001469,Lab
E14001470,Lab
E14001471,Con
E14001472,Con
E14001473,Con
E14001398,Con
E14001493,Con
E14001474,Con
E14001475,Con
E14001476,Con
E14001477,Lab
E14001478,Lab
E14001479,Con
E14001399,Con
E14001394,Con
N05000015,SF
E14001487,Con
E14001491,Con
E14001492,Lab
E14001499,Con
E14001500,Lab
E14001501,Con
E14001502,Con
E14001503,Lab
E14001504,Con
E14001505,Con
E14001506,Con
E14001507,LD
E14001508,Con
E14001509,Lab
E14001510,Lab
E14001511,Con
E14001512,Con
