GSScode,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile
W07000081,Lab,30.2,70.3,67.8,Lowest Quintile,Lowest Quintile,Lowest Quintile
S14000060,SNP,58.7,79.2,75.9,Third Quintile,Third Quintile,Highest Quintile
S14000061,SNP,63.7,77.5,73.5,Second Quintile,Second Quintile,Highest Quintile
S14000062,Con,39.0,66.7,64.3,Lowest Quintile,Lowest Quintile,Second Quintile
S14000058,Con,53.0,90.4,90.4,Highest Quintile,Highest Quintile,Fourth Quintile
S14000063,SNP,46.9,73.7,73.7,Second Quintile,Second Quintile,Third Quintile
E14001063,Con,43.3,86.6,86.6,Highest Quintile,Highest Quintile,Third Quintile
E14001064,Con,36.5,85.8,80.5,Highest Quintile,Fourth Quintile,Second Quintile
S14000064,SNP,43.7,75.5,71.1,Second Quintile,Second Quintile,Third Quintile
E14001065,Con,62.1,76.8,73.3,Second Quintile,Second Quintile,Highest Quintile
W07000082,Lab,43.6,83.6,81.3,Fourth Quintile,Fourth Quintile,Third Quintile
E14001066,Con,32.2,76.8,74.9,Second Quintile,Third Quintile,Lowest Quintile
S14000065,SNP,50.8,68.9,67.3,Lowest Quintile,Lowest Quintile,Fourth Quintile
N05000005,DUP,,,,,,
N05000012,DUP,,,,,,
N05000014,DUP,,,,,,
S14000066,SNP,50.7,79.7,76.8,Third Quintile,Third Quintile,Fourth Quintile
S14000067,SNP,47.0,72.9,70.4,Lowest Quintile,Second Quintile,Third Quintile
E14001067,Con,63.2,78.5,72.6,Third Quintile,Second Quintile,Highest Quintile
E14001068,Con,24.2,64.9,59.0,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001069,Con,26.0,65.4,63.1,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001070,Lab,26.8,71.3,68.4,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001071,Con,42.9,85.2,81.3,Highest Quintile,Fourth Quintile,Third Quintile
S14000006,SNP,44.7,68.0,64.1,Lowest Quintile,Lowest Quintile,Third Quintile
S14000010,SNP,57.9,69.9,66.2,Lowest Quintile,Lowest Quintile,Fourth Quintile
