Borrowing,Date,Value,Note
Borrowing,2014-03-31,84597.36900000002,Source: DLUHC. Totals for borrowing and investment exclude loans to and from other Local Authorities.
Assets,2014-03-31,31778.591,
Borrowing,2015-03-31,86401.12099999997,
Assets,2015-03-31,33291.011,
Borrowing,2016-03-31,88144.07803305642,
Assets,2016-03-31,32314.0160971641,
Borrowing,2017-03-31,90654.95012078974,
Assets,2017-03-31,29418.95518528,
Borrowing,2018-03-31,95723.64300000001,
Assets,2018-03-31,27954.951999999997,
Borrowing,2019-03-31,103101.223,
Assets,2019-03-31,30649.371,
Borrowing,2020-03-31,112647.44300000001,
Assets,2020-03-31,34755.307,
Borrowing,2021-03-31,114249.31,
Assets,2021-03-31,38004.721000000005,
Borrowing,2022-03-31,119882.08000000002,
Assets,2022-03-31,49650.019,
Borrowing,2023-03-31,123335.837,
Assets,2023-03-31,42334.95,
Borrowing,2023-12-31,123437.332,
Assets,2023-12-31,40974,
