id,date,value,country,iso3,name
AL,2000-01-01,3057026.0,Albania,ALB,Albania
AL,2001-01-01,3063320.0,Albania,ALB,Albania
AL,2002-01-01,3057018.0,Albania,ALB,Albania
AL,2003-01-01,3044993.0,Albania,ALB,Albania
AL,2004-01-01,3034231.0,Albania,ALB,Albania
AL,2005-01-01,3019634.0,Albania,ALB,Albania
AL,2006-01-01,3003329.0,Albania,ALB,Albania
AL,2007-01-01,2981755.0,Albania,ALB,Albania
AL,2008-01-01,2958266.0,Albania,ALB,Albania
AL,2009-01-01,2936355.0,Albania,ALB,Albania
AL,2010-01-01,2918674.0,Albania,ALB,Albania
AL,2011-01-01,2907361.0,Albania,ALB,Albania
AL,2012-01-01,2903008.0,Albania,ALB,Albania
AL,2013-01-01,2897770.0,Albania,ALB,Albania
AL,2014-01-01,2892394.0,Albania,ALB,Albania
AL,2015-01-01,2885796.0,Albania,ALB,Albania
AL,2016-01-01,2875592.0,Albania,ALB,Albania
AL,2017-01-01,2876591.0,Albania,ALB,Albania
AL,2018-01-01,2870324.0,Albania,ALB,Albania
AL,2019-01-01,2862427.0,Albania,ALB,Albania
AL,2020-01-01,2845955.0,Albania,ALB,Albania
AL,2021-01-01,2829741.0,Albania,ALB,Albania
AL,2022-01-01,2793592.0,Albania,ALB,Albania
AL,2023-01-01,2761785.0,Albania,ALB,Albania
AL0,2000-01-01,3058497.0,Albania,ALB,Shqipëria
AL0,2001-01-01,3063318.0,Albania,ALB,Shqipëria
AL0,2002-01-01,3057018.0,Albania,ALB,Shqipëria
AL0,2003-01-01,3044993.0,Albania,ALB,Shqipëria
AL0,2004-01-01,3034231.0,Albania,ALB,Shqipëria
AL0,2005-01-01,3019634.0,Albania,ALB,Shqipëria
AL0,2006-01-01,3003329.0,Albania,ALB,Shqipëria
AL0,2007-01-01,2981755.0,Albania,ALB,Shqipëria
AL0,2008-01-01,2958266.0,Albania,ALB,Shqipëria
AL0,2009-01-01,2936355.0,Albania,ALB,Shqipëria
AL0,2010-01-01,2918674.0,Albania,ALB,Shqipëria
AL0,2011-01-01,2907361.0,Albania,ALB,Shqipëria
AL0,2012-01-01,2903008.0,Albania,ALB,Shqipëria
AL0,2013-01-01,2897770.0,Albania,ALB,Shqipëria
AL0,2014-01-01,2892394.0,Albania,ALB,Shqipëria
AL0,2015-01-01,2885796.0,Albania,ALB,Shqipëria
AL0,2016-01-01,2875592.0,Albania,ALB,Shqipëria
AL0,2017-01-01,2876591.0,Albania,ALB,Shqipëria
AL0,2018-01-01,2870324.0,Albania,ALB,Shqipëria
AL0,2019-01-01,2862427.0,Albania,ALB,Shqipëria
AL0,2020-01-01,2845955.0,Albania,ALB,Shqipëria
AL0,2021-01-01,2829741.0,Albania,ALB,Shqipëria
AL0,2022-01-01,2793592.0,Albania,ALB,Shqipëria
AL0,2023-01-01,2761785.0,Albania,ALB,Shqipëria
AL01,2012-01-01,861058.0,Albania,ALB,Veri
AL01,2013-01-01,853084.0,Albania,ALB,Veri
AL01,2014-01-01,844921.0,Albania,ALB,Veri
AL01,2015-01-01,836448.0,Albania,ALB,Veri
AL01,2016-01-01,830981.0,Albania,ALB,Veri
AL01,2017-01-01,826904.0,Albania,ALB,Veri
AL01,2018-01-01,819793.0,Albania,ALB,Veri
AL01,2019-01-01,813758.0,Albania,ALB,Veri
AL01,2020-01-01,804689.0,Albania,ALB,Veri
AL01,2021-01-01,797955.0,Albania,ALB,Veri
AL01,2022-01-01,783970.0,Albania,ALB,Veri
AL01,2023-01-01,771020.0,Albania,ALB,Veri
AL011,2012-01-01,140956.0,Albania,ALB,Dibër
AL011,2013-01-01,137722.0,Albania,ALB,Dibër
AL011,2014-01-01,134332.0,Albania,ALB,Dibër
AL011,2015-01-01,131054.0,Albania,ALB,Dibër
AL011,2016-01-01,129056.0,Albania,ALB,Dibër
AL011,2017-01-01,125579.0,Albania,ALB,Dibër
AL011,2018-01-01,120978.0,Albania,ALB,Dibër
AL011,2019-01-01,118948.0,Albania,ALB,Dibër
AL011,2020-01-01,115857.0,Albania,ALB,Dibër
AL011,2021-01-01,113683.0,Albania,ALB,Dibër
AL011,2022-01-01,109585.0,Albania,ALB,Dibër
AL011,2023-01-01,106380.0,Albania,ALB,Dibër
AL012,2012-01-01,271947.0,Albania,ALB,Durrës
AL012,2013-01-01,274029.0,Albania,ALB,Durrës
AL012,2014-01-01,276058.0,Albania,ALB,Durrës
AL012,2015-01-01,277989.0,Albania,ALB,Durrës
AL012,2016-01-01,280205.0,Albania,ALB,Durrës
AL012,2017-01-01,284823.0,Albania,ALB,Durrës
AL012,2018-01-01,289626.0,Albania,ALB,Durrës
AL012,2019-01-01,290126.0,Albania,ALB,Durrës
AL012,2020-01-01,290697.0,Albania,ALB,Durrës
AL012,2021-01-01,292029.0,Albania,ALB,Durrës
AL012,2022-01-01,291325.0,Albania,ALB,Durrës
AL012,2023-01-01,289797.0,Albania,ALB,Durrës
AL013,2012-01-01,87762.0,Albania,ALB,Kukës
AL013,2013-01-01,86082.0,Albania,ALB,Kukës
AL013,2014-01-01,84306.0,Albania,ALB,Kukës
AL013,2015-01-01,82428.0,Albania,ALB,Kukës
AL013,2016-01-01,81294.0,Albania,ALB,Kukës
AL013,2017-01-01,79559.0,Albania,ALB,Kukës
AL013,2018-01-01,77395.0,Albania,ALB,Kukës
AL013,2019-01-01,76594.0,Albania,ALB,Kukës
AL013,2020-01-01,75428.0,Albania,ALB,Kukës
AL013,2021-01-01,74388.0,Albania,ALB,Kukës
AL013,2022-01-01,72768.0,Albania,ALB,Kukës
AL013,2023-01-01,71498.0,Albania,ALB,Kukës
