id,value,year
28,55937,2017
29,67317,2017
30,68994,2017
31,75112,2017
32,68276,2017
33,91029,2017
34,97300,2017
35,58308,2017
36,80114,2017
37,65964,2017
38,81869,2017
39,69632,2017
40,61471,2017
41,73202,2017
42,75949,2017
44,84557,2017
45,62432,2017
46,73236,2017
47,62926,2017
48,70136,2017
50,74426,2017
49,77940,2017
51,86279,2017
53,84594,2017
54,56086,2017
55,75413,2017
56,74868,2017
72,23190,2017
1,61512,2017
2,86831,2017
4,67886,2017
5,57421,2017
6,82009,2017
8,84918,2017
10,77082,2017
11,106528,2017
9,93870,2017
12,64003,2017
13,67983,2017
16,64178,2017
15,91460,2017
17,79168,2017
18,68085,2017
19,75076,2017
20,72057,2017
21,61593,2017
22,60510,2017
23,72177,2017
24,98393,2017
25,98758,2017
26,69664,2017
27,86416,2017
55,76814,2018
56,78352,2018
72,24482,2018
28,57380,2018
29,69188,2018
30,68940,2018
31,75990,2018
32,71864,2018
33,93930,2018
34,101404,2018
35,58760,2018
36,83311,2018
37,67816,2018
38,86205,2018
39,72028,2018
40,64082,2018
41,77655,2018
42,77491,2018
44,84212,2018
45,65742,2018
46,72183,2018
47,65656,2018
48,71868,2018
50,80452,2018
49,81599,2018
51,88929,2018
53,87652,2018
54,57718,2018
1,63837,2018
2,89847,2018
4,69981,2018
5,58080,2018
6,86165,2018
8,88955,2018
10,79386,2018
11,117713,2018
9,98100,2018
12,66995,2018
13,71457,2018
16,65987,2018
15,95448,2018
17,81313,2018
18,70150,2018
19,76068,2018
20,74042,2018
21,62228,2018
22,61847,2018
23,72390,2018
24,101437,2018
25,101548,2018
26,72036,2018
27,89039,2018
28,58503,2019
29,73457,2019
30,73014,2019
31,80062,2019
32,76124,2019
33,97112,2019
34,105705,2019
35,61826,2019
36,89475,2019
37,72049,2019
38,87055,2019
39,74911,2019
40,68358,2019
41,82540,2019
42,81075,2019
44,89373,2019
45,70537,2019
46,76826,2019
47,69993,2019
48,76727,2019
50,83458,2019
49,86152,2019
51,93497,2019
53,94709,2019
54,60920,2019
55,81829,2019
56,79946,2019
72,25388,2019
13,74833,2019
16,72365,2019
15,96462,2019
17,87771,2019
18,73876,2019
19,78152,2019
20,79006,2019
21,66183,2019
22,65105,2019
23,76316,2019
24,105679,2019
25,108348,2019
26,75703,2019
27,93584,2019
9,101272,2019
12,71348,2019
1,66171,2019
2,91971,2019
4,74468,2019
5,62387,2019
6,91377,2019
8,95164,2019
10,87148,2019
11,130291,2019
1,71006,2021
72,27669,2021
4,81622,2021
5,66148,2021
6,97388,2021
8,102073,2021
9,106576,2021
10,87132,2021
11,136184,2021
12,76199,2021
13,80731,2021
15,100890,2021
16,79993,2021
17,90861,2021
18,79243,2021
19,84908,2021
20,82637,2021
21,70060,2021
22,67045,2021
23,82842,2021
24,110978,2021
25,113822,2021
26,80523,2021
27,99567,2021
28,64035,2021
29,79084,2021
30,79958,2021
31,88484,2021
32,78526,2021
33,108208,2021
34,110102,2021
35,67786,2021
36,92454,2021
37,77601,2021
38,89504,2021
39,80760,2021
40,69967,2021
41,88085,2021
42,87500,2021
44,97304,2021
45,73901,2021
46,82562,2021
47,74709,2021
48,80304,2021
49,92192,2021
50,90556,2021
51,100763,2021
53,102178,2021
54,66669,2021
55,85810,2021
56,83789,2021
2,95344,2021
1,77668,2022
2,105329,2022
4,88679,2022
5,70708,2022
6,104823,2022
8,109592,2022
9,115183,2022
10,100128,2022
11,146477,2022
12,83410,2022
13,86642,2022
15,108285,2022
16,85193,2022
17,96948,2022
18,84508,2022
19,90851,2022
20,89712,2022
21,76119,2022
22,72866,2022
23,88063,2022
24,117294,2022
25,120263,2022
26,85865,2022
27,105324,2022
28,66973,2022
29,83420,2022
30,83580,2022
31,92676,2022
32,85593,2022
33,112950,2022
34,117988,2022
35,74341,2022
36,99066,2022
37,83448,2022
38,97853,2022
39,86001,2022
40,75476,2022
41,93384,2022
42,93029,2022
44,105989,2022
45,79886,2022
46,89573,2022
47,80910,2022
48,86267,2022
49,102177,2022
50,96345,2022
51,107101,2022
53,109192,2022
54,70318,2022
55,91700,2022
56,86552,2022
72,29544,2022
1,79940,2023
2,105752,2023
4,93553,2023
5,74179,2023
6,109349,2023
8,115335,2023
9,115351,2023
10,100727,2023
11,157210,2023
12,88238,2023
13,91058,2023
15,113856,2023
16,91098,2023
17,101886,2023
18,87851,2023
19,92352,2023
20,90492,2023
21,77935,2023
22,75974,2023
23,91546,2023
24,121875,2023
25,126104,2023
26,88499,2023
27,108215,2023
28,72259,2023
29,88850,2023
30,88591,2023
31,96439,2023
32,90232,2023
33,116546,2023
34,121944,2023
35,75197,2023
36,102038,2023
37,87911,2023
38,103823,2023
39,89221,2023
40,80417,2023
41,97946,2023
42,94367,2023
44,110143,2023
45,83747,2023
46,94560,2023
47,85440,2023
48,91467,2023
49,107507,2023
50,104756,2023
51,109947,2023
53,113053,2023
54,73421,2023
55,96999,2023
56,91428,2023
72,32091,2023
