id,name,value,year,abbr
28,Mississippi,43529,2017,MS
29,Missouri,53578,2017,MO
30,Montana,53386,2017,MT
31,Nebraska,59970,2017,NE
32,Nevada,58003,2017,NV
33,New Hampshire,73381,2017,NH
34,New Jersey,80088,2017,NJ
35,New Mexico,46744,2017,NM
36,New York,64894,2017,NY
37,North Carolina,52752,2017,NC
38,North Dakota,61843,2017,ND
39,Ohio,54021,2017,OH
40,Oklahoma,50051,2017,OK
41,Oregon,60212,2017,OR
42,Pennsylvania,59195,2017,PA
44,Rhode Island,63870,2017,RI
45,South Carolina,50570,2017,SC
46,South Dakota,56521,2017,SD
47,Tennessee,51340,2017,TN
48,Texas,59206,2017,TX
50,Vermont,57513,2017,VT
49,Utah,68358,2017,UT
51,Virginia,71535,2017,VA
53,Washington,70979,2017,WA
54,West Virginia,43469,2017,WV
55,Wisconsin,59305,2017,WI
56,Wyoming,60434,2017,WY
72,Puerto Rico,19343,2017,PR
1,Alabama,48123,2017,AL
2,Alaska,73181,2017,AK
4,Arizona,56581,2017,AZ
5,Arkansas,45869,2017,AR
6,California,71805,2017,CA
8,Colorado,69117,2017,CO
10,Delaware,62852,2017,DE
11,District of Columbia,82372,2017,
9,Connecticut,74168,2017,CT
12,Florida,52594,2017,FL
13,Georgia,56183,2017,GA
16,Idaho,52225,2017,ID
15,Hawaii,77765,2017,HI
17,Illinois,62992,2017,IL
18,Indiana,54181,2017,IN
19,Iowa,58570,2017,IA
20,Kansas,56422,2017,KS
21,Kentucky,48375,2017,KY
22,Louisiana,46145,2017,LA
23,Maine,56277,2017,ME
24,Maryland,80776,2017,MD
25,Massachusetts,77385,2017,MA
26,Michigan,54909,2017,MI
27,Minnesota,68388,2017,MN
55,Wisconsin,60773,2018,WI
56,Wyoming,61584,2018,WY
72,Puerto Rico,20296,2018,PR
28,Mississippi,44717,2018,MS
29,Missouri,54478,2018,MO
30,Montana,55328,2018,MT
31,Nebraska,59566,2018,NE
32,Nevada,58646,2018,NV
33,New Hampshire,74991,2018,NH
34,New Jersey,81740,2018,NJ
35,New Mexico,47169,2018,NM
36,New York,67844,2018,NY
37,North Carolina,53855,2018,NC
38,North Dakota,63837,2018,ND
39,Ohio,56111,2018,OH
40,Oklahoma,51924,2018,OK
41,Oregon,63426,2018,OR
42,Pennsylvania,60905,2018,PA
44,Rhode Island,64340,2018,RI
45,South Carolina,52306,2018,SC
46,South Dakota,56274,2018,SD
47,Tennessee,52375,2018,TN
48,Texas,60629,2018,TX
50,Vermont,60782,2018,VT
49,Utah,71414,2018,UT
51,Virginia,72577,2018,VA
53,Washington,74073,2018,WA
54,West Virginia,44097,2018,WV
1,Alabama,49861,2018,AL
2,Alaska,74346,2018,AK
4,Arizona,59246,2018,AZ
5,Arkansas,47062,2018,AR
6,California,75277,2018,CA
8,Colorado,71953,2018,CO
10,Delaware,64805,2018,DE
11,District of Columbia,85203,2018,
9,Connecticut,76348,2018,CT
12,Florida,55462,2018,FL
13,Georgia,58756,2018,GA
16,Idaho,55583,2018,ID
15,Hawaii,80212,2018,HI
17,Illinois,65030,2018,IL
18,Indiana,55746,2018,IN
19,Iowa,59955,2018,IA
20,Kansas,58218,2018,KS
21,Kentucky,50247,2018,KY
22,Louisiana,47905,2018,LA
23,Maine,55602,2018,ME
24,Maryland,83242,2018,MD
25,Massachusetts,79835,2018,MA
26,Michigan,56697,2018,MI
27,Minnesota,70315,2018,MN
28,Mississippi,45792,2019,MS
29,Missouri,57409,2019,MO
30,Montana,57153,2019,MT
31,Nebraska,63229,2019,NE
32,Nevada,63276,2019,NV
33,New Hampshire,77933,2019,NH
34,New Jersey,85751,2019,NJ
35,New Mexico,51945,2019,NM
36,New York,72108,2019,NY
37,North Carolina,57341,2019,NC
38,North Dakota,64577,2019,ND
39,Ohio,58642,2019,OH
40,Oklahoma,54449,2019,OK
41,Oregon,67058,2019,OR
42,Pennsylvania,63463,2019,PA
44,Rhode Island,71169,2019,RI
45,South Carolina,56227,2019,SC
46,South Dakota,59533,2019,SD
47,Tennessee,56071,2019,TN
48,Texas,64034,2019,TX
50,Vermont,63001,2019,VT
49,Utah,75780,2019,UT
51,Virginia,76456,2019,VA
53,Washington,78687,2019,WA
54,West Virginia,48850,2019,WV
55,Wisconsin,64168,2019,WI
56,Wyoming,65003,2019,WY
72,Puerto Rico,20474,2019,PR
13,Georgia,61980,2019,GA
16,Idaho,60999,2019,ID
15,Hawaii,83102,2019,HI
17,Illinois,69187,2019,IL
18,Indiana,57603,2019,IN
19,Iowa,61691,2019,IA
20,Kansas,62087,2019,KS
21,Kentucky,52295,2019,KY
22,Louisiana,51073,2019,LA
23,Maine,58924,2019,ME
24,Maryland,86738,2019,MD
25,Massachusetts,85843,2019,MA
26,Michigan,59584,2019,MI
27,Minnesota,74593,2019,MN
9,Connecticut,78833,2019,CT
12,Florida,59227,2019,FL
1,Alabama,51734,2019,AL
2,Alaska,75463,2019,AK
4,Arizona,62055,2019,AZ
5,Arkansas,48952,2019,AR
6,California,80440,2019,CA
8,Colorado,77127,2019,CO
10,Delaware,70176,2019,DE
11,District of Columbia,92266,2019,
1,Alabama,53913,2021,AL
72,Puerto Rico,22237,2021,PR
4,Arizona,69056,2021,AZ
5,Arkansas,52528,2021,AR
6,California,84907,2021,CA
8,Colorado,82254,2021,CO
9,Connecticut,83771,2021,CT
10,Delaware,71091,2021,DE
11,District of Columbia,90088,2021,
12,Florida,63062,2021,FL
13,Georgia,66559,2021,GA
15,Hawaii,84857,2021,HI
16,Idaho,66474,2021,ID
17,Illinois,72205,2021,IL
18,Indiana,62743,2021,IN
19,Iowa,65600,2021,IA
20,Kansas,64124,2021,KS
21,Kentucky,55573,2021,KY
22,Louisiana,52087,2021,LA
23,Maine,64767,2021,ME
24,Maryland,90203,2021,MD
25,Massachusetts,89645,2021,MA
26,Michigan,63498,2021,MI
27,Minnesota,77720,2021,MN
28,Mississippi,48716,2021,MS
29,Missouri,61847,2021,MO
30,Montana,63249,2021,MT
31,Nebraska,66817,2021,NE
32,Nevada,66274,2021,NV
33,New Hampshire,88465,2021,NH
34,New Jersey,89296,2021,NJ
35,New Mexico,53992,2021,NM
36,New York,74314,2021,NY
37,North Carolina,61972,2021,NC
38,North Dakota,66519,2021,ND
39,Ohio,62262,2021,OH
40,Oklahoma,55826,2021,OK
41,Oregon,71562,2021,OR
42,Pennsylvania,68957,2021,PA
44,Rhode Island,74008,2021,RI
45,South Carolina,59318,2021,SC
46,South Dakota,66143,2021,SD
47,Tennessee,59695,2021,TN
48,Texas,66963,2021,TX
49,Utah,79449,2021,UT
50,Vermont,72431,2021,VT
51,Virginia,80963,2021,VA
53,Washington,84247,2021,WA
54,West Virginia,51248,2021,WV
55,Wisconsin,67125,2021,WI
56,Wyoming,65204,2021,WY
2,Alaska,77845,2021,AK
1,Alabama,59674,2022,AL
2,Alaska,88121,2022,AK
4,Arizona,74568,2022,AZ
5,Arkansas,55432,2022,AR
6,California,91551,2022,CA
