id,name,value,year,abbr
28,Mississippi,55937,2017,MS
29,Missouri,67317,2017,MO
30,Montana,68994,2017,MT
31,Nebraska,75112,2017,NE
32,Nevada,68276,2017,NV
33,New Hampshire,91029,2017,NH
34,New Jersey,97300,2017,NJ
35,New Mexico,58308,2017,NM
36,New York,80114,2017,NY
37,North Carolina,65964,2017,NC
38,North Dakota,81869,2017,ND
39,Ohio,69632,2017,OH
40,Oklahoma,61471,2017,OK
41,Oregon,73202,2017,OR
42,Pennsylvania,75949,2017,PA
44,Rhode Island,84557,2017,RI
45,South Carolina,62432,2017,SC
46,South Dakota,73236,2017,SD
47,Tennessee,62926,2017,TN
48,Texas,70136,2017,TX
50,Vermont,74426,2017,VT
49,Utah,77940,2017,UT
51,Virginia,86279,2017,VA
53,Washington,84594,2017,WA
54,West Virginia,56086,2017,WV
55,Wisconsin,75413,2017,WI
56,Wyoming,74868,2017,WY
72,Puerto Rico,23190,2017,PR
1,Alabama,61512,2017,AL
2,Alaska,86831,2017,AK
4,Arizona,67886,2017,AZ
5,Arkansas,57421,2017,AR
6,California,82009,2017,CA
8,Colorado,84918,2017,CO
10,Delaware,77082,2017,DE
11,District of Columbia,106528,2017,
9,Connecticut,93870,2017,CT
12,Florida,64003,2017,FL
13,Georgia,67983,2017,GA
16,Idaho,64178,2017,ID
15,Hawaii,91460,2017,HI
17,Illinois,79168,2017,IL
18,Indiana,68085,2017,IN
19,Iowa,75076,2017,IA
20,Kansas,72057,2017,KS
21,Kentucky,61593,2017,KY
22,Louisiana,60510,2017,LA
23,Maine,72177,2017,ME
24,Maryland,98393,2017,MD
25,Massachusetts,98758,2017,MA
26,Michigan,69664,2017,MI
27,Minnesota,86416,2017,MN
55,Wisconsin,76814,2018,WI
56,Wyoming,78352,2018,WY
72,Puerto Rico,24482,2018,PR
28,Mississippi,57380,2018,MS
29,Missouri,69188,2018,MO
30,Montana,68940,2018,MT
31,Nebraska,75990,2018,NE
32,Nevada,71864,2018,NV
33,New Hampshire,93930,2018,NH
34,New Jersey,101404,2018,NJ
35,New Mexico,58760,2018,NM
36,New York,83311,2018,NY
37,North Carolina,67816,2018,NC
38,North Dakota,86205,2018,ND
39,Ohio,72028,2018,OH
40,Oklahoma,64082,2018,OK
41,Oregon,77655,2018,OR
42,Pennsylvania,77491,2018,PA
44,Rhode Island,84212,2018,RI
45,South Carolina,65742,2018,SC
46,South Dakota,72183,2018,SD
47,Tennessee,65656,2018,TN
48,Texas,71868,2018,TX
50,Vermont,80452,2018,VT
49,Utah,81599,2018,UT
51,Virginia,88929,2018,VA
53,Washington,87652,2018,WA
54,West Virginia,57718,2018,WV
1,Alabama,63837,2018,AL
2,Alaska,89847,2018,AK
4,Arizona,69981,2018,AZ
5,Arkansas,58080,2018,AR
6,California,86165,2018,CA
8,Colorado,88955,2018,CO
10,Delaware,79386,2018,DE
11,District of Columbia,117713,2018,
9,Connecticut,98100,2018,CT
12,Florida,66995,2018,FL
13,Georgia,71457,2018,GA
16,Idaho,65987,2018,ID
15,Hawaii,95448,2018,HI
17,Illinois,81313,2018,IL
18,Indiana,70150,2018,IN
19,Iowa,76068,2018,IA
20,Kansas,74042,2018,KS
21,Kentucky,62228,2018,KY
22,Louisiana,61847,2018,LA
23,Maine,72390,2018,ME
24,Maryland,101437,2018,MD
25,Massachusetts,101548,2018,MA
26,Michigan,72036,2018,MI
27,Minnesota,89039,2018,MN
28,Mississippi,58503,2019,MS
29,Missouri,73457,2019,MO
30,Montana,73014,2019,MT
31,Nebraska,80062,2019,NE
32,Nevada,76124,2019,NV
33,New Hampshire,97112,2019,NH
34,New Jersey,105705,2019,NJ
35,New Mexico,61826,2019,NM
36,New York,89475,2019,NY
37,North Carolina,72049,2019,NC
38,North Dakota,87055,2019,ND
39,Ohio,74911,2019,OH
40,Oklahoma,68358,2019,OK
41,Oregon,82540,2019,OR
42,Pennsylvania,81075,2019,PA
44,Rhode Island,89373,2019,RI
45,South Carolina,70537,2019,SC
46,South Dakota,76826,2019,SD
47,Tennessee,69993,2019,TN
48,Texas,76727,2019,TX
50,Vermont,83458,2019,VT
49,Utah,86152,2019,UT
51,Virginia,93497,2019,VA
53,Washington,94709,2019,WA
54,West Virginia,60920,2019,WV
55,Wisconsin,81829,2019,WI
56,Wyoming,79946,2019,WY
72,Puerto Rico,25388,2019,PR
13,Georgia,74833,2019,GA
16,Idaho,72365,2019,ID
15,Hawaii,96462,2019,HI
17,Illinois,87771,2019,IL
18,Indiana,73876,2019,IN
19,Iowa,78152,2019,IA
20,Kansas,79006,2019,KS
21,Kentucky,66183,2019,KY
22,Louisiana,65105,2019,LA
23,Maine,76316,2019,ME
24,Maryland,105679,2019,MD
25,Massachusetts,108348,2019,MA
26,Michigan,75703,2019,MI
27,Minnesota,93584,2019,MN
9,Connecticut,101272,2019,CT
12,Florida,71348,2019,FL
1,Alabama,66171,2019,AL
2,Alaska,91971,2019,AK
4,Arizona,74468,2019,AZ
5,Arkansas,62387,2019,AR
6,California,91377,2019,CA
8,Colorado,95164,2019,CO
10,Delaware,87148,2019,DE
11,District of Columbia,130291,2019,
1,Alabama,71006,2021,AL
72,Puerto Rico,27669,2021,PR
4,Arizona,81622,2021,AZ
5,Arkansas,66148,2021,AR
6,California,97388,2021,CA
8,Colorado,102073,2021,CO
9,Connecticut,106576,2021,CT
10,Delaware,87132,2021,DE
11,District of Columbia,136184,2021,
12,Florida,76199,2021,FL
13,Georgia,80731,2021,GA
15,Hawaii,100890,2021,HI
16,Idaho,79993,2021,ID
17,Illinois,90861,2021,IL
18,Indiana,79243,2021,IN
19,Iowa,84908,2021,IA
20,Kansas,82637,2021,KS
21,Kentucky,70060,2021,KY
22,Louisiana,67045,2021,LA
23,Maine,82842,2021,ME
24,Maryland,110978,2021,MD
25,Massachusetts,113822,2021,MA
26,Michigan,80523,2021,MI
27,Minnesota,99567,2021,MN
28,Mississippi,64035,2021,MS
29,Missouri,79084,2021,MO
30,Montana,79958,2021,MT
31,Nebraska,88484,2021,NE
32,Nevada,78526,2021,NV
33,New Hampshire,108208,2021,NH
34,New Jersey,110102,2021,NJ
35,New Mexico,67786,2021,NM
36,New York,92454,2021,NY
37,North Carolina,77601,2021,NC
38,North Dakota,89504,2021,ND
39,Ohio,80760,2021,OH
40,Oklahoma,69967,2021,OK
41,Oregon,88085,2021,OR
42,Pennsylvania,87500,2021,PA
44,Rhode Island,97304,2021,RI
45,South Carolina,73901,2021,SC
46,South Dakota,82562,2021,SD
47,Tennessee,74709,2021,TN
48,Texas,80304,2021,TX
49,Utah,92192,2021,UT
50,Vermont,90556,2021,VT
51,Virginia,100763,2021,VA
53,Washington,102178,2021,WA
54,West Virginia,66669,2021,WV
55,Wisconsin,85810,2021,WI
56,Wyoming,83789,2021,WY
2,Alaska,95344,2021,AK
1,Alabama,77668,2022,AL
2,Alaska,105329,2022,AK
4,Arizona,88679,2022,AZ
5,Arkansas,70708,2022,AR
6,California,104823,2022,CA
8,Colorado,109592,2022,CO
9,Connecticut,115183,2022,CT
10,Delaware,100128,2022,DE
11,District of Columbia,146477,2022,
12,Florida,83410,2022,FL
13,Georgia,86642,2022,GA
15,Hawaii,108285,2022,HI
16,Idaho,85193,2022,ID
17,Illinois,96948,2022,IL
18,Indiana,84508,2022,IN
19,Iowa,90851,2022,IA
20,Kansas,89712,2022,KS
21,Kentucky,76119,2022,KY
22,Louisiana,72866,2022,LA
23,Maine,88063,2022,ME
24,Maryland,117294,2022,MD
25,Massachusetts,120263,2022,MA
26,Michigan,85865,2022,MI
27,Minnesota,105324,2022,MN
28,Mississippi,66973,2022,MS
29,Missouri,83420,2022,MO
30,Montana,83580,2022,MT
31,Nebraska,92676,2022,NE
32,Nevada,85593,2022,NV
33,New Hampshire,112950,2022,NH
34,New Jersey,117988,2022,NJ
35,New Mexico,74341,2022,NM
36,New York,99066,2022,NY
37,North Carolina,83448,2022,NC
38,North Dakota,97853,2022,ND
39,Ohio,86001,2022,OH
40,Oklahoma,75476,2022,OK
41,Oregon,93384,2022,OR
42,Pennsylvania,93029,2022,PA
44,Rhode Island,105989,2022,RI
45,South Carolina,79886,2022,SC
46,South Dakota,89573,2022,SD
47,Tennessee,80910,2022,TN
48,Texas,86267,2022,TX
49,Utah,102177,2022,UT
50,Vermont,96345,2022,VT
51,Virginia,107101,2022,VA
53,Washington,109192,2022,WA
54,West Virginia,70318,2022,WV
55,Wisconsin,91700,2022,WI
56,Wyoming,86552,2022,WY
72,Puerto Rico,29544,2022,PR
1,Alabama,79940,2023,AL
2,Alaska,105752,2023,AK
4,Arizona,93553,2023,AZ
5,Arkansas,74179,2023,AR
6,California,109349,2023,CA
8,Colorado,115335,2023,CO
9,Connecticut,115351,2023,CT
10,Delaware,100727,2023,DE
11,District of Columbia,157210,2023,
12,Florida,88238,2023,FL
13,Georgia,91058,2023,GA
15,Hawaii,113856,2023,HI
16,Idaho,91098,2023,ID
17,Illinois,101886,2023,IL
18,Indiana,87851,2023,IN
19,Iowa,92352,2023,IA
20,Kansas,90492,2023,KS
21,Kentucky,77935,2023,KY
22,Louisiana,75974,2023,LA
23,Maine,91546,2023,ME
24,Maryland,121875,2023,MD
25,Massachusetts,126104,2023,MA
26,Michigan,88499,2023,MI
27,Minnesota,108215,2023,MN
28,Mississippi,72259,2023,MS
29,Missouri,88850,2023,MO
30,Montana,88591,2023,MT
31,Nebraska,96439,2023,NE
32,Nevada,90232,2023,NV
33,New Hampshire,116546,2023,NH
34,New Jersey,121944,2023,NJ
35,New Mexico,75197,2023,NM
36,New York,102038,2023,NY
37,North Carolina,87911,2023,NC
38,North Dakota,103823,2023,ND
39,Ohio,89221,2023,OH
40,Oklahoma,80417,2023,OK
41,Oregon,97946,2023,OR
42,Pennsylvania,94367,2023,PA
44,Rhode Island,110143,2023,RI
45,South Carolina,83747,2023,SC
46,South Dakota,94560,2023,SD
47,Tennessee,85440,2023,TN
48,Texas,91467,2023,TX
49,Utah,107507,2023,UT
50,Vermont,104756,2023,VT
51,Virginia,109947,2023,VA
53,Washington,113053,2023,WA
54,West Virginia,73421,2023,WV
55,Wisconsin,96999,2023,WI
56,Wyoming,91428,2023,WY
72,Puerto Rico,32091,2023,PR
