id,date,value,country,iso3,name
AL,2008-01-01,3000.0,Albania,ALB,Albania
AL,2009-01-01,3000.0,Albania,ALB,Albania
AL,2010-01-01,3100.0,Albania,ALB,Albania
AL,2011-01-01,3200.0,Albania,ALB,Albania
AL,2012-01-01,3300.0,Albania,ALB,Albania
AL,2013-01-01,3300.0,Albania,ALB,Albania
AL,2014-01-01,3500.0,Albania,ALB,Albania
AL,2015-01-01,3600.0,Albania,ALB,Albania
AL,2016-01-01,3700.0,Albania,ALB,Albania
AL,2017-01-01,4000.0,Albania,ALB,Albania
AL,2018-01-01,4500.0,Albania,ALB,Albania
AL,2019-01-01,4800.0,Albania,ALB,Albania
AL,2020-01-01,4700.0,Albania,ALB,Albania
AL,2021-01-01,5400.0,Albania,ALB,Albania
AL0,2008-01-01,3000.0,Albania,ALB,Shqipëria
AL0,2009-01-01,3000.0,Albania,ALB,Shqipëria
AL0,2010-01-01,3100.0,Albania,ALB,Shqipëria
AL0,2011-01-01,3200.0,Albania,ALB,Shqipëria
AL0,2012-01-01,3300.0,Albania,ALB,Shqipëria
AL0,2013-01-01,3300.0,Albania,ALB,Shqipëria
AL0,2014-01-01,3500.0,Albania,ALB,Shqipëria
AL0,2015-01-01,3600.0,Albania,ALB,Shqipëria
AL0,2016-01-01,3700.0,Albania,ALB,Shqipëria
AL0,2017-01-01,4000.0,Albania,ALB,Shqipëria
AL0,2018-01-01,4500.0,Albania,ALB,Shqipëria
AL0,2019-01-01,4800.0,Albania,ALB,Shqipëria
AL0,2020-01-01,4700.0,Albania,ALB,Shqipëria
AL0,2021-01-01,5400.0,Albania,ALB,Shqipëria
AL01,2008-01-01,2300.0,Albania,ALB,Veri
AL01,2009-01-01,2400.0,Albania,ALB,Veri
AL01,2010-01-01,2600.0,Albania,ALB,Veri
AL01,2011-01-01,2600.0,Albania,ALB,Veri
AL01,2012-01-01,2700.0,Albania,ALB,Veri
AL01,2013-01-01,2700.0,Albania,ALB,Veri
AL01,2014-01-01,2700.0,Albania,ALB,Veri
AL01,2015-01-01,2900.0,Albania,ALB,Veri
AL01,2016-01-01,3100.0,Albania,ALB,Veri
AL01,2017-01-01,3300.0,Albania,ALB,Veri
AL01,2018-01-01,3600.0,Albania,ALB,Veri
AL01,2019-01-01,3900.0,Albania,ALB,Veri
AL01,2020-01-01,3700.0,Albania,ALB,Veri
AL01,2021-01-01,4300.0,Albania,ALB,Veri
AL011,2008-01-01,1700.0,Albania,ALB,Dibër
AL011,2009-01-01,1700.0,Albania,ALB,Dibër
AL011,2010-01-01,1900.0,Albania,ALB,Dibër
AL011,2011-01-01,1900.0,Albania,ALB,Dibër
AL011,2012-01-01,2200.0,Albania,ALB,Dibër
AL011,2013-01-01,2200.0,Albania,ALB,Dibër
AL011,2014-01-01,2400.0,Albania,ALB,Dibër
AL011,2015-01-01,2600.0,Albania,ALB,Dibër
AL011,2016-01-01,2800.0,Albania,ALB,Dibër
AL011,2017-01-01,3000.0,Albania,ALB,Dibër
AL011,2018-01-01,3400.0,Albania,ALB,Dibër
AL011,2019-01-01,3500.0,Albania,ALB,Dibër
AL011,2020-01-01,3400.0,Albania,ALB,Dibër
AL011,2021-01-01,3900.0,Albania,ALB,Dibër
AL012,2008-01-01,3200.0,Albania,ALB,Durrës
AL012,2009-01-01,3100.0,Albania,ALB,Durrës
AL012,2010-01-01,3400.0,Albania,ALB,Durrës
AL012,2011-01-01,3300.0,Albania,ALB,Durrës
AL012,2012-01-01,3300.0,Albania,ALB,Durrës
AL012,2013-01-01,3400.0,Albania,ALB,Durrës
AL012,2014-01-01,3300.0,Albania,ALB,Durrës
AL012,2015-01-01,3600.0,Albania,ALB,Durrës
AL012,2016-01-01,3700.0,Albania,ALB,Durrës
AL012,2017-01-01,4100.0,Albania,ALB,Durrës
AL012,2018-01-01,4400.0,Albania,ALB,Durrës
AL012,2019-01-01,4800.0,Albania,ALB,Durrës
AL012,2020-01-01,4500.0,Albania,ALB,Durrës
AL012,2021-01-01,5200.0,Albania,ALB,Durrës
AL013,2008-01-01,2000.0,Albania,ALB,Kukës
AL013,2009-01-01,2100.0,Albania,ALB,Kukës
AL013,2010-01-01,2200.0,Albania,ALB,Kukës
AL013,2011-01-01,2400.0,Albania,ALB,Kukës
AL013,2012-01-01,2400.0,Albania,ALB,Kukës
AL013,2013-01-01,2600.0,Albania,ALB,Kukës
AL013,2014-01-01,2300.0,Albania,ALB,Kukës
AL013,2015-01-01,2300.0,Albania,ALB,Kukës
AL013,2016-01-01,2300.0,Albania,ALB,Kukës
AL013,2017-01-01,2500.0,Albania,ALB,Kukës
AL013,2018-01-01,2800.0,Albania,ALB,Kukës
AL013,2019-01-01,2900.0,Albania,ALB,Kukës
AL013,2020-01-01,2900.0,Albania,ALB,Kukës
AL013,2021-01-01,3200.0,Albania,ALB,Kukës
AL014,2008-01-01,2100.0,Albania,ALB,Lezhë
AL014,2009-01-01,2100.0,Albania,ALB,Lezhë
AL014,2010-01-01,2100.0,Albania,ALB,Lezhë
AL014,2011-01-01,2100.0,Albania,ALB,Lezhë
AL014,2012-01-01,2300.0,Albania,ALB,Lezhë
AL014,2013-01-01,2200.0,Albania,ALB,Lezhë
AL014,2014-01-01,2500.0,Albania,ALB,Lezhë
