id,country,name,iso3,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
AT11,Austria,Burgenland,AUT,4.6,4.3,4.8,5.2,5.7,5.2,4.2,3.6,4.2,5.1,4.3,5.2
AT12,Austria,Niederösterreich,AUT,4.6,5.0,5.1,5.2,5.2,4.8,3.8,4.0,4.2,5.1,3.9,4.3
AT13,Austria,Wien,AUT,8.9,9.2,10.2,10.6,11.3,10.4,10.0,9.3,10.6,12.1,9.2,9.6
AT21,Austria,Kärnten,AUT,5.0,5.5,6.0,6.1,5.4,4.8,4.1,3.8,4.7,5.6,4.5,4.5
AT22,Austria,Steiermark,AUT,4.0,4.7,4.9,4.7,5.1,4.5,4.0,3.2,4.4,4.3,3.7,4.3
AT31,Austria,Oberösterreich,AUT,3.3,4.3,4.0,4.1,4.4,4.0,3.2,2.9,3.9,3.7,2.9,3.5
AT32,Austria,Salzburg,AUT,2.9,3.2,3.5,3.5,3.4,3.1,2.8,2.4,3.0,4.6,3.0,3.0
AT33,Austria,Tirol,AUT,2.8,3.1,3.2,3.0,3.5,3.3,2.4,2.1,3.0,4.8,3.2,3.1
AT34,Austria,Vorarlberg,AUT,4.0,3.6,3.4,3.5,3.4,3.7,3.3,3.2,3.6,4.1,3.2,3.3
BE10,Belgium,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BEL,17.4,19.2,18.3,17.3,16.8,14.8,13.2,12.6,12.3,12.3,11.4,10.6
BE21,Belgium,Prov. Antwerpen,BEL,5.3,6.2,6.1,6.1,6.1,5.9,4.3,3.6,4.0,5.2,4.0,3.6
BE22,Belgium,Prov. Limburg (BE),BEL,4.7,5.5,5.6,6.0,4.8,4.1,3.8,3.6,3.6,3.4,3.5,3.2
BE23,Belgium,Prov. Oost-Vlaanderen,BEL,4.1,4.0,4.3,4.4,4.2,3.4,2.7,2.9,2.7,2.8,2.0,2.9
BE24,Belgium,Prov. Vlaams-Brabant,BEL,4.4,5.5,5.0,5.1,4.8,4.7,3.6,3.6,3.8,4.0,3.6,4.2
BE25,Belgium,Prov. West-Vlaanderen,BEL,3.9,3.9,4.2,4.2,3.7,3.2,2.6,2.5,3.3,3.6,2.7,2.8
BE31,Belgium,Prov. Brabant wallon,BEL,7.0,8.2,8.8,7.8,7.9,7.5,6.9,5.5,6.2,6.8,5.5,5.7
BE32,Belgium,Prov. Hainaut,BEL,12.1,13.2,14.4,13.3,11.8,11.4,9.9,8.6,8.3,10.3,10.5,9.3
BE33,Belgium,Prov. Liège,BEL,10.7,11.7,12.3,12.8,11.1,10.5,8.2,6.7,7.8,9.4,8.3,9.1
BE34,Belgium,Prov. Luxembourg (BE),BEL,7.6,7.9,8.5,9.3,7.8,6.7,5.4,5.4,5.1,5.6,4.8,6.5
BE35,Belgium,Prov. Namur,BEL,7.3,10.4,8.9,10.9,9.7,7.4,8.5,7.0,6.1,7.6,7.2,6.6
BG31,Bulgaria,Severozapaden,BGR,12.3,14.0,14.2,12.1,10.6,11.3,11.2,10.8,13.0,11.1,6.8,7.8
BG32,Bulgaria,Severen tsentralen,BGR,14.3,15.3,13.2,10.6,9.3,6.9,6.7,5.1,5.7,6.7,5.8,6.0
BG33,Bulgaria,Severoiztochen,BGR,18.2,16.8,12.6,10.3,9.7,9.4,7.4,5.9,6.1,6.1,5.3,4.5
BG34,Bulgaria,Yugoiztochen,BGR,11.9,13.0,11.9,10.4,7.9,7.0,5.4,4.0,4.6,5.5,4.4,4.6
BG41,Bulgaria,Yugozapaden,BGR,8.2,9.8,8.9,6.7,5.4,3.3,2.6,2.3,3.6,3.5,3.1,3.5
BG42,Bulgaria,Yuzhen tsentralen,BGR,13.8,13.5,12.0,9.2,7.1,5.2,4.2,3.0,3.4,4.0,2.9,3.1
CH01,Switzerland,Région lémanique,CHE,7.1,7.4,7.5,7.5,7.6,7.8,7.5,7.5,7.6,7.7,6.9,6.7
CH02,Switzerland,Espace Mittelland,CHE,3.9,4.1,4.5,4.4,4.6,4.2,4.3,3.8,4.3,4.5,3.9,3.5
CH03,Switzerland,Nordwestschweiz,CHE,4.5,4.4,4.6,4.3,4.9,4.4,4.2,3.5,4.7,4.8,4.3,3.8
CH04,Switzerland,Zürich,CHE,3.8,4.4,4.1,4.1,3.9,4.4,4.3,4.0,4.3,4.7,3.9,3.4
CH05,Switzerland,Ostschweiz,CHE,3.5,3.9,3.5,3.9,4.0,3.7,3.6,3.4,3.8,4.1,3.1,3.0
CH06,Switzerland,Zentralschweiz,CHE,2.8,2.8,3.7,3.4,3.4,2.9,2.9,2.7,2.9,3.3,2.4,2.8
CH07,Switzerland,Ticino,CHE,7.4,7.7,7.1,6.9,6.9,6.0,6.6,6.8,6.5,7.8,6.5,6.3
