geo_id,value,date
W06000001,2.79,2011-04-01
W06000002,2.93,2011-04-01
W06000003,3.1,2011-04-01
W06000004,2.84,2011-04-01
W06000005,2.81,2011-04-01
W06000006,3.12,2011-04-01
W06000008,2.88,2011-04-01
W06000009,3.08,2011-04-01
W06000010,3.24,2011-04-01
W06000011,3.34,2011-04-01
W06000012,3.32,2011-04-01
W06000013,3.03,2011-04-01
W06000014,3.13,2011-04-01
W06000015,3.2,2011-04-01
W06000016,3.22,2011-04-01
W06000018,3.16,2011-04-01
W06000019,3.51,2011-04-01
W06000020,3.17,2011-04-01
W06000021,2.83,2011-04-01
W06000022,2.93,2011-04-01
W06000023,2.94,2011-04-01
W06000024,3.49,2011-04-01
W92000004,3.11,2011-04-01
W06000001,2.94,2012-04-01
W06000002,2.8,2012-04-01
W06000003,2.92,2012-04-01
W06000004,3.08,2012-04-01
W06000005,2.79,2012-04-01
W06000006,3.03,2012-04-01
W06000008,2.87,2012-04-01
W06000009,2.7,2012-04-01
W06000010,2.86,2012-04-01
W06000011,2.92,2012-04-01
W06000012,3.01,2012-04-01
W06000013,3.13,2012-04-01
W06000014,3.11,2012-04-01
W06000015,3.24,2012-04-01
W06000016,3.1,2012-04-01
W06000018,3.4,2012-04-01
W06000019,3.02,2012-04-01
W06000020,3.0,2012-04-01
W06000021,2.9,2012-04-01
W06000022,3.0,2012-04-01
W06000023,3.01,2012-04-01
W06000024,3.38,2012-04-01
W92000004,3.02,2012-04-01
W06000001,2.79,2013-04-01
W06000002,3.14,2013-04-01
W06000003,2.8,2013-04-01
W06000004,2.97,2013-04-01
W06000005,2.9,2013-04-01
W06000006,2.83,2013-04-01
W06000008,2.9,2013-04-01
W06000009,2.53,2013-04-01
W06000010,2.83,2013-04-01
W06000011,2.84,2013-04-01
W06000012,3.06,2013-04-01
W06000013,2.86,2013-04-01
W06000014,2.88,2013-04-01
W06000015,3.0,2013-04-01
W06000016,3.14,2013-04-01
W06000018,3.29,2013-04-01
W06000019,3.39,2013-04-01
W06000020,2.85,2013-04-01
W06000021,3.15,2013-04-01
W06000022,3.22,2013-04-01
W06000023,2.78,2013-04-01
W06000024,3.12,2013-04-01
W92000004,2.97,2013-04-01
W06000001,2.79,2014-04-01
W06000002,2.99,2014-04-01
W06000003,2.83,2014-04-01
W06000004,2.77,2014-04-01
W06000005,2.62,2014-04-01
W06000006,2.85,2014-04-01
W06000008,2.78,2014-04-01
W06000009,2.66,2014-04-01
W06000010,2.65,2014-04-01
W06000011,3.27,2014-04-01
W06000012,3.13,2014-04-01
W06000013,3.03,2014-04-01
W06000014,3.06,2014-04-01
W06000015,2.65,2014-04-01
W06000016,3.07,2014-04-01
W06000018,3.2,2014-04-01
W06000019,3.18,2014-04-01
W06000020,2.96,2014-04-01
W06000021,2.97,2014-04-01
W06000022,3.06,2014-04-01
W06000023,2.84,2014-04-01
W06000024,3.29,2014-04-01
W92000004,2.93,2014-04-01
W06000001,2.57,2015-04-01
W06000002,2.92,2015-04-01
W06000003,2.77,2015-04-01
W06000004,2.68,2015-04-01
W06000005,2.55,2015-04-01
W06000006,2.87,2015-04-01
W06000008,2.94,2015-04-01
W06000009,2.86,2015-04-01
W06000010,2.85,2015-04-01
W06000011,2.93,2015-04-01
W06000012,3.03,2015-04-01
W06000013,2.88,2015-04-01
W06000014,2.61,2015-04-01
W06000015,3.0,2015-04-01
W06000016,3.14,2015-04-01
W06000018,3.15,2015-04-01
W06000019,3.09,2015-04-01
W06000020,3.16,2015-04-01
W06000021,2.94,2015-04-01
W06000022,3.16,2015-04-01
W06000023,2.54,2015-04-01
W06000024,3.6,2015-04-01
W92000004,2.92,2015-04-01
W06000001,2.76,2016-04-01
W06000002,2.45,2016-04-01
W06000003,2.89,2016-04-01
W06000004,2.61,2016-04-01
W06000005,2.69,2016-04-01
W06000006,2.92,2016-04-01
W06000008,2.92,2016-04-01
W06000009,2.8,2016-04-01
W06000010,2.92,2016-04-01
W06000011,3.18,2016-04-01
W06000012,2.95,2016-04-01
W06000013,2.91,2016-04-01
W06000014,2.8,2016-04-01
W06000015,3.13,2016-04-01
W06000016,3.04,2016-04-01
W06000018,3.14,2016-04-01
W06000019,3.16,2016-04-01
W06000020,3.0,2016-04-01
W06000021,3.05,2016-04-01
W06000022,3.11,2016-04-01
W06000023,2.88,2016-04-01
W06000024,3.17,2016-04-01
W92000004,2.96,2016-04-01
W06000001,2.75,2017-04-01
W06000002,2.73,2017-04-01
W06000003,2.77,2017-04-01
W06000004,2.75,2017-04-01
W06000005,2.67,2017-04-01
W06000006,2.63,2017-04-01
W06000008,2.95,2017-04-01
W06000009,2.66,2017-04-01
W06000010,2.78,2017-04-01
W06000011,3.19,2017-04-01
W06000012,3.08,2017-04-01
W06000013,2.91,2017-04-01
W06000014,2.94,2017-04-01
W06000015,3.13,2017-04-01
W06000016,3.12,2017-04-01
W06000018,3.26,2017-04-01
W06000019,3.14,2017-04-01
W06000020,2.72,2017-04-01
W06000021,2.94,2017-04-01
W06000022,2.87,2017-04-01
W06000023,2.91,2017-04-01
W06000024,3.11,2017-04-01
W92000004,2.94,2017-04-01
W06000001,2.74,2018-04-01
W06000002,2.74,2018-04-01
W06000003,2.59,2018-04-01
W06000004,2.62,2018-04-01
W06000005,2.7,2018-04-01
W06000006,2.53,2018-04-01
W06000008,3.01,2018-04-01
W06000009,2.69,2018-04-01
W06000010,2.93,2018-04-01
W06000011,3.16,2018-04-01
W06000012,2.92,2018-04-01
W06000013,2.79,2018-04-01
W06000014,3.08,2018-04-01
W06000015,3.28,2018-04-01
W06000016,3.25,2018-04-01
W06000018,3.0,2018-04-01
W06000019,2.89,2018-04-01
W06000020,2.89,2018-04-01
W06000021,2.83,2018-04-01
W06000022,2.88,2018-04-01
W06000023,2.68,2018-04-01
W06000024,3.12,2018-04-01
W92000004,2.93,2018-04-01
W06000001,2.95,2019-04-01
W06000002,2.85,2019-04-01
W06000003,2.86,2019-04-01
W06000004,2.81,2019-04-01
W06000005,3.03,2019-04-01
W06000006,2.96,2019-04-01
W06000008,3.21,2019-04-01
W06000009,2.52,2019-04-01
W06000010,3.21,2019-04-01
W06000011,3.27,2019-04-01
W06000012,3.23,2019-04-01
W06000013,3.04,2019-04-01
W06000014,3.05,2019-04-01
W06000015,3.26,2019-04-01
W06000016,3.1,2019-04-01
W06000018,3.22,2019-04-01
W06000019,3.39,2019-04-01
W06000020,2.91,2019-04-01
W06000021,3.22,2019-04-01
W06000022,3.0,2019-04-01
W06000023,3.09,2019-04-01
W06000024,3.02,2019-04-01
W92000004,3.08,2019-04-01
W06000001,3.46,2020-04-01
W06000002,3.44,2020-04-01
W06000003,3.02,2020-04-01
W06000004,3.04,2020-04-01
W06000005,3.68,2020-04-01
W06000006,3.81,2020-04-01
W06000008,3.52,2020-04-01
W06000009,3.1,2020-04-01
W06000010,3.13,2020-04-01
W06000011,3.79,2020-04-01
W06000012,3.25,2020-04-01
W06000013,3.24,2020-04-01
W06000014,2.98,2020-04-01
W06000015,3.3,2020-04-01
W06000016,3.75,2020-04-01
W06000018,3.77,2020-04-01
W06000019,3.69,2020-04-01
W06000020,3.47,2020-04-01
W06000021,3.18,2020-04-01
W06000022,3.4,2020-04-01
W06000023,3.27,2020-04-01
W06000024,3.11,2020-04-01
W92000004,3.41,2020-04-01
W06000001,2.92,2021-04-01
W06000002,3.14,2021-04-01
W06000003,3.11,2021-04-01
W06000004,3.19,2021-04-01
W06000005,2.95,2021-04-01
W06000006,3.42,2021-04-01
W06000008,3.6,2021-04-01
W06000009,2.69,2021-04-01
W06000010,3.12,2021-04-01
W06000011,3.27,2021-04-01
W06000012,3.12,2021-04-01
