geo_id,value,date
S12000005,18976.0,1998-01-01
S12000006,23604.0,1998-01-01
S12000008,18804.0,1998-01-01
S12000010,17459.0,1998-01-01
S12000011,13856.0,1998-01-01
S12000013,15290.0,1998-01-01
S12000014,27590.0,1998-01-01
S12000017,25130.0,1998-01-01
S12000018,11085.0,1998-01-01
S12000019,18378.0,1998-01-01
S12000020,22448.0,1998-01-01
S12000021,18649.0,1998-01-01
S12000023,27665.0,1998-01-01
S12000026,20411.0,1998-01-01
S12000027,31180.0,1998-01-01
S12000028,23148.0,1998-01-01
S12000029,22907.0,1998-01-01
S12000030,30019.0,1998-01-01
S12000033,37637.0,1998-01-01
S12000034,24707.0,1998-01-01
S12000035,22155.0,1998-01-01
S12000036,41334.0,1998-01-01
S12000038,22610.0,1998-01-01
S12000039,18520.0,1998-01-01
S12000040,21324.0,1998-01-01
S12000041,17853.0,1998-01-01
S12000042,23804.0,1998-01-01
S12000045,14220.0,1998-01-01
S12000047,17843.0,1998-01-01
S12000048,31492.0,1998-01-01
S12000049,31970.0,1998-01-01
S12000050,22099.0,1998-01-01
S92000003,25282.0,1998-01-01
S12000005,19591.0,1999-01-01
S12000006,24669.0,1999-01-01
S12000008,19314.0,1999-01-01
S12000010,17784.0,1999-01-01
S12000011,14042.0,1999-01-01
S12000013,16280.0,1999-01-01
S12000014,27084.0,1999-01-01
S12000017,26056.0,1999-01-01
S12000018,11202.0,1999-01-01
S12000019,18625.0,1999-01-01
S12000020,22932.0,1999-01-01
S12000021,19413.0,1999-01-01
S12000023,28964.0,1999-01-01
S12000026,20809.0,1999-01-01
S12000027,31831.0,1999-01-01
S12000028,23570.0,1999-01-01
S12000029,23378.0,1999-01-01
S12000030,30586.0,1999-01-01
S12000033,37616.0,1999-01-01
S12000034,24502.0,1999-01-01
S12000035,22916.0,1999-01-01
S12000036,41430.0,1999-01-01
S12000038,22869.0,1999-01-01
S12000039,18658.0,1999-01-01
S12000040,22067.0,1999-01-01
S12000041,18322.0,1999-01-01
S12000042,24001.0,1999-01-01
S12000045,14504.0,1999-01-01
S12000047,18377.0,1999-01-01
S12000048,31156.0,1999-01-01
S12000049,32964.0,1999-01-01
S12000050,22210.0,1999-01-01
S92000003,25675.0,1999-01-01
S12000005,19959.0,2000-01-01
S12000006,25793.0,2000-01-01
S12000008,19939.0,2000-01-01
S12000010,17945.0,2000-01-01
S12000011,14326.0,2000-01-01
S12000013,16832.0,2000-01-01
S12000014,28022.0,2000-01-01
S12000017,26530.0,2000-01-01
S12000018,12431.0,2000-01-01
S12000019,19382.0,2000-01-01
S12000020,23348.0,2000-01-01
S12000021,19615.0,2000-01-01
S12000023,29785.0,2000-01-01
S12000026,21491.0,2000-01-01
S12000027,30875.0,2000-01-01
S12000028,25182.0,2000-01-01
S12000029,23631.0,2000-01-01
S12000030,32059.0,2000-01-01
S12000033,38070.0,2000-01-01
S12000034,24998.0,2000-01-01
S12000035,23062.0,2000-01-01
S12000036,44387.0,2000-01-01
S12000038,24264.0,2000-01-01
S12000039,19299.0,2000-01-01
S12000040,22722.0,2000-01-01
S12000041,18964.0,2000-01-01
S12000042,25804.0,2000-01-01
S12000045,14553.0,2000-01-01
S12000047,19188.0,2000-01-01
S12000048,30234.0,2000-01-01
S12000049,34488.0,2000-01-01
S12000050,22840.0,2000-01-01
S92000003,26601.0,2000-01-01
S12000005,19840.0,2001-01-01
S12000006,26880.0,2001-01-01
S12000008,20727.0,2001-01-01
S12000010,18480.0,2001-01-01
S12000011,14391.0,2001-01-01
S12000013,18287.0,2001-01-01
S12000014,28100.0,2001-01-01
S12000017,27149.0,2001-01-01
S12000018,13765.0,2001-01-01
S12000019,19612.0,2001-01-01
S12000020,23387.0,2001-01-01
S12000021,20000.0,2001-01-01
S12000023,30744.0,2001-01-01
S12000026,22300.0,2001-01-01
S12000027,32470.0,2001-01-01
S12000028,25595.0,2001-01-01
S12000029,24811.0,2001-01-01
S12000030,32833.0,2001-01-01
S12000033,40584.0,2001-01-01
S12000034,26339.0,2001-01-01
S12000035,24010.0,2001-01-01
S12000036,46489.0,2001-01-01
S12000038,25029.0,2001-01-01
S12000039,20562.0,2001-01-01
S12000040,23371.0,2001-01-01
S12000041,19290.0,2001-01-01
S12000042,26815.0,2001-01-01
S12000045,14948.0,2001-01-01
S12000047,20049.0,2001-01-01
S12000048,31408.0,2001-01-01
S12000049,35620.0,2001-01-01
S12000050,24127.0,2001-01-01
S92000003,27648.0,2001-01-01
S12000005,20210.0,2002-01-01
S12000006,26856.0,2002-01-01
S12000008,20615.0,2002-01-01
S12000010,18999.0,2002-01-01
S12000011,14532.0,2002-01-01
S12000013,18179.0,2002-01-01
S12000014,28782.0,2002-01-01
S12000017,26844.0,2002-01-01
S12000018,14734.0,2002-01-01
S12000019,19719.0,2002-01-01
S12000020,23456.0,2002-01-01
S12000021,19479.0,2002-01-01
S12000023,29907.0,2002-01-01
S12000026,22886.0,2002-01-01
S12000027,32283.0,2002-01-01
S12000028,26064.0,2002-01-01
S12000029,25154.0,2002-01-01
S12000030,32974.0,2002-01-01
S12000033,41587.0,2002-01-01
S12000034,26749.0,2002-01-01
S12000035,23932.0,2002-01-01
S12000036,48833.0,2002-01-01
S12000038,25463.0,2002-01-01
S12000039,20804.0,2002-01-01
S12000040,24312.0,2002-01-01
S12000041,19483.0,2002-01-01
S12000042,27368.0,2002-01-01
S12000045,15141.0,2002-01-01
S12000047,20677.0,2002-01-01
S12000048,32453.0,2002-01-01
S12000049,35416.0,2002-01-01
S12000050,24403.0,2002-01-01
S92000003,28095.0,2002-01-01
S12000005,21126.0,2003-01-01
S12000006,27772.0,2003-01-01
S12000008,20745.0,2003-01-01
S12000010,19672.0,2003-01-01
S12000011,14907.0,2003-01-01
S12000013,19450.0,2003-01-01
S12000014,29619.0,2003-01-01
S12000017,28341.0,2003-01-01
S12000018,15516.0,2003-01-01
S12000019,20225.0,2003-01-01
S12000020,24411.0,2003-01-01
S12000021,20164.0,2003-01-01
S12000023,31122.0,2003-01-01
S12000026,23113.0,2003-01-01
S12000027,33035.0,2003-01-01
S12000028,26359.0,2003-01-01
S12000029,26133.0,2003-01-01
S12000030,33987.0,2003-01-01
S12000033,41817.0,2003-01-01
S12000034,26184.0,2003-01-01
S12000035,25059.0,2003-01-01
S12000036,51114.0,2003-01-01
S12000038,26029.0,2003-01-01
S12000039,21407.0,2003-01-01
S12000040,25232.0,2003-01-01
S12000041,20011.0,2003-01-01
S12000042,28453.0,2003-01-01
S12000045,15820.0,2003-01-01
S12000047,21391.0,2003-01-01
S12000048,33366.0,2003-01-01
S12000049,36630.0,2003-01-01
S12000050,25123.0,2003-01-01
S92000003,28944.0,2003-01-01
S12000005,21834.0,2004-01-01
S12000006,28012.0,2004-01-01
S12000008,21043.0,2004-01-01
S12000010,19981.0,2004-01-01
S12000011,15234.0,2004-01-01
S12000013,20480.0,2004-01-01
S12000014,30299.0,2004-01-01
S12000017,29206.0,2004-01-01
S12000018,16786.0,2004-01-01
S12000019,20946.0,2004-01-01
S12000020,25185.0,2004-01-01
S12000021,20271.0,2004-01-01
S12000023,32890.0,2004-01-01
S12000026,22962.0,2004-01-01
S12000027,34915.0,2004-01-01
S12000028,27288.0,2004-01-01
S12000029,26444.0,2004-01-01
S12000030,33672.0,2004-01-01
S12000033,43788.0,2004-01-01
S12000034,26764.0,2004-01-01
S12000035,26325.0,2004-01-01
S12000036,52652.0,2004-01-01
S12000038,27115.0,2004-01-01
S12000039,22718.0,2004-01-01
S12000040,26255.0,2004-01-01
S12000041,20037.0,2004-01-01
S12000042,29445.0,2004-01-01
S12000045,16195.0,2004-01-01
S12000047,21912.0,2004-01-01
S12000048,33351.0,2004-01-01
S12000049,38502.0,2004-01-01
S12000050,25716.0,2004-01-01
S92000003,29793.0,2004-01-01
S12000005,22388.0,2005-01-01
S12000006,29193.0,2005-01-01
S12000008,22206.0,2005-01-01
S12000010,20089.0,2005-01-01
S12000011,14885.0,2005-01-01
S12000013,21046.0,2005-01-01
S12000014,31000.0,2005-01-01
S12000017,29550.0,2005-01-01
S12000018,17384.0,2005-01-01
S12000019,20938.0,2005-01-01
S12000020,25745.0,2005-01-01
S12000021,20884.0,2005-01-01
S12000023,34583.0,2005-01-01
S12000026,24352.0,2005-01-01
S12000027,35617.0,2005-01-01
S12000028,28241.0,2005-01-01
S12000029,26996.0,2005-01-01
S12000030,35075.0,2005-01-01
S12000033,44901.0,2005-01-01
S12000034,27724.0,2005-01-01
S12000035,27755.0,2005-01-01
S12000036,54296.0,2005-01-01
S12000038,27889.0,2005-01-01
S12000039,23729.0,2005-01-01
S12000040,26568.0,2005-01-01
S12000041,20765.0,2005-01-01
S12000042,29383.0,2005-01-01
S12000045,16624.0,2005-01-01
S12000047,22295.0,2005-01-01
S12000048,32861.0,2005-01-01
S12000049,40399.0,2005-01-01
S12000050,26173.0,2005-01-01
S92000003,30694.0,2005-01-01
S12000005,23453.0,2006-01-01
S12000006,29678.0,2006-01-01
S12000008,22431.0,2006-01-01
S12000010,21053.0,2006-01-01
S12000011,15040.0,2006-01-01
S12000013,21047.0,2006-01-01
S12000014,33028.0,2006-01-01
S12000017,29509.0,2006-01-01
S12000018,17887.0,2006-01-01
S12000019,20781.0,2006-01-01
S12000020,26449.0,2006-01-01
S12000021,21618.0,2006-01-01
S12000023,33530.0,2006-01-01
