geo_id,value,date
W06000001,17813.0,1998-01-01
W06000002,22913.0,1998-01-01
W06000003,17211.0,1998-01-01
W06000004,20499.0,1998-01-01
W06000005,23530.0,1998-01-01
W06000006,22991.0,1998-01-01
W06000008,20763.0,1998-01-01
W06000009,22499.0,1998-01-01
W06000010,19548.0,1998-01-01
W06000011,21691.0,1998-01-01
W06000012,20278.0,1998-01-01
W06000013,21594.0,1998-01-01
W06000014,17523.0,1998-01-01
W06000015,29923.0,1998-01-01
W06000016,17906.0,1998-01-01
W06000018,15680.0,1998-01-01
W06000019,14317.0,1998-01-01
W06000020,18917.0,1998-01-01
W06000021,21134.0,1998-01-01
W06000022,24944.0,1998-01-01
W06000023,18870.0,1998-01-01
W06000024,10340.0,1998-01-01
W92000004,21033.0,1998-01-01
W06000001,18024.0,1999-01-01
W06000002,23016.0,1999-01-01
W06000003,17189.0,1999-01-01
W06000004,20350.0,1999-01-01
W06000005,23913.0,1999-01-01
W06000006,23124.0,1999-01-01
W06000008,20258.0,1999-01-01
W06000009,21481.0,1999-01-01
W06000010,19501.0,1999-01-01
W06000011,21730.0,1999-01-01
W06000012,20769.0,1999-01-01
W06000013,21708.0,1999-01-01
W06000014,18292.0,1999-01-01
W06000015,31733.0,1999-01-01
W06000016,18018.0,1999-01-01
W06000018,15692.0,1999-01-01
W06000019,14227.0,1999-01-01
W06000020,18897.0,1999-01-01
W06000021,22138.0,1999-01-01
W06000022,25970.0,1999-01-01
W06000023,19283.0,1999-01-01
W06000024,10753.0,1999-01-01
W92000004,21424.0,1999-01-01
W06000001,18312.0,2000-01-01
W06000002,23265.0,2000-01-01
W06000003,17590.0,2000-01-01
W06000004,20889.0,2000-01-01
W06000005,24804.0,2000-01-01
W06000006,24544.0,2000-01-01
W06000008,20565.0,2000-01-01
W06000009,22158.0,2000-01-01
W06000010,20044.0,2000-01-01
W06000011,22357.0,2000-01-01
W06000012,21196.0,2000-01-01
W06000013,22712.0,2000-01-01
W06000014,18609.0,2000-01-01
W06000015,32861.0,2000-01-01
W06000016,18355.0,2000-01-01
W06000018,16307.0,2000-01-01
W06000019,14845.0,2000-01-01
W06000020,19866.0,2000-01-01
W06000021,23850.0,2000-01-01
W06000022,27525.0,2000-01-01
W06000023,20310.0,2000-01-01
W06000024,11920.0,2000-01-01
W92000004,22222.0,2000-01-01
W06000001,18927.0,2001-01-01
W06000002,23998.0,2001-01-01
W06000003,17868.0,2001-01-01
W06000004,21738.0,2001-01-01
W06000005,25365.0,2001-01-01
W06000006,25674.0,2001-01-01
W06000008,21227.0,2001-01-01
W06000009,22818.0,2001-01-01
W06000010,20588.0,2001-01-01
W06000011,23353.0,2001-01-01
W06000012,20349.0,2001-01-01
W06000013,23362.0,2001-01-01
W06000014,19882.0,2001-01-01
W06000015,33693.0,2001-01-01
W06000016,18629.0,2001-01-01
W06000018,16681.0,2001-01-01
W06000019,15273.0,2001-01-01
W06000020,20159.0,2001-01-01
W06000021,24363.0,2001-01-01
W06000022,27966.0,2001-01-01
W06000023,20914.0,2001-01-01
W06000024,12288.0,2001-01-01
W92000004,22818.0,2001-01-01
W06000001,19119.0,2002-01-01
W06000002,24893.0,2002-01-01
W06000003,18269.0,2002-01-01
W06000004,22758.0,2002-01-01
W06000005,25205.0,2002-01-01
W06000006,25842.0,2002-01-01
W06000008,21918.0,2002-01-01
W06000009,23222.0,2002-01-01
W06000010,20865.0,2002-01-01
W06000011,23527.0,2002-01-01
W06000012,19700.0,2002-01-01
W06000013,23932.0,2002-01-01
W06000014,20263.0,2002-01-01
W06000015,34280.0,2002-01-01
W06000016,19342.0,2002-01-01
W06000018,16844.0,2002-01-01
W06000019,15589.0,2002-01-01
W06000020,20638.0,2002-01-01
W06000021,24854.0,2002-01-01
W06000022,27889.0,2002-01-01
W06000023,21192.0,2002-01-01
W06000024,12718.0,2002-01-01
W92000004,23166.0,2002-01-01
W06000001,20262.0,2003-01-01
W06000002,26005.0,2003-01-01
W06000003,18715.0,2003-01-01
W06000004,23229.0,2003-01-01
W06000005,26228.0,2003-01-01
W06000006,26939.0,2003-01-01
W06000008,22517.0,2003-01-01
W06000009,23614.0,2003-01-01
W06000010,21261.0,2003-01-01
W06000011,24045.0,2003-01-01
W06000012,19488.0,2003-01-01
W06000013,24897.0,2003-01-01
W06000014,21174.0,2003-01-01
W06000015,35440.0,2003-01-01
W06000016,19705.0,2003-01-01
W06000018,17223.0,2003-01-01
W06000019,15801.0,2003-01-01
W06000020,21790.0,2003-01-01
W06000021,25365.0,2003-01-01
W06000022,29401.0,2003-01-01
W06000023,22083.0,2003-01-01
W06000024,13534.0,2003-01-01
W92000004,23879.0,2003-01-01
W06000001,21981.0,2004-01-01
W06000002,26127.0,2004-01-01
W06000003,18881.0,2004-01-01
W06000004,23812.0,2004-01-01
W06000005,27004.0,2004-01-01
W06000006,27962.0,2004-01-01
W06000008,22860.0,2004-01-01
W06000009,26641.0,2004-01-01
W06000010,21498.0,2004-01-01
W06000011,24901.0,2004-01-01
W06000012,19431.0,2004-01-01
W06000013,25511.0,2004-01-01
W06000014,20383.0,2004-01-01
W06000015,35646.0,2004-01-01
W06000016,19890.0,2004-01-01
W06000018,17603.0,2004-01-01
W06000019,16199.0,2004-01-01
W06000020,22505.0,2004-01-01
W06000021,25810.0,2004-01-01
W06000022,30379.0,2004-01-01
W06000023,22140.0,2004-01-01
W06000024,14775.0,2004-01-01
W92000004,24430.0,2004-01-01
W06000001,21841.0,2005-01-01
W06000002,26628.0,2005-01-01
W06000003,19054.0,2005-01-01
W06000004,24159.0,2005-01-01
W06000005,27325.0,2005-01-01
W06000006,28474.0,2005-01-01
W06000008,23045.0,2005-01-01
W06000009,24918.0,2005-01-01
W06000010,21955.0,2005-01-01
W06000011,25367.0,2005-01-01
W06000012,19480.0,2005-01-01
W06000013,25948.0,2005-01-01
W06000014,20325.0,2005-01-01
W06000015,36010.0,2005-01-01
W06000016,20236.0,2005-01-01
W06000018,17811.0,2005-01-01
W06000019,16503.0,2005-01-01
W06000020,22782.0,2005-01-01
W06000021,26200.0,2005-01-01
W06000022,30529.0,2005-01-01
W06000023,22199.0,2005-01-01
W06000024,15668.0,2005-01-01
W92000004,24667.0,2005-01-01
W06000001,21660.0,2006-01-01
W06000002,27307.0,2006-01-01
W06000003,19172.0,2006-01-01
W06000004,24670.0,2006-01-01
W06000005,29233.0,2006-01-01
W06000006,29683.0,2006-01-01
W06000008,23577.0,2006-01-01
W06000009,24653.0,2006-01-01
W06000010,22382.0,2006-01-01
W06000011,25494.0,2006-01-01
W06000012,20869.0,2006-01-01
W06000013,27091.0,2006-01-01
W06000014,20773.0,2006-01-01
W06000015,36218.0,2006-01-01
W06000016,21133.0,2006-01-01
W06000018,18379.0,2006-01-01
W06000019,16796.0,2006-01-01
W06000020,23736.0,2006-01-01
W06000021,26955.0,2006-01-01
W06000022,31477.0,2006-01-01
W06000023,22296.0,2006-01-01
W06000024,16071.0,2006-01-01
W92000004,25323.0,2006-01-01
W06000001,20675.0,2007-01-01
W06000002,26658.0,2007-01-01
W06000003,18618.0,2007-01-01
W06000004,24130.0,2007-01-01
W06000005,28762.0,2007-01-01
W06000006,29783.0,2007-01-01
W06000008,23097.0,2007-01-01
W06000009,23881.0,2007-01-01
W06000010,21956.0,2007-01-01
W06000011,25951.0,2007-01-01
W06000012,20690.0,2007-01-01
W06000013,26954.0,2007-01-01
W06000014,20147.0,2007-01-01
W06000015,38638.0,2007-01-01
W06000016,21010.0,2007-01-01
W06000018,18139.0,2007-01-01
W06000019,16586.0,2007-01-01
W06000020,22980.0,2007-01-01
W06000021,26672.0,2007-01-01
W06000022,31808.0,2007-01-01
W06000023,22006.0,2007-01-01
W06000024,16197.0,2007-01-01
W92000004,25358.0,2007-01-01
W06000001,19988.0,2008-01-01
W06000002,25656.0,2008-01-01
W06000003,17984.0,2008-01-01
W06000004,23807.0,2008-01-01
W06000005,29011.0,2008-01-01
W06000006,28262.0,2008-01-01
W06000008,22634.0,2008-01-01
W06000009,22280.0,2008-01-01
W06000010,21394.0,2008-01-01
W06000011,25921.0,2008-01-01
W06000012,20185.0,2008-01-01
W06000013,27015.0,2008-01-01
W06000014,18938.0,2008-01-01
W06000015,36829.0,2008-01-01
W06000016,21135.0,2008-01-01
W06000018,17717.0,2008-01-01
W06000019,16139.0,2008-01-01
W06000020,22273.0,2008-01-01
W06000021,26168.0,2008-01-01
W06000022,29489.0,2008-01-01
W06000023,20632.0,2008-01-01
W06000024,16109.0,2008-01-01
W92000004,24569.0,2008-01-01
W06000001,18393.0,2009-01-01
W06000002,24123.0,2009-01-01
W06000003,17163.0,2009-01-01
W06000004,22611.0,2009-01-01
W06000005,27726.0,2009-01-01
W06000006,27373.0,2009-01-01
W06000008,22089.0,2009-01-01
W06000009,20716.0,2009-01-01
W06000010,19895.0,2009-01-01
W06000011,24761.0,2009-01-01
W06000012,19283.0,2009-01-01
W06000013,25073.0,2009-01-01
W06000014,18606.0,2009-01-01
W06000015,35114.0,2009-01-01
W06000016,21373.0,2009-01-01
W06000018,17246.0,2009-01-01
W06000019,15307.0,2009-01-01
W06000020,20999.0,2009-01-01
W06000021,24908.0,2009-01-01
W06000022,28397.0,2009-01-01
W06000023,20107.0,2009-01-01
W06000024,16023.0,2009-01-01
W92000004,23656.0,2009-01-01
W06000001,18375.0,2010-01-01
W06000002,23856.0,2010-01-01
W06000003,17807.0,2010-01-01
W06000004,22968.0,2010-01-01
W06000005,28649.0,2010-01-01
W06000006,27546.0,2010-01-01
W06000008,22369.0,2010-01-01
W06000009,20769.0,2010-01-01
W06000010,20070.0,2010-01-01
W06000011,24466.0,2010-01-01
W06000012,20142.0,2010-01-01
W06000013,25286.0,2010-01-01
W06000014,18701.0,2010-01-01
W06000015,35213.0,2010-01-01
W06000016,22291.0,2010-01-01
W06000018,17298.0,2010-01-01
W06000019,15353.0,2010-01-01
W06000020,21410.0,2010-01-01
W06000021,24868.0,2010-01-01
W06000022,28917.0,2010-01-01
W06000023,20405.0,2010-01-01
W06000024,16302.0,2010-01-01
W92000004,23878.0,2010-01-01
W06000001,19071.0,2011-01-01
W06000002,24469.0,2011-01-01
W06000003,18198.0,2011-01-01
W06000004,23683.0,2011-01-01
W06000005,30711.0,2011-01-01
W06000006,28085.0,2011-01-01
W06000008,23284.0,2011-01-01
W06000009,20425.0,2011-01-01
W06000010,20476.0,2011-01-01
W06000011,24562.0,2011-01-01
W06000012,19804.0,2011-01-01
W06000013,26043.0,2011-01-01
W06000014,18811.0,2011-01-01
W06000015,35732.0,2011-01-01
W06000016,22730.0,2011-01-01
W06000018,17905.0,2011-01-01
W06000019,15890.0,2011-01-01
W06000020,22128.0,2011-01-01
W06000021,25328.0,2011-01-01
W06000022,29467.0,2011-01-01
W06000023,20867.0,2011-01-01
W06000024,17262.0,2011-01-01
W92000004,24358.0,2011-01-01
W06000001,19192.0,2012-01-01
W06000002,24572.0,2012-01-01
W06000003,18235.0,2012-01-01
W06000004,23108.0,2012-01-01
W06000005,31511.0,2012-01-01
W06000006,28370.0,2012-01-01
W06000008,22294.0,2012-01-01
W06000009,20471.0,2012-01-01
W06000010,20979.0,2012-01-01
W06000011,24838.0,2012-01-01
W06000012,20452.0,2012-01-01
W06000013,25544.0,2012-01-01
W06000014,19739.0,2012-01-01
W06000015,36551.0,2012-01-01
W06000016,23003.0,2012-01-01
W06000018,18112.0,2012-01-01
W06000019,16450.0,2012-01-01
W06000020,21439.0,2012-01-01
W06000021,25845.0,2012-01-01
W06000022,29896.0,2012-01-01
W06000023,21300.0,2012-01-01
W06000024,17281.0,2012-01-01
W92000004,24645.0,2012-01-01
W06000001,19273.0,2013-01-01
W06000002,25629.0,2013-01-01
W06000003,19262.0,2013-01-01
W06000004,24098.0,2013-01-01
W06000005,31845.0,2013-01-01
W06000006,29158.0,2013-01-01
W06000008,22807.0,2013-01-01
W06000009,22277.0,2013-01-01
W06000010,21625.0,2013-01-01
W06000011,24879.0,2013-01-01
W06000012,21094.0,2013-01-01
W06000013,26181.0,2013-01-01
W06000014,20602.0,2013-01-01
W06000015,36259.0,2013-01-01
W06000016,23695.0,2013-01-01
W06000018,18723.0,2013-01-01
W06000019,16429.0,2013-01-01
W06000020,22339.0,2013-01-01
W06000021,25915.0,2013-01-01
W06000022,29058.0,2013-01-01
W06000023,21625.0,2013-01-01
W06000024,17443.0,2013-01-01
W92000004,25096.0,2013-01-01
W06000001,19191.0,2014-01-01
W06000002,25280.0,2014-01-01
W06000003,19578.0,2014-01-01
W06000004,24417.0,2014-01-01
W06000005,31644.0,2014-01-01
W06000006,28319.0,2014-01-01
W06000008,22345.0,2014-01-01
W06000009,22957.0,2014-01-01
W06000010,22085.0,2014-01-01
W06000011,26601.0,2014-01-01
W06000012,21509.0,2014-01-01
W06000013,27382.0,2014-01-01
W06000014,20376.0,2014-01-01
W06000015,36707.0,2014-01-01
W06000016,24215.0,2014-01-01
W06000018,19073.0,2014-01-01
W06000019,16248.0,2014-01-01
W06000020,22591.0,2014-01-01
W06000021,26663.0,2014-01-01
W06000022,28740.0,2014-01-01
W06000023,22058.0,2014-01-01
W06000024,17898.0,2014-01-01
W92000004,25447.0,2014-01-01
W06000001,19854.0,2015-01-01
W06000002,25779.0,2015-01-01
W06000003,20091.0,2015-01-01
W06000004,24362.0,2015-01-01
W06000005,32010.0,2015-01-01
W06000006,28715.0,2015-01-01
W06000008,23393.0,2015-01-01
W06000009,27266.0,2015-01-01
W06000010,22875.0,2015-01-01
W06000011,26333.0,2015-01-01
W06000012,22853.0,2015-01-01
W06000013,26864.0,2015-01-01
W06000014,21579.0,2015-01-01
W06000015,37654.0,2015-01-01
W06000016,23450.0,2015-01-01
W06000018,19863.0,2015-01-01
W06000019,16861.0,2015-01-01
W06000020,21880.0,2015-01-01
W06000021,27856.0,2015-01-01
W06000022,29594.0,2015-01-01
W06000023,22716.0,2015-01-01
W06000024,18838.0,2015-01-01
W92000004,26076.0,2015-01-01
W06000001,20742.0,2016-01-01
W06000002,25656.0,2016-01-01
W06000003,20573.0,2016-01-01
W06000004,25004.0,2016-01-01
W06000005,33313.0,2016-01-01
W06000006,28712.0,2016-01-01
W06000008,23798.0,2016-01-01
W06000009,28713.0,2016-01-01
W06000010,23633.0,2016-01-01
W06000011,27217.0,2016-01-01
W06000012,23214.0,2016-01-01
W06000013,26082.0,2016-01-01
W06000014,21623.0,2016-01-01
W06000015,39221.0,2016-01-01
W06000016,23859.0,2016-01-01
W06000018,20519.0,2016-01-01
W06000019,16582.0,2016-01-01
W06000020,21336.0,2016-01-01
W06000021,27120.0,2016-01-01
W06000022,31615.0,2016-01-01
W06000023,22953.0,2016-01-01
W06000024,19392.0,2016-01-01
W92000004,26648.0,2016-01-01
W06000001,21080.0,2017-01-01
W06000002,26727.0,2017-01-01
