geo_id,value,date
W06000001,22.25,2004
W06000002,20.52,2004
W06000003,18.84,2004
W06000004,18.96,2004
W06000005,21.49,2004
W06000006,24.31,2004
W06000008,19.23,2004
W06000009,23.13,2004
W06000010,19.33,2004
W06000011,21.19,2004
W06000012,21.38,2004
W06000013,23.88,2004
W06000014,22.46,2004
W06000015,23.09,2004
W06000016,19.14,2004
W06000018,22.28,2004
W06000019,19.71,2004
W06000020,20.4,2004
W06000021,21.94,2004
W06000022,21.69,2004
W06000023,16.73,2004
W06000024,22.97,2004
W06000001,22.32,2005
W06000002,20.42,2005
W06000003,18.72,2005
W06000004,18.91,2005
W06000005,21.46,2005
W06000006,24.17,2005
W06000008,19.13,2005
W06000009,23.38,2005
W06000010,19.35,2005
W06000011,21.2,2005
W06000012,21.38,2005
W06000013,23.81,2005
W06000014,22.34,2005
W06000015,23.02,2005
W06000016,19.05,2005
W06000018,22.33,2005
W06000019,19.63,2005
W06000020,20.17,2005
W06000021,21.83,2005
W06000022,21.58,2005
W06000023,16.63,2005
W06000024,22.85,2005
W06000001,21.39,2006
W06000002,21.57,2006
W06000003,19.15,2006
W06000004,20.0,2006
W06000005,22.23,2006
W06000006,25.47,2006
W06000008,19.51,2006
W06000009,22.12,2006
W06000010,20.15,2006
W06000011,22.16,2006
W06000012,22.54,2006
W06000013,24.65,2006
W06000014,23.69,2006
W06000015,24.63,2006
W06000016,20.58,2006
W06000018,22.19,2006
W06000019,20.4,2006
W06000020,21.33,2006
W06000021,23.55,2006
W06000022,22.51,2006
W06000023,17.16,2006
W06000024,23.32,2006
W06000001,21.33,2007
W06000002,22.16,2007
W06000003,19.15,2007
W06000004,20.54,2007
W06000005,23.0,2007
W06000006,26.28,2007
W06000008,19.76,2007
W06000009,21.76,2007
W06000010,20.53,2007
W06000011,23.46,2007
W06000012,23.26,2007
W06000013,25.0,2007
W06000014,24.44,2007
W06000015,25.87,2007
W06000016,21.99,2007
W06000018,22.25,2007
W06000019,20.88,2007
W06000020,22.0,2007
W06000021,24.59,2007
W06000022,23.19,2007
W06000023,17.44,2007
W06000024,23.47,2007
W06000001,21.7,2008
W06000002,22.33,2008
W06000003,19.05,2008
W06000004,21.08,2008
W06000005,24.08,2008
W06000006,27.04,2008
W06000008,19.86,2008
W06000009,21.48,2008
