geo_id,value,date
W06000001,17.7,1991-06-30
W06000002,19.11,1991-06-30
W06000003,23.97,1991-06-30
W06000004,21.65,1991-06-30
W06000005,14.47,1991-06-30
W06000006,16.12,1991-06-30
W06000008,19.11,1991-06-30
W06000009,17.25,1991-06-30
W06000010,19.77,1991-06-30
W06000011,17.35,1991-06-30
W06000012,18.21,1991-06-30
W06000013,16.51,1991-06-30
W06000014,15.99,1991-06-30
W06000015,15.43,1991-06-30
W06000016,16.14,1991-06-30
W06000018,14.41,1991-06-30
W06000019,17.29,1991-06-30
W06000020,15.57,1991-06-30
W06000021,16.94,1991-06-30
W06000022,15.58,1991-06-30
W06000023,18.99,1991-06-30
W06000024,16.25,1991-06-30
W92000004,17.16,1991-06-30
W06000001,17.86,1992-06-30
W06000002,19.2,1992-06-30
W06000003,24.04,1992-06-30
W06000004,21.67,1992-06-30
W06000005,14.53,1992-06-30
W06000006,16.26,1992-06-30
W06000008,18.99,1992-06-30
W06000009,17.48,1992-06-30
W06000010,19.94,1992-06-30
W06000011,17.51,1992-06-30
W06000012,18.28,1992-06-30
W06000013,16.51,1992-06-30
W06000014,16.22,1992-06-30
W06000015,15.49,1992-06-30
W06000016,16.19,1992-06-30
W06000018,14.62,1992-06-30
W06000019,17.22,1992-06-30
W06000020,15.76,1992-06-30
W06000021,17.15,1992-06-30
W06000022,15.74,1992-06-30
W06000023,19.12,1992-06-30
W06000024,16.17,1992-06-30
W92000004,17.27,1992-06-30
W06000001,17.97,1993-06-30
W06000002,19.23,1993-06-30
W06000003,24.05,1993-06-30
W06000004,21.57,1993-06-30
W06000005,14.64,1993-06-30
W06000006,16.35,1993-06-30
W06000008,18.86,1993-06-30
W06000009,17.83,1993-06-30
W06000010,20.0,1993-06-30
W06000011,17.63,1993-06-30
W06000012,18.34,1993-06-30
W06000013,16.47,1993-06-30
W06000014,16.37,1993-06-30
W06000015,15.48,1993-06-30
W06000016,16.19,1993-06-30
W06000018,14.67,1993-06-30
W06000019,17.18,1993-06-30
W06000020,15.89,1993-06-30
W06000021,17.19,1993-06-30
W06000022,15.8,1993-06-30
W06000023,19.2,1993-06-30
W06000024,16.08,1993-06-30
W92000004,17.32,1993-06-30
W06000001,18.09,1994-06-30
W06000002,19.09,1994-06-30
W06000003,23.66,1994-06-30
W06000004,21.39,1994-06-30
W06000005,14.67,1994-06-30
W06000006,16.28,1994-06-30
W06000008,18.81,1994-06-30
W06000009,17.86,1994-06-30
W06000010,19.95,1994-06-30
W06000011,17.9,1994-06-30
W06000012,17.98,1994-06-30
W06000013,16.47,1994-06-30
W06000014,16.49,1994-06-30
W06000015,15.48,1994-06-30
W06000016,16.11,1994-06-30
W06000018,14.84,1994-06-30
W06000019,17.02,1994-06-30
W06000020,16.0,1994-06-30
W06000021,17.24,1994-06-30
W06000022,15.85,1994-06-30
W06000023,19.29,1994-06-30
W06000024,15.99,1994-06-30
W92000004,17.31,1994-06-30
W06000001,18.27,1995-06-30
W06000002,18.98,1995-06-30
W06000003,23.68,1995-06-30
W06000004,21.37,1995-06-30
W06000005,14.74,1995-06-30
W06000006,16.33,1995-06-30
W06000008,18.75,1995-06-30
W06000009,18.17,1995-06-30
W06000010,19.9,1995-06-30
W06000011,17.9,1995-06-30
W06000012,18.43,1995-06-30
W06000013,16.55,1995-06-30
W06000014,16.61,1995-06-30
W06000015,15.44,1995-06-30
W06000016,16.09,1995-06-30
W06000018,14.97,1995-06-30
W06000019,17.07,1995-06-30
W06000020,16.11,1995-06-30
W06000021,17.37,1995-06-30
W06000022,15.94,1995-06-30
W06000023,19.38,1995-06-30
W06000024,16.1,1995-06-30
W92000004,17.38,1995-06-30
W06000001,18.28,1996-06-30
W06000002,19.0,1996-06-30
W06000003,23.76,1996-06-30
W06000004,21.1,1996-06-30
W06000005,14.84,1996-06-30
W06000006,16.29,1996-06-30
W06000008,18.94,1996-06-30
W06000009,18.34,1996-06-30
W06000010,19.81,1996-06-30
W06000011,17.98,1996-06-30
W06000012,18.49,1996-06-30
W06000013,16.54,1996-06-30
W06000014,16.73,1996-06-30
W06000015,15.23,1996-06-30
W06000016,16.07,1996-06-30
W06000018,15.13,1996-06-30
W06000019,17.04,1996-06-30
