geo_id,value,date
S12000005,20999.0,2008
S12000006,22432.0,2008
S12000008,24079.0,2008
S12000010,25915.0,2008
S12000011,29622.0,2008
S12000014,23580.0,2008
S12000017,21710.0,2008
S12000018,19715.0,2008
S12000019,21564.0,2008
S12000020,20120.0,2008
S12000021,23232.0,2008
S12000026,24080.0,2008
S12000027,22721.0,2008
S12000028,28963.0,2008
S12000029,24916.0,2008
S12000030,27600.0,2008
S12000033,25824.0,2008
S12000034,27532.0,2008
S12000035,22259.0,2008
S12000036,26639.0,2008
S12000038,24759.0,2008
S12000039,22327.0,2008
S12000040,20850.0,2008
S12000041,22501.0,2008
S12000042,23125.0,2008
S12000045,27288.0,2008
S12000047,23510.0,2008
S12000048,23496.0,2008
S12000049,23147.0,2008
S12000050,22937.0,2008
S12000005,24751.0,2009
S12000006,23536.0,2009
S12000008,24310.0,2009
S12000010,26233.0,2009
S12000011,30726.0,2009
S12000013,23455.0,2009
S12000014,24280.0,2009
S12000017,22900.0,2009
S12000018,22843.0,2009
S12000019,21676.0,2009
S12000020,21389.0,2009
S12000021,23165.0,2009
S12000026,23292.0,2009
S12000027,27005.0,2009
S12000028,28656.0,2009
S12000029,25781.0,2009
S12000030,27878.0,2009
S12000033,26991.0,2009
S12000034,28574.0,2009
S12000035,25054.0,2009
S12000036,27470.0,2009
S12000038,26214.0,2009
S12000039,23082.0,2009
S12000040,23005.0,2009
S12000041,23909.0,2009
S12000042,22579.0,2009
S12000045,30832.0,2009
S12000047,24734.0,2009
S12000048,24038.0,2009
S12000049,23428.0,2009
S12000050,23358.0,2009
S12000005,25106.0,2010
S12000006,23461.0,2010
S12000008,25338.0,2010
S12000010,25671.0,2010
S12000011,31040.0,2010
S12000013,23596.0,2010
S12000014,24092.0,2010
S12000017,23264.0,2010
S12000018,23933.0,2010
S12000019,24210.0,2010
S12000020,21879.0,2010
S12000021,24289.0,2010
S12000023,26913.0,2010
S12000026,24129.0,2010
S12000027,27750.0,2010
S12000028,28434.0,2010
S12000029,25654.0,2010
S12000030,26619.0,2010
S12000033,27092.0,2010
S12000034,28538.0,2010
S12000035,24193.0,2010
S12000036,27700.0,2010
S12000038,26407.0,2010
S12000039,22626.0,2010
S12000040,23836.0,2010
S12000041,23451.0,2010
S12000042,23012.0,2010
S12000045,29153.0,2010
S12000047,24362.0,2010
S12000048,24206.0,2010
S12000049,23534.0,2010
S12000050,23000.0,2010
S12000005,25224.0,2011
S12000006,23934.0,2011
S12000008,25404.0,2011
S12000010,26335.0,2011
S12000011,34200.0,2011
S12000013,24130.0,2011
S12000014,24163.0,2011
S12000017,23362.0,2011
S12000018,23622.0,2011
S12000019,22854.0,2011
S12000020,23834.0,2011
S12000021,25095.0,2011
S12000026,24227.0,2011
S12000027,27897.0,2011
S12000028,28783.0,2011
S12000029,25307.0,2011
S12000030,24962.0,2011
S12000033,28471.0,2011
S12000034,28329.0,2011
S12000035,25287.0,2011
S12000036,27573.0,2011
S12000038,26245.0,2011
S12000039,23282.0,2011
S12000040,23554.0,2011
S12000041,22793.0,2011
S12000042,21810.0,2011
S12000045,28902.0,2011
S12000047,24998.0,2011
S12000048,24490.0,2011
S12000049,24447.0,2011
S12000050,23762.0,2011
S12000005,24415.0,2012
S12000006,21798.0,2012
S12000008,26198.0,2012
S12000010,26460.0,2012
S12000011,29957.0,2012
S12000013,25491.0,2012
S12000014,24691.0,2012
S12000017,23966.0,2012
S12000018,24059.0,2012
S12000019,23941.0,2012
S12000020,23290.0,2012
S12000021,24910.0,2012
S12000026,24124.0,2012
S12000027,27983.0,2012
S12000028,28932.0,2012
S12000029,26100.0,2012
S12000030,27687.0,2012
S12000033,28342.0,2012
S12000034,29897.0,2012
S12000035,24645.0,2012
S12000036,28482.0,2012
S12000038,27354.0,2012
S12000039,24696.0,2012
S12000040,25792.0,2012
S12000041,24266.0,2012
S12000042,21913.0,2012
S12000045,29165.0,2012
S12000047,25628.0,2012
S12000048,25696.0,2012
S12000049,24443.0,2012
S12000050,24752.0,2012
S12000005,24523.0,2013
S12000006,23262.0,2013
S12000008,26070.0,2013
S12000010,28000.0,2013
S12000011,31250.0,2013
S12000013,24401.0,2013
S12000014,26048.0,2013
S12000017,25025.0,2013
S12000018,25436.0,2013
S12000019,23839.0,2013
S12000020,23697.0,2013
S12000021,26438.0,2013
S12000023,28870.0,2013
S12000026,25406.0,2013
S12000027,28036.0,2013
S12000028,29511.0,2013
S12000029,25999.0,2013
S12000030,27752.0,2013
S12000033,27985.0,2013
S12000034,29846.0,2013
S12000035,24468.0,2013
S12000036,29637.0,2013
S12000038,28433.0,2013
S12000040,25108.0,2013
S12000041,24181.0,2013
S12000042,23467.0,2013
S12000045,31085.0,2013
S12000047,25908.0,2013
S12000048,24544.0,2013
S12000049,25069.0,2013
S12000050,25277.0,2013
S12000005,24481.0,2014
S12000006,23932.0,2014
S12000008,27881.0,2014
S12000010,27668.0,2014
S12000011,31525.0,2014
S12000013,24735.0,2014
S12000014,26333.0,2014
S12000017,25737.0,2014
