date,id,country,value,value_pct
2025-07-08 18:00:01,ARG,Argentina,,
2025-07-08 18:00:01,AUS,Australia,4.323,0.043230000000000005
2025-07-08 18:00:01,BRA,Brazil,13.7,0.13699999999999998
2025-07-08 18:00:01,CAN,Canada,3.438,0.03438
2025-07-08 18:00:01,CHN,China,1.655,0.01655
2025-07-08 18:00:01,FRA,France,3.367,0.03367
2025-07-08 18:00:01,DEU,Germany,2.647,0.026469999999999997
2025-07-08 18:00:01,IND,India,6.306,0.06306
2025-07-08 18:00:01,IDN,Indonesia,6.584,0.06584
2025-07-08 18:00:01,ITA,Italy,3.573,0.03573
2025-07-08 18:00:01,JPN,Japan,1.505,0.01505
2025-07-08 18:00:01,MEX,Mexico,9.444,0.09444000000000001
2025-07-08 18:00:01,RUS,Russia,15.13,0.15130000000000002
2025-07-08 18:00:01,SAU,Saudi Arabia,,
2025-07-08 18:00:01,ZAF,South Africa,9.895,0.09895
2025-07-08 18:00:01,KOR,South Korea,2.847,0.02847
2025-07-08 18:00:01,TUR,Türkiye,29.44,0.2944
2025-07-08 18:00:01,GBR,UK,4.632,0.04632
2025-07-08 18:00:01,USA,US,4.4231,0.044231
