date,id,country,value,value_pct
2025-07-18 11:07:16,RUS,Russia,,
2025-07-18 11:07:16,NGA,Nigeria,16.293,0.16293
2025-07-18 11:07:16,DEU,Germany,2.693,0.02693
2025-07-18 11:07:16,GBR,UK,4.677,0.04677
2025-07-18 11:07:16,JPN,Japan,1.534,0.01534
2025-07-18 11:07:16,PHL,Philippines,6.249,0.06249
2025-07-18 11:07:16,MEX,Mexico,9.444,0.09444000000000001
2025-07-18 11:07:16,ETH,Ethiopia,,
2025-07-18 11:07:16,COD,DR Congo,,
2025-07-18 11:07:16,USA,US,4.4415,0.044414999999999996
2025-07-18 11:07:16,IND,India,6.307,0.06307
2025-07-18 11:07:16,CHN,China,1.674,0.016739999999999998
2025-07-18 11:07:16,IDN,Indonesia,6.551,0.06551
2025-07-18 11:07:16,THA,Thailand,2.085,0.02085
2025-07-18 11:07:16,BGD,Bangladesh,12.35,0.1235
2025-07-18 11:07:16,BRA,Brazil,14.055,0.14055
2025-07-18 11:07:16,PAK,Pakistan,12.029,0.12029
2025-07-18 11:07:16,TUR,Türkiye,29.86,0.2986
2025-07-18 11:07:16,IRN,Iran,,
2025-07-18 11:07:16,EGY,Egypt,22.65,0.22649999999999998
2025-07-18 11:07:16,VNM,Vietnam,3.398,0.03398
