date,country,yield
1991-01-31,GBR,10.237
1991-02-28,GBR,10.159
1991-03-31,GBR,10.121
1991-04-30,GBR,10.217
1991-05-31,GBR,10.396
1991-06-30,GBR,10.494
1991-07-31,GBR,10.138
1991-08-31,GBR,9.927
1991-09-30,GBR,9.583
1991-10-31,GBR,9.686
1991-11-30,GBR,9.869
1991-12-31,GBR,9.749
1992-01-31,GBR,9.41
1992-02-29,GBR,9.27
1992-03-31,GBR,9.87
1992-04-30,GBR,9.18
1992-05-31,GBR,8.93
1992-06-30,GBR,9.16
1992-07-31,GBR,9.32
1992-08-31,GBR,9.64
1992-09-30,GBR,8.97
1992-10-31,GBR,8.19
1992-11-30,GBR,8.56
1992-12-31,GBR,8.253
1993-01-31,GBR,8.089
1993-02-28,GBR,7.835
1993-03-31,GBR,7.757
1993-04-30,GBR,8.102
1993-05-31,GBR,8.101
1993-06-30,GBR,7.62
1993-07-31,GBR,7.3
1993-08-31,GBR,6.8
1993-09-30,GBR,6.89
1993-10-31,GBR,6.83
1993-11-30,GBR,6.61
1993-12-31,GBR,6.09
1994-01-31,GBR,6.214
1994-02-28,GBR,6.915
1994-03-31,GBR,7.499
1994-04-30,GBR,7.839
1994-05-31,GBR,8.636
1994-06-30,GBR,8.635
1994-07-31,GBR,8.478
1994-08-31,GBR,8.498
1994-09-30,GBR,8.811
1994-10-31,GBR,8.732
1994-11-30,GBR,8.449
1994-12-31,GBR,8.71
1995-01-31,GBR,8.639
1995-02-28,GBR,8.615
1995-03-31,GBR,8.486
1995-04-30,GBR,8.435
1995-05-31,GBR,7.932
1995-06-30,GBR,8.476
1995-07-31,GBR,8.189
1995-08-31,GBR,8.084
1995-09-30,GBR,8.122
1995-10-31,GBR,7.929
1995-11-30,GBR,7.544
1995-12-31,GBR,7.429
1996-01-31,GBR,7.481
1996-02-29,GBR,8.044
1996-03-31,GBR,8.146
1996-04-30,GBR,8.036
1996-05-31,GBR,8.139
1996-06-30,GBR,7.884
1996-07-31,GBR,7.894
1996-08-31,GBR,7.891
1996-09-30,GBR,7.648
1996-10-31,GBR,7.614
1996-11-30,GBR,7.331
1996-12-31,GBR,7.507
1997-01-31,GBR,7.394
1997-02-28,GBR,7.222
1997-03-31,GBR,7.62
1997-04-30,GBR,7.293
1997-05-31,GBR,7.189
1997-06-30,GBR,7.093
1997-07-31,GBR,6.994
1997-08-31,GBR,7.069
1997-09-30,GBR,6.439
1997-10-31,GBR,6.542
1997-11-30,GBR,6.494
1997-12-31,GBR,6.293
1998-01-31,GBR,6.043
1998-02-28,GBR,6.099
1998-03-31,GBR,5.904
1998-04-30,GBR,5.888
1998-05-31,GBR,5.696
1998-06-30,GBR,5.835
1998-07-31,GBR,5.766
1998-08-31,GBR,5.335506
1998-09-30,GBR,4.891
1998-10-31,GBR,5.06
1998-11-30,GBR,4.68
1998-12-31,GBR,4.352633
1999-01-31,GBR,4.167
1999-02-28,GBR,4.627
1999-03-31,GBR,4.576
1999-04-30,GBR,4.598
1999-05-31,GBR,4.859
1999-06-30,GBR,5.058
1999-07-31,GBR,5.344
1999-08-31,GBR,5.189
1999-09-30,GBR,5.62
1999-10-31,GBR,5.407
1999-11-30,GBR,5.227
1999-12-31,GBR,5.473499
2000-01-31,GBR,5.747
2000-02-29,GBR,5.458
2000-03-31,GBR,5.246
2000-04-30,GBR,5.219
2000-05-31,GBR,5.183
2000-06-30,GBR,5.171
2000-07-31,GBR,5.226
2000-08-31,GBR,5.331
2000-09-30,GBR,5.199
2000-10-31,GBR,5.162
2000-11-30,GBR,4.888
2000-12-31,GBR,4.891
2001-01-31,GBR,4.84
2001-02-28,GBR,4.882
2001-03-31,GBR,4.866
2001-04-30,GBR,5.127
2001-05-31,GBR,5.235
2001-06-30,GBR,5.292
2001-07-31,GBR,5.0
2001-08-31,GBR,4.852
2001-09-30,GBR,4.882
2001-10-31,GBR,4.539
2001-11-30,GBR,4.666
2001-12-31,GBR,5.065
2002-01-31,GBR,4.89
2002-02-28,GBR,4.998
2002-03-31,GBR,5.291145
2002-04-30,GBR,5.198
2002-05-31,GBR,5.27
2002-06-30,GBR,5.016
2002-07-31,GBR,4.866
2002-08-31,GBR,4.629
2002-09-30,GBR,4.393
2002-10-31,GBR,4.562
2002-11-30,GBR,4.682
2002-12-31,GBR,4.38
2003-01-31,GBR,4.29
2003-02-28,GBR,4.18
2003-03-31,GBR,4.29
2003-04-30,GBR,4.44
2003-05-31,GBR,4.07
2003-06-30,GBR,4.17
2003-07-31,GBR,4.53
2003-08-31,GBR,4.6
2003-09-30,GBR,4.54
2003-10-31,GBR,5.01
2003-11-30,GBR,5.04
2003-12-31,GBR,4.77
2004-01-31,GBR,4.911
2004-02-29,GBR,4.762
2004-03-31,GBR,4.752
2004-04-30,GBR,4.979
2004-05-31,GBR,5.151
