"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",5401515
1,"Animal Products",101,"Live animals",10102,"Bovine",1080547693
1,"Animal Products",101,"Live animals",10106,"Other Animals",2881997.0000000005
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",1546247633
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",168059743
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",135329678
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",1846546
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",132983558
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",248875
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",5522042
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",303922
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",152536856
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",21378402
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",56142664
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",1005352
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",214652024
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",29508794
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",28161023
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",71277505
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",6621580.000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",888172
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",45110968
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",38944824
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",751748
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",262020.99999999997
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",25121080
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",88708
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",6001274
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",486877
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",28680
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",896248
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",77450
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",70594156
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",258771
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",21599471
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",57128779
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",21085676
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",35201
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2834842861
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",402474343
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",351611511
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",511233606.99999994
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",135149851
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",839289142.9999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",182974923
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",3072283782
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",577579209
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",11274830
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",9866785
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",40044742
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",17733864.000000004
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",27220974
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",609708691
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",227668088.99999997
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",3378963356
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",899926576
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",808361582.0000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",612394056
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",23324
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2105256
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2472229881
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",337405994.99999994
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",759243
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",6470746.000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",1582752.0000000002
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",368897714
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2613092
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",125123794
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",421691.99999999994
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",88575.99999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",10167
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",6542.999999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",606621
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",13244236
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2796415
2,"Vegetable Products",210,"Cereals",21003,"Barley",1770850
2,"Vegetable Products",210,"Cereals",21004,"Oats",47160
2,"Vegetable Products",210,"Cereals",21005,"Corn",10862708
2,"Vegetable Products",210,"Cereals",21006,"Rice",1830092.9999999998
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",222440
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",12080441
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",185341608.00000003
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",23013218
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",4574424
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",277382
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2686238
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",13919026
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",88616
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2918408
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",1649433
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",22320.999999999996
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",156219
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",23493577
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",1176869
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",12167392
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",54371672
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2738794.0000000005
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21213,"Cereal Straws",234408
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",30187124
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",13651
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",74615224
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",21010
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",63953574
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31501,"Pig and Poultry Fat",13833545
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",15018798
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",3516744
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31505,"Wool Grease",238412.99999999997
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",24854993
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",361256
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",3971285.9999999995
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",17486769
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",47729320
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",145068
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",7011925
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",286346509
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",5339853
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",69258897
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",26983178
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",8851736
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31520,"Glycerol",339463
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",1728539
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31522,"Fat and Oil Residues",810873
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",11335829
