observation_date,IEABCSIA
1999-01-01,-40777
2000-01-01,-46863
2001-01-01,-56953
2002-01-01,-52949
2003-01-01,-55300
2004-01-01,-71634
2005-01-01,-76876
2006-01-01,-69088
2007-01-01,-89910
2008-01-01,-96192
2009-01-01,-100496
2010-01-01,-98834
2011-01-01,-103211
2012-01-01,-90134
2013-01-01,-88115
2014-01-01,-86339
2015-01-01,-102882
2016-01-01,-113199
2017-01-01,-108618
2018-01-01,-116530
2019-01-01,-129756
2020-01-01,-125227
2021-01-01,-138968
2022-01-01,-183295
2023-01-01,-187515
2024-01-01,-206896
