typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,0,W00,World,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,28931497925.0,28931497925.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,4,AFG,Afghanistan,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,5667594.0,5667594.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,8,ALB,Albania,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,4192392.0,4192392.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,12,DZA,Algeria,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,22940560.0,22940560.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,24,AGO,Angola,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,113780772.0,113780772.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,28,ATG,Antigua and Barbuda,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,550671.0,550671.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,31,AZE,Azerbaijan,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,2651639.0,2651639.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,32,ARG,Argentina,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,39556002.0,39556002.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,36,AUS,Australia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,341730335.0,341730335.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,40,AUT,Austria,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,2269074.0,2269074.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,44,BHS,Bahamas,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,629609.0,629609.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,48,BHR,Bahrain,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,119111255.0,119111255.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,50,BGD,Bangladesh,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,120970233.0,120970233.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,51,ARM,Armenia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,1425658.0,1425658.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,52,BRB,Barbados,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,178111.0,178111.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,56,BEL,Belgium,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,576043612.0,576043612.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,68,BOL,Bolivia (Plurinational State of),0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,3247809.0,3247809.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,70,BIH,Bosnia Herzegovina,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,89557.0,89557.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,72,BWA,Botswana,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,12209811.0,12209811.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,76,BRA,Brazil,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,1106581670.0,1106581670.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,84,BLZ,Belize,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,18547.0,18547.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,90,SLB,Solomon Isds,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,438727.0,438727.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,96,BRN,Brunei Darussalam,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,9091132.0,9091132.0,0,True,False
C,A,20100101,2010,52,2010,156,CHN,China,X,Export,100,BGR,Bulgaria,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,13535214.0,13535214.0,0,True,False
