typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,0,W00,World,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,22516681146.0,,22516681146.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,8,ALB,Albania,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,20991513.0,,20991513.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,28,ATG,Antigua and Barbuda,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,119064.0,,119064.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,32,ARG,Argentina,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,17682984.0,,17682984.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,36,AUS,Australia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,371391177.0,,371391177.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,40,AUT,Austria,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,114119816.0,,114119816.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,44,BHS,Bahamas,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,2926001.0,,2926001.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,48,BHR,Bahrain,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,3076973.0,,3076973.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,51,ARM,Armenia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,480952.0,,480952.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,56,BEL,Belgium,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,181426084.0,,181426084.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,76,BRA,Brazil,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,1527358316.0,,1527358316.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,100,BGR,Bulgaria,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,96104.0,,96104.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,112,BLR,Belarus,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,5520103.0,,5520103.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,124,CAN,Canada,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,5406690576.0,,5406690576.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,136,CYM,Cayman Isds,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,672136.0,,672136.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,152,CHL,Chile,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,90208515.0,,90208515.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,1093740764.0,,1093740764.0,0,True,False
C,A,20100101,2010,52,2010,842,USA,USA,M,Import,170,COL,Colombia,0,W00,World,H3,HS,True,72,Iron and steel,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,111399845.0,,111399845.0,0,True,False
