quarter,value,men,women
Jan-Mar 2002,859,365,494
Apr-Jun 2002,873,371,501
Jul-Sep 2002,873,373,500
Oct-Dec 2002,836,344,492
Jan-Mar 2003,893,376,517
Apr-Jun 2003,891,356,535
Jul-Sep 2003,877,359,518
Oct-Dec 2003,847,347,500
Jan-Mar 2004,836,346,489
Apr-Jun 2004,879,354,525
Jul-Sep 2004,918,372,546
Oct-Dec 2004,922,392,530
Jan-Mar 2005,925,385,540
Apr-Jun 2005,947,399,548
Jul-Sep 2005,935,409,526
Oct-Dec 2005,"1,003",443,561
Jan-Mar 2006,984,424,560
Apr-Jun 2006,"1,022",461,560
Jul-Sep 2006,"1,006",428,578
Oct-Dec 2006,979,426,553
Jan-Mar 2007,"1,000",435,565
Apr-Jun 2007,"1,004",439,566
Jul-Sep 2007,983,417,566
Oct-Dec 2007,965,408,557
Jan-Mar 2008,965,406,560
Apr-Jun 2008,998,420,578
Jul-Sep 2008,"1,034",452,582
Oct-Dec 2008,"1,025",444,582
Jan-Mar 2009,"1,097",499,597
Apr-Jun 2009,"1,128",517,610
Jul-Sep 2009,"1,122",510,612
Oct-Dec 2009,"1,083",480,603
Jan-Mar 2010,"1,128",508,620
Apr-Jun 2010,"1,074",484,590
Jul-Sep 2010,"1,120",496,624
Oct-Dec 2010,"1,164",535,629
Jan-Mar 2011,"1,125",528,597
Apr-Jun 2011,"1,164",536,629
Jul-Sep 2011,"1,246",589,657
Oct-Dec 2011,"1,212",583,629
Jan-Mar 2012,"1,193",570,623
Apr-Jun 2012,"1,192",571,621
Jul-Sep 2012,"1,104",518,586
Oct-Dec 2012,"1,084",505,579
Jan-Mar 2013,"1,100",504,597
Apr-Jun 2013,"1,089",503,586
Jul-Sep 2013,"1,092",517,576
Oct-Dec 2013,"1,038",503,535
Jan-Mar 2014,979,459,520
Apr-Jun 2014,963,451,512
Jul-Sep 2014,967,448,519
Oct-Dec 2014,971,420,551
Jan-Mar 2015,934,419,515
Apr-Jun 2015,919,422,497
Jul-Sep 2015,856,396,460
Oct-Dec 2015,858,396,462
Jan-Mar 2016,866,407,459
Apr-Jun 2016,844,410,434
Jul-Sep 2016,860,432,428
Oct-Dec 2016,822,418,405
Jan-Mar 2017,795,393,402
Apr-Jun 2017,791,389,402
Jul-Sep 2017,796,422,374
Oct-Dec 2017,793,410,384
Jan-Mar 2018,798,398,400
Apr-Jun 2018,778,390,389
Jul-Sep 2018,758,347,411
Oct-Dec 2018,788,374,414
Jan-Mar 20191 [r],775,381,394
Apr-Jun 2019 [r],799,413,386
Jul-Sep 2019 [r],827,424,403
Oct-Dec 2019 [r],750,375,375
Jan-Mar 2020 [r],793,405,388
Apr-Jun 2020 [r],799,410,389
Jul-Sep 2020 [r],780,424,356
Oct-Dec 2020 [r],827,460,366
Jan-Mar 2021 [r],746,411,335
Apr-Jun 2021 [r],659,350,309
Jul-Sep 2021 [r],719,376,342
Oct-Dec 2021 [r],731,407,324
Jan-Mar 2022 [r],740,404,337
Apr-Jun 2022 [r],726,390,336
Jul-Sep 2022 [r],747,391,356
Oct-Dec 2022 [r],843,433,410
Jan-Mar 2023 [r],820,414,406
Apr-Jun 2023 [r],825,432,393
Jul-Sep 2023 [r],871,463,408
Oct-Dec 2023 [r],877,486,391
Jan-Mar 2024 [r],930,524,406
Apr-Jun 2024 [r],908,513,396
Jul-Sep 2024 [r],964,561,403
Oct-Dec 2024,987,542,445
